compound_name,chembl_id
benzoyl-peroxide,CHEMBL1200370
agmatine,CHEMBL58343
iohexol,CHEMBL1200455
U-0521,CHEMBL353187
FRAX486,CHEMBL3609326
AG-555,CHEMBL53898
parbendazole,CHEMBL528271
afimoxifene,CHEMBL489
minoxidil,CHEMBL1372483
CZC24832,CHEMBL2064571
salirasib,CHEMBL23293
BAY-61-3606,CHEMBL541400
ribociclib,CHEMBL3545110
2-iodomelatonin,CHEMBL289233
CC-223,CHEMBL3586404
flumazenil,CHEMBL407
GS-6201,CHEMBL260933
OR-486,CHEMBL168276
biotin,CHEMBL857
raclopride,CHEMBL8809
preladenant,CHEMBL240624
PS178990,CHEMBL229264
"tropanyl-3,5-dimethylbenzoate",CHEMBL1476871
SirReal-2,CHEMBL3770903
ixabepilone,CHEMBL1201752
S-isopropylisothiourea,CHEMBL483091
glutathione,CHEMBL1543
homoquinolinic-acid,CHEMBL280828
naltrindole,CHEMBL567175
desoxycortone,CHEMBL1498
parecoxib,CHEMBL1206690
antimony-potassium,CHEMBL2219662
roflumilast,CHEMBL193240
API-001,CHEMBL2170062
"ICI-215,001",CHEMBL308150
"BETAMETHASONE 17,21-DIPROPIONATE",CHEMBL1200384
MONENSIN SODIUM,CHEMBL5314365
dutasteride,CHEMBL1200969
lisuride,CHEMBL157138
mesalazine,CHEMBL704
trapidil,CHEMBL132767
levobunolol,CHEMBL1201237
citalopram,CHEMBL549
SR-140333,CHEMBL1178725
BMS-299897,CHEMBL247471
cis-aconitic-acid,CHEMBL347285
alpha-asarone,CHEMBL333306
ibuprofen,CHEMBL521
diphenyleneiodonium,CHEMBL365739
"Isoquinoline,-6,7-dimethoxy-1-methyl-1,2,3,4-tetrahydro,",CHEMBL1196026
L-368899,CHEMBL1253853
iopanic-acid,CHEMBL867
NVP-TNKS656,CHEMBL2419706
I-BZA2,CHEMBL230302
GR-103691,CHEMBL294747
faropenem,CHEMBL556262
indeloxazine,CHEMBL2105022
FR-122047,CHEMBL275809
albuterol,CHEMBL714
procarbazine,CHEMBL1321
chicago-sky-blue-6b,CHEMBL311909
chlorothymol,CHEMBL1441646
alda-1,CHEMBL465952
acalisib,CHEMBL4303323
camostat-mesilate,CHEMBL590799
tipranavir,CHEMBL183041
SCH-51344,CHEMBL3793901
sphingosylphosphorylcholine,CHEMBL1481114
chlorhexidine,CHEMBL790
T-62,CHEMBL57997
ER-27319,CHEMBL2170739
NQDI-1,CHEMBL1345690
captan,CHEMBL388676
ritonavir,CHEMBL163
3-alpha-hydroxy-5-beta-androstan-17-one,CHEMBL85799
emodin,CHEMBL289277
sulfanitran,CHEMBL493636
pexidartinib,CHEMBL3813873
MDL-73005EF,CHEMBL2218891
PF-670462,CHEMBL4643847
inimur,CHEMBL514315
danirixin,CHEMBL3039531
TCS-3035,CHEMBL2425825
reversine,CHEMBL188343
thiamine,CHEMBL1547
doxylamine,CHEMBL1004
leucovorin,CHEMBL1679
oxiracetam,CHEMBL36633
resatorvid,CHEMBL225157
TH005427,
cytarabine,CHEMBL803
efinaconazole,CHEMBL2103877
dihydrexidine,CHEMBL4280145
SNAP-5089,CHEMBL5483012
propranolol,CHEMBL27
MOMETASONE FUROATE,CHEMBL1161
SDM25N,CHEMBL1324873
gestodene,CHEMBL1213583
nadide,CHEMBL1234613
clorprenaline,CHEMBL1902627
DR-4485,CHEMBL348890
oritavancin,CHEMBL1688530
chromocarb,CHEMBL83628
bromosporine,CHEMBL3133807
SNAP,CHEMBL73188
zaldaride,CHEMBL1474352
zolimidine,CHEMBL2105534
xaliproden,CHEMBL1512580
enoxolone,CHEMBL230006
cephalothin,CHEMBL617
BMS-345541,CHEMBL471496
CDPPB,CHEMBL190270
YIL-781,CHEMBL243001
tranylcypromine,CHEMBL313833
pirfenidone,CHEMBL1256391
mebendazole,CHEMBL685
DCC-2618,CHEMBL4216467
zilpaterol,CHEMBL462313
mivacurium,CHEMBL1182833
3-carboxy-4-hydroxyphenylglycine-(S),CHEMBL128772
hordenine,CHEMBL505789
JW-74,CHEMBL1552719
talipexole,CHEMBL279085
elesclomol,CHEMBL1972860
carboxylosartan,CHEMBL907
albendazole-oxide,CHEMBL1665
mCPP,CHEMBL272942
alpha-methylhistamine-dihydrobromide-(S)-(+),CHEMBL11919
eletriptan,CHEMBL1510
ML347,CHEMBL502351
NS-1643,CHEMBL1514181
benserazide,CHEMBL1096979
3'-fluorobenzylspiperone,CHEMBL137648
penciclovir,CHEMBL1540
OMDM-2,CHEMBL1316265
piperine,CHEMBL43185
nepafenac,CHEMBL1021
bromopride,CHEMBL399510
C646,CHEMBL1797936
tirapazamine,CHEMBL50882
sulbutiamine,CHEMBL1874002
pirinixic-acid,CHEMBL295416
KU-0063794,CHEMBL1078983
desonide,CHEMBL1201109
cinaciguat,CHEMBL1236936
cetaben,CHEMBL31907
basimglurant,CHEMBL3301626
PU-H71,CHEMBL200102
PHCCC,CHEMBL164770
CEP-33779,CHEMBL2062804
anidulafungin,CHEMBL264241
PD-160170,CHEMBL422942
SUN-11602,CHEMBL4303490
SCS,CHEMBL354261
OXA-06,CHEMBL4303164
varespladib,CHEMBL148674
JLK-6,CHEMBL149518
propyl 4-hydroxybenzoate,CHEMBL194014
4-tert-butylphenol,CHEMBL16217
mabuprofen,CHEMBL2105154
BMS-191011,CHEMBL45349
antagonist-g,CHEMBL4303227
SGX523,CHEMBL1236107
FH1,CHEMBL478306
ACT-462206,CHEMBL3597952
zatebradine,CHEMBL69679
pifithrin-cyclic,CHEMBL193504
propafenone,CHEMBL631
cholesterol,CHEMBL112570
RGFP966,CHEMBL4078477
TCN238,CHEMBL1209431
doramectin,CHEMBL2361641
carbimazole,CHEMBL508102
pancuronium,CHEMBL185073
bismuth-subgallate,CHEMBL1592101
guacetisal,CHEMBL2105097
azeliragon,CHEMBL3989929
indomethacin,CHEMBL6
SGC-0946,CHEMBL3087498
BMS-707035,CHEMBL486226
metaxalone,CHEMBL1079604
TAK-901,CHEMBL3544932
dimercaptosuccinic-acid,CHEMBL1201073
glycitein,CHEMBL513024
cryptotanshinone,CHEMBL187460
LRRK2-IN-1,CHEMBL2012582
etilefrine,CHEMBL86882
betaine,CHEMBL1182
VU0364770,CHEMBL556667
blebbistatin-(+/-),CHEMBL1231358
acrivastine,CHEMBL1224
beta-CCB,CHEMBL1394514
T-5601640,CHEMBL4303259
STF-118804,CHEMBL4303625
mitotane,CHEMBL1670
alfacalcidol,CHEMBL1601669
ON123300,CHEMBL3115681
TC-G-1000,CHEMBL284795
GNTI,CHEMBL485832
Cyclocytidine HCl,CHEMBL1255937
piroxicam,CHEMBL1518938
dapiprazole,CHEMBL1201216
salvinorin-A,CHEMBL445332
carvedilol,CHEMBL723
medorinone,CHEMBL144399
medetomidine,CHEMBL77921
cinnamaldehyde,CHEMBL293492
MC1568,CHEMBL191089
RGB-286638,CHEMBL3545083
N-cyclohexyl-2-benzothiazolesulfenamide,CHEMBL1591074
GW-9662,CHEMBL375270
TBOA-(DL),CHEMBL4303337
dimethisoquin,CHEMBL127643
oxybenzone,CHEMBL1625
nimodipine,CHEMBL1428
AY-9944,CHEMBL3775982
7-keto-DHEA,CHEMBL1875999
WP1066,CHEMBL1923234
cholecalciferol,CHEMBL1042
chloramphenicol,CHEMBL130
pergolide,CHEMBL531
cisapride,CHEMBL560739
irsogladine,CHEMBL136497
CYC116,CHEMBL482967
AP26113,CHEMBL3397300
cutamesine,CHEMBL408867
U-104,CHEMBL1615281
SJ-172550,CHEMBL4303491
gedunin,CHEMBL465226
R-1485,CHEMBL246078
corticosterone,CHEMBL110739
kenpaullone,CHEMBL296586
PETCM,CHEMBL5308488
JDTic,CHEMBL415247
LY2183240,CHEMBL509860
PR-619,CHEMBL4303622
"3,4-methylenedioxy-beta-nitrostyrene",CHEMBL596380
econazole,CHEMBL808
hycanthone,CHEMBL22077
fenoterol,CHEMBL32800
ethimizol,CHEMBL4303294
allopregnanolone,CHEMBL207538
G-1,CHEMBL569766
TUG-891,CHEMBL2058533
rimantadine,CHEMBL1201272
EPZ020411,CHEMBL3589039
rebastinib,CHEMBL1738757
Famotidine,CHEMBL902
Lacosamide,CHEMBL58323
PI3K-IN-2,CHEMBL4084907
cefotiam-cilexetil,CHEMBL2104038
MK-0773,CHEMBL3221237
SSR-180711,CHEMBL559478
thiocolchicoside,CHEMBL213907
clofazimine,CHEMBL1083384
nemorubicin,CHEMBL1232279
penicillamine-(racemic),CHEMBL1430
phytosphingosine,CHEMBL236036
baicalein,CHEMBL8260
GTS21,CHEMBL134713
toceranib,CHEMBL13608
DS2-(806622),CHEMBL4212818
formestane,CHEMBL132530
rizatriptan,CHEMBL905
flumethasone,CHEMBL1201392
sivelestat,CHEMBL76688
methyl-salicylate,CHEMBL108545
ER-50891,CHEMBL20066
RQ-00203078,CHEMBL3353597
tenovin-1,CHEMBL1436543
betazole,CHEMBL1201323
mirin,CHEMBL570841
penfluridol,CHEMBL47050
isepamicin,CHEMBL272080
phenolphthalein,CHEMBL63857
BRL-44408,CHEMBL216097
CL-218872,CHEMBL13662
ulifloxacin,CHEMBL345937
D-phenylalanine,CHEMBL379630
TH003289,
ARTENIMOL,CHEMBL307261
fipronil,CHEMBL101326
ARRY-334543,CHEMBL2103842
lersivirine,CHEMBL571987
DMPS,CHEMBL1569746
SCOPOLAMINE HYDROBROMIDE,CHEMBL3185877
sorbitan-monostearate,CHEMBL3186117
EIPA,CHEMBL517986
N-acetylcarnosine,CHEMBL4303521
zanamivir,CHEMBL222813
17-PA,CHEMBL4303423
embelin,CHEMBL221137
granisetron,CHEMBL1290003
celiprolol,CHEMBL27810
eseroline-(-),CHEMBL310934
NVP-BVU972,CHEMBL1738731
WAY-629,CHEMBL258465
SUN-B-8155,CHEMBL1363071
motolimod,CHEMBL3301618
2-BFI,CHEMBL404505
canertinib,CHEMBL31965
ciproxifan,CHEMBL14638
brimonidine,CHEMBL844
piperacetazine,CHEMBL1584
SR-3677,CHEMBL521179
L-690330,CHEMBL34819
spironolactone,CHEMBL1393
taselisib,CHEMBL2387080
EMD-386088,CHEMBL364005
McN-5652-(+/-),CHEMBL361259
maribavir,CHEMBL515408
dimpylate,CHEMBL388560
tracazolate,CHEMBL84567
RS-102895,CHEMBL1593104
apalutamide,CHEMBL3183409
estradiol-benzoate,CHEMBL282575
GSK1059615,CHEMBL3544966
sonidegib,CHEMBL2105737
oxidopamine,CHEMBL337702
nafamostat,CHEMBL273264
nifurtimox,CHEMBL290960
SB-222200,CHEMBL10284
rimexolone,CHEMBL1200617
ML9,CHEMBL429298
indibulin,CHEMBL49642
PFI-3,CHEMBL3752911
PRIMA1,CHEMBL186872
skepinone-L,CHEMBL2152944
plurisin-1,CHEMBL4303458
scriptaid,CHEMBL96051
3-bromocamphor,CHEMBL4303364
temozolomide,CHEMBL810
PLX4720,CHEMBL1230020
mesulergine,CHEMBL12314
maxacalcitol,CHEMBL333950
hesperidin,CHEMBL449317
istradefylline,CHEMBL431770
propentofylline,CHEMBL1079905
sodium-butyrate,CHEMBL14227
casin,CHEMBL4303199
pifithrin-alpha,CHEMBL556353
GSK256066,CHEMBL570015
BW-373U86,CHEMBL25230
ethaverine,CHEMBL1555736
SB-366791,CHEMBL122413
NVP-TAE226,CHEMBL458997
TRAMADOL HYDROCHLORIDE,CHEMBL1200336
L-hydroxyproline,CHEMBL352418
norgestrel,CHEMBL1389
CI-966,CHEMBL77287
RU-24969,CHEMBL18785
piperazinedione,CHEMBL125229
diacetamate,CHEMBL2106185
AZM-475271,CHEMBL426161
CGS-21680,CHEMBL331372
A-317491,CHEMBL596234
6-diazo-5-oxo-L-norleucine,CHEMBL4303391
KB-SRC-4,CHEMBL2408776
INC-280,CHEMBL3188267
GDC-0879,CHEMBL525191
anlotinib,CHEMBL4303201
simeprevir,CHEMBL501849
milrinone,CHEMBL189
NBI-27914,CHEMBL45281
sodium-orthovanadate,CHEMBL179166
D609,CHEMBL404954
TH001217,
NPC-15199,CHEMBL149394
acedoben,CHEMBL112687
methylparaben,CHEMBL325372
flupentixol,CHEMBL54661
bemesetron,CHEMBL1257101
umeclidinium,CHEMBL1187833
epothilone-B,CHEMBL94657
beta-hydroxy-beta-methylbutyrate,CHEMBL4303673
astaxanthin,CHEMBL1255871
tenoxicam,CHEMBL302795
ROCURONIUM BROMIDE,CHEMBL1200648
capsazepine,CHEMBL391997
cloranolol,CHEMBL156791
methylprednisolone-aceponate,CHEMBL1697782
AH6809,CHEMBL1317823
N-methylquipazine,CHEMBL288591
motesanib,CHEMBL572881
tangeritin,CHEMBL73930
HA-966-(S)-(-),CHEMBL1564377
GZD824,CHEMBL2316582
GSK503,CHEMBL3909511
IBC-293,CHEMBL381638
clemizole,CHEMBL1407943
daltroban,CHEMBL71685
florfenicol,CHEMBL1241590
Perampanel,CHEMBL1214124
BD-1047,CHEMBL143360
disulfiram,CHEMBL964
Hyodeoxycholic acid (HDCA),CHEMBL272621
icilin,CHEMBL258405
talampanel,CHEMBL61872
molidustat,CHEMBL3646118
sobetirome,CHEMBL107400
enrofloxacin,CHEMBL15511
trans-2-undecenoic-acid,CHEMBL3307202
GSK-LSD-1,CHEMBL4301645
luliconazole,CHEMBL2105689
deoxyarbutin,CHEMBL4303145
TMC647055,CHEMBL2043025
desvenlafaxine,CHEMBL1118
CUDC-101,CHEMBL598797
5-fluorouracil,CHEMBL185
crenolanib,CHEMBL2105728
isradipine,CHEMBL1648
oleanolic-acid,CHEMBL168
ELN-441958,CHEMBL1254945
tolnaftate,CHEMBL83668
bopindolol,CHEMBL357995
PT-2385,CHEMBL4173075
SODIUM OXYBATE,CHEMBL1200682
JNJ-26990990,CHEMBL466517
aminophylline,CHEMBL1370561
tagatose,CHEMBL1236183
1-hexadecanol,CHEMBL706
TC-Mps1-12,CHEMBL2089255
remimazolam,CHEMBL4297526
lixivaptan,CHEMBL49429
3-carboxy-4-hydroxyphenylglycine-(S),CHEMBL128772
pimobendan,CHEMBL24646
Y-26763,CHEMBL1402866
sulfasalazine,CHEMBL100848
enisamium-iodide,CHEMBL1740071
phthalylsulfacetamide,CHEMBL2106951
KI-8751,CHEMBL178455
bicuculline-methochloride-(-),CHEMBL515679
clofoctol,CHEMBL1476605
LY404187,CHEMBL435582
brompheniramine,CHEMBL811
Ebselen,CHEMBL51085
beta-naphthol,CHEMBL14126
TH006744,
FK-866,CHEMBL566757
OSI-027,CHEMBL2132692
kifunensine,CHEMBL1233851
raltitrexed,CHEMBL225071
SM-164,CHEMBL1774154
4-chlorophenylguanidine,CHEMBL41040
CHC,CHEMBL76602
picrotin,CHEMBL478523
BW-A4C,CHEMBL314360
diazepam,CHEMBL12
cetrimonium,CHEMBL1183605
tulobuterol,CHEMBL1159717
EMD-53998,CHEMBL314612
metacetamol,CHEMBL9419
SR-59230A,CHEMBL1256816
narlaprevir,CHEMBL1255891
gly-gln,CHEMBL330038
pyrazinoylguanidine,CHEMBL1962516
mercaptosuccinic-acid,CHEMBL4303414
talarozole,CHEMBL459505
CL-225385,CHEMBL3251047
lonafarnib,CHEMBL298734
SGI-1027,CHEMBL2336409
AZD4282,CHEMBL773
nifenazone,CHEMBL1413176
NI-57,CHEMBL3752151
bifemelane,CHEMBL1192517
2-hydroxysaclofen,CHEMBL1256573
regorafenib,CHEMBL1946170
asunaprevir,CHEMBL2105735
AZD4547,CHEMBL3348846
fomocaine,CHEMBL1407844
CGP-57380,CHEMBL1240885
JX-401,CHEMBL1450144
WR99210,CHEMBL129788
gabapentin-enacarbil,CHEMBL1628502
benperidol,CHEMBL297302
usniacin-(+),CHEMBL1314537
ICI-89406,CHEMBL11268
moxaverine,CHEMBL2105060
thioproperazine,CHEMBL609109
orbifloxacin,CHEMBL295433
diosgenin,CHEMBL412437
eliprodil,CHEMBL28564
tretinoin,CHEMBL38
letrozole,CHEMBL1444
quinelorane,CHEMBL155731
PF-03049423,CHEMBL591501
potassium-iodide,CHEMBL1141
phenazone,CHEMBL277474
CGP-20712A,CHEMBL280822
sucralfate,CHEMBL6067980
1-acetyl-4-methylpiperazine,CHEMBL575239
cytisine,CHEMBL497939
hydroxyprogesterone-acetate,CHEMBL3273984
fenclonine-(+/-),CHEMBL1256351
nomegestrol-acetate,CHEMBL1476022
maropitant,CHEMBL2111099
presatovir,CHEMBL3410450
AS-604850,CHEMBL1231533
diosmetin,CHEMBL90568
cyromazine,CHEMBL1231107
Se-methylselenocysteine,CHEMBL62382
denatonium-benzoate,CHEMBL1738972
isoniazid,CHEMBL64
MPI-0479605,CHEMBL2047943
cinromide,CHEMBL93233
8-M-PDOT,CHEMBL99377
riboflavin,CHEMBL1534
nitecapone,CHEMBL167055
CPSI-1306-(+/-),CHEMBL4303715
PSB-36,CHEMBL1316674
erastin,CHEMBL401989
beta-Sitosterol,CHEMBL221542
AC-7954-(+/-),CHEMBL192359
RG1530,CHEMBL1980391
PYR-41,CHEMBL2322201
20-hydroxyecdysone,CHEMBL224128
gadobutrol,CHEMBL2218860
rose-bengal,CHEMBL1208422
BML-284,CHEMBL4303671
hyoscyamine,CHEMBL1234973
dihydrotachysterol,CHEMBL2356023
lafutidine,CHEMBL1742461
"7,8,9,10-tetrahydroazepino[2,1-b]quinazolin-12(6H)-one",CHEMBL1192114
"4,4'-DDT",CHEMBL416898
UCL-2077,CHEMBL1441661
AS-77,CHEMBL444449
VX-765,CHEMBL2107819
BMS-191095,CHEMBL11594
atomoxetine,CHEMBL641
AGN-194310,CHEMBL4303670
YM-58483,CHEMBL262766
BMS-983970,CHEMBL4303322
methiopril,CHEMBL4542250
SRT2104,CHEMBL4297436
salubrinal,CHEMBL180127
racecadotril,CHEMBL2103772
EB-47,CHEMBL1173120
anthraquinone,CHEMBL55659
chrysin,CHEMBL117
brequinar,CHEMBL38434
dipivefrine,CHEMBL1201262
SAR131675,CHEMBL4303275
phenelzine,CHEMBL1089
dasabuvir,CHEMBL3137312
NS-8593,CHEMBL510780
LY223982,CHEMBL49302
ML-213,CHEMBL1703636
CAY10505,CHEMBL590022
adipic-acid,CHEMBL1157
VU591,CHEMBL2146753
dronedarone,CHEMBL184412
salsolinol-1-carboxylic-acid,CHEMBL1453457
tioconazole,CHEMBL1200438
sulfamerazine,CHEMBL438
chlorcyclizine,CHEMBL22150
chlorisondamine-diiodide,CHEMBL1398654
"2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one",CHEMBL4303207
mebhydrolin,CHEMBL1625607
retinyl-acetate,CHEMBL486193
probucol,CHEMBL608
EVP-6124,CHEMBL2151572
Mangafodipir (trisodium),CHEMBL2096651
AM-630,CHEMBL181633
NU-7026,CHEMBL104468
ribavirin,CHEMBL1643
GSK269962,CHEMBL220241
Y-27152,CHEMBL1476996
methylergometrine,CHEMBL1201356
fluphenazine-decanoate,CHEMBL1200854
"chromanol-293B-(-)-[3R,4S]",CHEMBL434045
AZD7762,CHEMBL2041933
AT13387,CHEMBL1214827
nafcillin,CHEMBL1443
ajmaline,CHEMBL5314404
TC-OT-39,CHEMBL360648
isoxsuprine,CHEMBL1197051
SIB-1893,CHEMBL88612
kinetin,CHEMBL228792
GBR-13069,CHEMBL112280
chloramphenicol-sodium-succinate,CHEMBL1201281
NECA,CHEMBL464859
dinaciclib,CHEMBL2103840
palovarotene,CHEMBL2105648
UH-232-(+),CHEMBL278751
palmatine-chloride,CHEMBL206106
allopregnanolone,CHEMBL207538
AZD5438,CHEMBL488436
loratadine,CHEMBL998
JTE-907,CHEMBL178372
minaprine,CHEMBL278819
chidamide,CHEMBL4087968
ropivacaine,CHEMBL1077896
sulfaguanidine,CHEMBL338802
OTS167,CHEMBL3688339
dideoxyadenosine,CHEMBL23094
siramesine,CHEMBL61479
mandelic-acid,CHEMBL1609
almotriptan,CHEMBL1505
chloramphenicol-palmitate,CHEMBL1506
masitinib,CHEMBL1908391
flumethasone-pivalate,CHEMBL1200877
adenosine-phosphate,CHEMBL752
MD-920,CHEMBL1232952
nadifloxacin,CHEMBL363449
mabuterol,CHEMBL86749
JNJ-1661010,CHEMBL460273
telmesteine,CHEMBL2107621
A-438079,CHEMBL377219
CCG-63808,CHEMBL1604848
tiquizium,CHEMBL4297146
cetrorelix,CHEMBL1200490
exalamide,CHEMBL1405973
sulforaphane,CHEMBL48802
sarpogrelate,CHEMBL52939
dyclonine,CHEMBL1201217
GSK2837808A,CHEMBL3335794
linalool,CHEMBL25306
ethyl-vanillin,CHEMBL508676
BTT-3033,CHEMBL4303254
CEP-32496,CHEMBL2029988
azasetron,CHEMBL1598608
AC-55649,CHEMBL425027
ioxilan,CHEMBL1201075
litronesib,CHEMBL2105661
dapoxetine,CHEMBL2110900
R-268712,CHEMBL4303194
crizotinib-(S),CHEMBL1825141
ZALEPLON,CHEMBL1521
OG-L002,CHEMBL4289507
GLPG0492-R-enantiomer,CHEMBL2178101
SANT-1,CHEMBL515916
MY-5445,CHEMBL332898
furaltadone,CHEMBL1189513
fentiazac,CHEMBL589092
ospemifene,CHEMBL2105395
KW-2478,CHEMBL4297298
L-165041,CHEMBL153057
ceftaroline-fosamil,CHEMBL501122
acalabrutinib,CHEMBL3707348
PF-4800567,CHEMBL2069623
benzthiazide,CHEMBL1201039
PRT062607,CHEMBL2177736
TC-E-5006,CHEMBL2146722
SDZ-SER-082,CHEMBL316069
CC4,CHEMBL4303499
imatinib,CHEMBL941
U-50488-(-),CHEMBL58033
