drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes
Midostaurin,Multikinase inhibitor,"Inhibits FLT3, KIT, PDGFR and PKC signaling kinases",1.0,1000.0,nM,Also known as PKC412; approved for FLT3‑mutated AML; active at low nanomolar concentrations in FLT3‑ITD AML lines such as MOLM13
Sorafenib,Multikinase inhibitor,"Inhibits FLT3, RAF, VEGFR and PDGFR kinases",1.0,1000.0,nM,Used off‑label in FLT3‑ITD AML; strong activity in MOLM13 and MV4‑11
Sunitinib,Multikinase inhibitor,"Inhibits FLT3, KIT, PDGFR and VEGFR kinases",1.0,1000.0,nM,Reported anti‑proliferative effects in FLT3‑ITD AML models
Ponatinib,Tyrosine kinase inhibitor,"Inhibits BCR‑ABL, FLT3 and FGFR kinases",0.3,300.0,nM,Potent FLT3 inhibitor including some TKD mutants; active in FLT3‑ITD AML cell lines
Dasatinib,Tyrosine kinase inhibitor,Inhibits SRC and ABL family kinases,1.0,1000.0,nM,"Shows anti‑leukemic activity in subsets of AML, including some FLT3‑ITD models via downstream signaling effects"
Nilotinib,Tyrosine kinase inhibitor,"Inhibits BCR‑ABL, KIT and PDGFR kinases",10.0,3000.0,nM,"Shown to inhibit proliferation in some AML cell lines, especially with activated KIT/PDGFR pathways"
Imatinib,Tyrosine kinase inhibitor,"Inhibits BCR‑ABL, KIT and PDGFR kinases",0.3,300.0,µM,Less potent in FLT3‑ITD AML; useful benchmark for KIT/PDGFR dependency in MOLM13
Venetoclax,BCL‑2 inhibitor,Selectively inhibits the anti‑apoptotic protein BCL‑2,1.0,1000.0,nM,Also known as ABT‑199; approved for AML in combination regimens; MOLM13 is typically BCL‑2‑dependent and sensitive
Ruxolitinib,JAK inhibitor,"Inhibits JAK1 and JAK2, blocking JAK‑STAT signaling",0.3,300.0,nM,"Used to probe JAK‑STAT pathway contribution to AML cell survival, including in MOLM13"
Tofacitinib,JAK inhibitor,"Inhibits JAK1 and JAK3, modulating cytokine receptor signaling",0.3,300.0,nM,Approved for rheumatoid arthritis; some JAK‑dependent leukemias show sensitivity
Everolimus,mTOR inhibitor,"Inhibits mTORC1, reducing PI3K/AKT/mTOR pathway signaling",0.3,300.0,nM,mTOR inhibition reduces AML proliferation and can synergize with FLT3 or BCL‑2 inhibitors
Sirolimus,mTOR inhibitor,Inhibits mTORC1 via FKBP12‑rapamycin complex,0.3,300.0,nM,Also known as Rapamycin; classic mTOR inhibitor with anti‑proliferative effects in AML cell lines
Metformin,Biguanide / metabolic modulator,"Activates AMPK and inhibits mitochondrial complex I, impairing oxidative phosphorylation",0.3,30.0,mM,Antidiabetic drug; at high micromolar to low millimolar concentrations can reduce mitochondrial function and AML proliferation
Disulfiram,ALDH inhibitor / proteostasis modulator,"Inhibits aldehyde dehydrogenase and, with copper, forms complexes that generate ROS and inhibit proteasome/NPL4",0.1,30.0,µM,"Often tested with added Cu (e.g., 1–5 µM); AML stem/progenitor cells are often ALDH‑high; active in FLT3‑ITD AML lines"
Valproic acid,HDAC inhibitor / anticonvulsant,"Inhibits class I and IIa histone deacetylases, altering chromatin and gene expression",0.3,300.0,µM,Used clinically as an anticonvulsant; has differentiation‑inducing and cytostatic effects in AML
Vorinostat,HDAC inhibitor,"Inhibits histone deacetylases, promoting acetylation and transcriptional reprogramming",0.1,30.0,µM,"Also known as SAHA; approved for CTCL; shows potent anti‑proliferative and pro‑apoptotic effects in AML, including FLT3‑ITD models"
Panobinostat,Pan‑HDAC inhibitor,"Broadly inhibits class I, II and IV histone deacetylases",1.0,300.0,nM,Very potent HDAC inhibitor with reported low‑nanomolar activity in AML cell lines
Chloroquine,Autophagy/lysosome inhibitor,Blocks lysosomal acidification and autophagic flux,1.0,1000.0,µM,Antimalarial drug; hydroxychloroquine is a related alternative; autophagy inhibition can enhance AML cell death and TKI responses
Thalidomide,IMiD / cereblon modulator,Binds cereblon to modulate E3 ubiquitin ligase activity and induce degradation of targets such as IKZF1/3,1.0,1000.0,µM,Lenalidomide is a related IMiD; both are cereblon modulators with immunomodulatory and anti‑leukemic effects in some AML subsets
Niclosamide,Anthelmintic / mitochondrial uncoupler,"Uncouples oxidative phosphorylation and inhibits signaling pathways including Wnt/β‑catenin, STAT3 and NF‑κB",0.1,30.0,µM,Repurposed anthelmintic with published anti‑leukemic and anti‑stem‑cell activity in AML; perturbs mitochondrial metabolism and survival signaling
