drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes,_name_norm,_in_known,chembl_id
Ponatinib,Multitargeted tyrosine kinase inhibitor,Inhibits BCR-ABL and multiple tyrosine kinases including FLT3,0.00046,1.0,µM,Reported activity in FLT3 AML models.,ponatinib,False,CHEMBL2105708
Bortezomib,Proteasome inhibitor,"Reversible inhibitor of the 26S proteasome (inhibits proteasomal degradation, inducing apoptosis)",4.6e-05,0.1,µM,Boronate proteasome inhibitor; anti-proliferative in AML models (top conc 0.1 µM = 100 nM).,bortezomib,False,CHEMBL325041
Carfilzomib,Proteasome inhibitor,Irreversible epoxyketone inhibitor of the 20S proteasome (induces proteotoxic stress and apoptosis),4.6e-05,0.1,µM,Potent proteasome inhibitor with low-nM activity in many cell types.,carfilzomib,False,CHEMBL451887
Panobinostat,Pan-HDAC inhibitor,Broad inhibition of HDAC enzymes leading to increased histone acetylation and apoptosis,0.0046,10.0,µM,More potent pan-HDAC inhibitor than some class-selective agents; active in AML preclinical studies.,panobinostat,False,CHEMBL483254
Alvocidib,CDK inhibitor,"Inhibits CDKs (notably CDK9), suppressing transcriptional elongation (e.g., MCL1 downregulation) and inducing apoptosis",0.0046,10.0,µM,Also known as flavopiridol; clinical history in AML trials.,alvocidib,False,CHEMBL2105698
Alisertib,Aurora A kinase inhibitor,"Inhibits Aurora A kinase, disrupting mitotic progression and inducing mitotic catastrophe",0.0046,10.0,µM,Also called MLN8237; mitotic kinase inhibitor with AML activity.,alisertib,False,CHEMBL2103871
Metformin,Biguanide (metabolic modulator),Inhibits mitochondrial complex I and alters cellular metabolism/AMPK signaling (anticancer effects often at high concentrations in vitro),0.0091,20.0,mM,Often active only at high µM–mM ranges in vitro; top conc 20 mM. Prepare stocks appropriately; interpret with caution.,metformin,False,CHEMBL1431
Mebendazole,Anthelmintic / tubulin inhibitor,"Binds tubulin, disrupting microtubule polymerization and mitosis; reported anticancer/tubulin-target effects",0.0229,50.0,µM,Repurposing candidate with reported activity across several cancer models including AML.,mebendazole,False,CHEMBL685
Itraconazole,Antifungal / repurposing candidate,"Antifungal (lanosterol 14α-demethylase inhibitor) with reported off-target effects on Hedgehog, PI3K/mTOR and angiogenesis pathways in cancer models",0.0229,50.0,µM,Repurposing candidate with multiple reported anticancer mechanisms and known CYP3A4 interactions.,itraconazole,False,CHEMBL5483033
Disulfiram,Aldehyde dehydrogenase inhibitor / repurposing candidate,ALDH inhibitor; forms copper complexes that generate ROS and can inhibit proteasome/induce cytotoxicity (copper-dependent anticancer activity),0.0046,10.0,µM,Run assays with CuCl2 (1 µM final) as indicated; include parallel control without copper. Antialcoholism drug with reported anticancer effects when complexed with copper.,disulfiram,False,CHEMBL964
Artesunate,Artemisinin derivative / pro-oxidant agent,"Generates reactive oxygen species via endoperoxide activation (iron-dependent), causing DNA/protein damage and cell death",0.0229,50.0,µM,Artemisinin-class compound with reported low-to-mid µM activity in AML lines.,artesunate,False,CHEMBL361497
