drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes,_name_norm,_in_known,chembl_id
Navitoclax,BCL‑2/BCL‑XL inhibitor,Inhibits BCL‑2 family (BCL‑2 and BCL‑XL),1.0,100.0,nM,Also known as ABT‑263; broader BCL family inhibitor with reported AML activity.,navitoclax,False,CHEMBL2105690
Bortezomib,Proteasome inhibitor,Inhibits 26S proteasome leading to proteostasis disruption and apoptosis,1.0,3000.0,nM,Studied in AML preclinical studies and combinations; cell‑line dependent potency.,bortezomib,False,CHEMBL325041
Auranofin,Repurposed gold compound / thioredoxin reductase inhibitor,Inhibits thioredoxin reductase and induces oxidative stress,1.0,10.0,µM,Repurposing candidate with reported cytotoxicity in AML including FLT3‑mutant lines; potency often in low‑micromolar range.,auranofin,False,CHEMBL1366
Tigecycline,Antibiotic (mitochondrial translation inhibitor),"Inhibits mitochondrial protein translation, impairing mitochondrial function",1.0,50.0,µM,Reported to preferentially target AML stem/progenitor cells by affecting mitochondria; preclinical evidence.,tigecycline,False,CHEMBL376140
Flavopiridol,CDK inhibitor,Inhibits CDKs (notably CDK9 and other CDKs) affecting transcription,1.0,100.0,nM,Also known as Alvocidib; clinical and preclinical activity in AML.,flavopiridol,False,CHEMBL8817
Dinaciclib,CDK1/2/5/9 inhibitor,Pan‑CDK inhibition leading to cell‑cycle and transcriptional effects,1.0,100.0,nM,Preclinical AML efficacy reported.,dinaciclib,False,CHEMBL2103840
Omacetaxine mepesuccinate,Protein synthesis inhibitor,Inhibits protein synthesis (translation elongation),1.0,3000.0,nM,Also called homoharringtonine; used in CML with reported leukemia activity; nanomolar to low‑micromolar potency reported.,omacetaxine mepesuccinate,False,CHEMBL46286
Disulfiram,Repurposed alcohol‑aversion drug (copper‑dependent anticancer activity),Induces oxidative stress and can cause proteasome inhibition in cancer cells (often copper‑dependent),1.0,50.0,µM,Activity in AML reported in preclinical studies when combined with copper; context‑dependent potency.,disulfiram,False,CHEMBL964
Simvastatin,HMG‑CoA reductase inhibitor (statin),Inhibits HMG‑CoA reductase affecting cholesterol biosynthesis and prenylation pathways,1.0,50.0,µM,Epidemiologic/preclinical signals in AML; often tested in combinations; listed generically as statins.,simvastatin,False,CHEMBL1201391
Chloroquine,Antimalarial / autophagy inhibitor,Lysosomotropic agent that impairs autophagy and lysosomal function,1.0,50.0,µM,Also represented by hydroxychloroquine; frequently used as a chemosensitizer in AML preclinical studies.,chloroquine,False,CHEMBL76
17‑AAG,HSP90 inhibitor,"Inhibits HSP90, destabilizing client oncoproteins",1.0,3000.0,nM,Also called Tanespimycin; reported preclinical activity in AML (nanomolar to low‑micromolar).,17 aag,False,CHEMBL267912
Rapamycin,mTOR inhibitor,Inhibits mTOR signaling pathway (mTORC1),1.0,3000.0,nM,Also represented by everolimus; mTOR pathway inhibitors studied in AML with variable dependence.,rapamycin,False,CHEMBL413
Dasatinib,Multi‑kinase inhibitor (SRC/ABL and others),Inhibits SRC/ABL and multiple other kinases affecting signaling,1.0,100.0,nM,Reported AML cell‑line activity in some contexts and tested clinically in subsets; off‑target kinase profile may be relevant.,dasatinib,False,CHEMBL1421
