drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes,_name_norm,_in_known,chembl_id
Ponatinib,Multikinase inhibitor,"Inhibits ABL, FLT3, and other kinases",0.1,3000.0,nM,BCR-ABL/FLT3 active; relevant to FLT3-ITD AML models,ponatinib,False,CHEMBL2105708
Sunitinib,Multikinase inhibitor,Inhibits FLT3 and multiple receptor tyrosine kinases,0.5,10000.0,nM,Multi-kinase; FLT3 activity,sunitinib,False,CHEMBL597365
Cabozantinib,RTK inhibitor (MET/AXL/VEGFR),"Inhibits MET, AXL, VEGFR; reported FLT3/AXL activity in AML",0.5,10000.0,nM,Reported FLT3/AXL activity in AML,cabozantinib,False,CHEMBL2105717
Regorafenib,Multikinase inhibitor,Inhibits multiple kinases including reported FLT3 and TIE2,0.5,10000.0,nM,Reported FLT3/TIE2 activity,regorafenib,False,CHEMBL1946170
Dasatinib,SRC/ABL family kinase inhibitor,Inhibits SRC and ABL family kinases; AML activity via SRC/KIT signaling,0.5,10000.0,nM,Targets SRC/ABL; impacts KIT signaling in AML,dasatinib,False,CHEMBL1421
Trametinib,MEK inhibitor,MEK1/2 inhibition,0.1,3000.0,nM,MEK1/2 inhibitor,trametinib,False,CHEMBL2103875
Selumetinib,MEK inhibitor,MEK1/2 inhibition,1.0,10000.0,nM,MEK1/2 inhibitor,selumetinib,False,CHEMBL2105684
Everolimus,mTOR inhibitor,mTORC1 inhibition,1.0,30000.0,nM,mTORC1 inhibitor,everolimus,False,CHEMBL1908360
Copanlisib,PI3K inhibitor,Pan-PI3K inhibition,1.0,30000.0,nM,Pan-PI3K inhibitor,copanlisib,False,CHEMBL3218576
Bortezomib,Proteasome inhibitor,26S proteasome inhibition,0.5,100.0,nM,Reversible proteasome inhibitor,bortezomib,False,CHEMBL325041
Carfilzomib,Proteasome inhibitor,Irreversible proteasome inhibition,0.5,300.0,nM,Epoxyketone; irreversible proteasome inhibitor,carfilzomib,False,CHEMBL451887
Ixazomib,Proteasome inhibitor,Proteasome inhibition (oral agent),1.0,1000.0,nM,Oral proteasome inhibitor,ixazomib,False,CHEMBL3545432
Panobinostat,HDAC inhibitor (epigenetic modulator),Pan-HDAC inhibition,0.5,1000.0,nM,Pan-HDAC inhibitor,panobinostat,False,CHEMBL483254
Romidepsin,HDAC inhibitor (epigenetic modulator),Class I HDAC inhibition,0.1,500.0,nM,Class I selective HDAC inhibitor,romidepsin,False,CHEMBL343448
Tigecycline,Mitochondrial translation inhibitor (antibiotic),Inhibits mitochondrial protein synthesis,0.1,30.0,µM,Antibiotic; mitochondrial translation inhibitor,tigecycline,False,CHEMBL376140
Atovaquone,OxPhos inhibitor (antimalarial),Inhibits mitochondrial electron transport chain complex III,0.1,30.0,µM,Antimalarial; complex III inhibitor; note potential solubility limits in assay medium,atovaquone,False,CHEMBL1450
Niclosamide,Anthelmintic; mitochondrial/Metabolic modulator,Disrupts oxidative phosphorylation; modulates Wnt/STAT3 signaling,0.01,10.0,µM,Anthelmintic; affects OxPhos/Wnt/STAT3; limited solubility—monitor for precipitation,niclosamide,False,CHEMBL1448
