drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes
Midostaurin,Kinase inhibitor (PKC/FLT3 inhibitor),Inhibits FLT3 (including FLT3-ITD) and PKC signaling to reduce AML cell proliferation,1.0,10.0,µM,Approved for FLT3+ AML; noted MOLM-13 (FLT3-ITD) sensitivity; potency band low–mid nM to sub-µM
Gilteritinib,Kinase inhibitor (FLT3/AXL inhibitor),"Inhibits FLT3 and AXL kinases, blocking downstream proliferative signaling in FLT3-driven AML",0.3,3.0,µM,Approved for FLT3+ AML; potency band single-digit to tens of nM
Quizartinib,Kinase inhibitor (FLT3 inhibitor),"Selective FLT3 inhibition, particularly effective in FLT3-ITD AML models",0.1,1.0,µM,Approved in some regions/late-stage; described as strong FLT3-ITD activity; potency band sub-nM to low nM
Sorafenib,Multi-kinase inhibitor,"Inhibits multiple kinases including FLT3, affecting AML cell growth and survival pathways",3.0,30.0,µM,Approved for HCC/RCC; potency band tens of nM to low µM (context-dependent)
Sunitinib,Multi-kinase inhibitor,Inhibits multiple kinases (including FLT3/VEGFR/PDGFR) to suppress proliferative signaling,10.0,30.0,µM,Approved for RCC/GIST; notes activity against FLT3/VEGFR/PDGFR; potency band ~0.1–5 µM
Dasatinib,Kinase inhibitor (SRC/ABL inhibitor),"Inhibits SRC-family kinases and ABL, potentially impairing signaling dependencies in AML subsets",0.3,3.0,µM,Approved for CML/ALL; noted potential synergy with FLT3 inhibition; potency band ~1–100 nM in sensitive contexts
Ruxolitinib,Kinase inhibitor (JAK1/2 inhibitor),Inhibits JAK1/2 to reduce JAK/STAT pathway signaling implicated in AML microenvironment contexts,30.0,30.0,µM,Approved for myelofibrosis; variable single-agent AML activity; potency band ~0.1–10 µM
Panobinostat,HDAC inhibitor (pan-HDAC),Inhibits histone deacetylases leading to increased histone acetylation and altered transcription promoting growth arrest/apoptosis,0.3,1.0,µM,Approved for multiple myeloma; potency band ~5–100 nM in many hematologic lines
Vorinostat,HDAC inhibitor,Inhibits histone deacetylases to modulate gene expression and induce anti-proliferative effects,30.0,30.0,µM,Alternative name: SAHA; approved for CTCL; potency band ~0.5–5 µM
Valproic acid,HDAC modulator (at higher concentrations),At higher concentrations exerts HDAC-inhibitory effects that can alter transcription and differentiation,10.0,10.0,mM,Approved for epilepsy; noted that in vitro activity often requires high concentrations; potency band ~0.3–5 mM
Decitabine,DNA hypomethylating agent,"Incorporates into DNA and inhibits DNA methyltransferases, causing hypomethylation; effects depend on replication/time",1.0,10.0,µM,Approved for MDS/AML; potency band ~10–500 nM; time-dependent and requires replication
Azacitidine,Hypomethylating agent,"Incorporates into RNA/DNA and inhibits DNA methylation, altering gene expression; schedule/time dependent",3.0,30.0,µM,Approved for MDS/AML; potency band ~50 nM–2 µM; schedule/time dependent
All-trans retinoic acid,Retinoid (differentiation therapy),Activates retinoic acid receptors to promote differentiation and alter transcriptional programs,10.0,30.0,µM,Abbreviation: ATRA; approved for APL; tested beyond APL; potency band ~0.1–10 µM depending on context
Venetoclax,BCL-2 inhibitor,"Selectively inhibits BCL-2, promoting apoptosis in BCL-2–dependent AML cells",0.1,3.0,µM,Approved for CLL/AML in combinations; sensitivity context-dependent and often better in combination; potency band ~1–100 nM in responsive AML
Navitoclax,BCL-2 family inhibitor (BCL-2/BCL-XL),Inhibits BCL-2 and BCL-XL to induce apoptosis,1.0,10.0,µM,Clinical-stage; potency band ~10 nM–1 µM
Bortezomib,Proteasome inhibitor,"Inhibits the proteasome, disrupting protein degradation and inducing proteotoxic stress/apoptosis",0.1,1.0,µM,Approved for multiple myeloma/MCL; potency band ~1–50 nM in many hematologic lines
Carfilzomib,Proteasome inhibitor,"Irreversibly inhibits the proteasome, leading to accumulation of misfolded proteins and apoptosis",0.1,3.0,µM,Approved for multiple myeloma; potency band ~1–100 nM
Arsenic trioxide,Cytotoxic/targeted agent (arsenical; apoptosis/proteostasis stress),Induces oxidative and proteotoxic stress and promotes apoptosis (classically in APL; broader AML interest),10.0,30.0,µM,Abbreviation: ATO; approved for APL; potency band ~0.2–5 µM depending on endpoint
Metformin,Antidiabetic; metabolic modulator,Inhibits mitochondrial complex I and activates AMPK-related metabolic stress pathways,10.0,50.0,mM,Approved for type 2 diabetes; in vitro potency often high (~0.5–20 mM)
Mebendazole,Anthelmintic; microtubule disruptor,Disrupts microtubule dynamics (tubulin-related effects) leading to anti-proliferative activity,10.0,30.0,µM,Reported anti-leukemia activity in screens; solubility/formulation noted as important; potency band ~0.1–5 µM
