drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes
Ponatinib,Tyrosine kinase inhibitor (pan-ABL/FLT3),Potent inhibition of ABL (including BCR-ABL) and FLT3-ITD signaling to block AML cell proliferation,1.0,10.0,nM,Approved for CML/Ph+ ALL; strong activity reported in MOLM-13/MV4-11
Sorafenib,Multikinase inhibitor (RAF/VEGFR/PDGFR/FLT3),"Inhibits RAF, VEGFR/PDGFR and FLT3-ITD signaling to suppress AML cell growth",1.0,10.0,nM,Approved for RCC/HCC; active against FLT3-ITD AML lines including MOLM-13/MV4-11
Sunitinib,Multikinase inhibitor (VEGFR/PDGFR/KIT/FLT3),Blocks multiple receptor tyrosine kinases including FLT3 to reduce oncogenic signaling,5.0,20.0,nM,Approved for RCC; active in FLT3-ITD AML lines including MOLM-13
Cabozantinib,Multikinase inhibitor (MET/VEGFR; also FLT3),Inhibits MET/VEGFR and FLT3 signaling pathways to impair AML proliferation,5.0,30.0,nM,Approved for RCC/thyroid cancer; activity in MOLM-13/MV4-11
Regorafenib,Multikinase inhibitor (VEGFR/PDGFR/RAF/FLT3),Targets multiple kinases including FLT3 to inhibit survival signaling,30.0,100.0,nM,Approved for CRC/GIST/HCC; active in MOLM-13/MV4-11
Pazopanib,Multikinase inhibitor (VEGFR/PDGFR; some FLT3 activity),Inhibits angiogenic kinases and exhibits some FLT3 inhibition,0.1,0.3,µM,Approved for RCC/STS; reported activity in MOLM-13/MV4-11
Dasatinib,Tyrosine kinase inhibitor (SRC/ABL; some FLT3),"Inhibits SRC/ABL kinases with partial FLT3 inhibition, reducing downstream signaling",50.0,200.0,nM,Approved for CML/Ph+ ALL; activity in MOLM-13 may be context-dependent
Nilotinib,Tyrosine kinase inhibitor (ABL/KIT; weak FLT3),Inhibits BCR-ABL and KIT; weaker activity on FLT3,1.0,5.0,µM,Approved for CML; less potent on FLT3 in AML
Omacetaxine mepesuccinate,Protein translation inhibitor,Inhibits ribosomal elongation to block protein synthesis and induce apoptosis,2.0,20.0,nM,Also known as homoharringtonine; approved for CML; active in MOLM-13
Bortezomib,Proteasome inhibitor,Reversible inhibition of the 26S proteasome leading to accumulation of misfolded proteins and apoptosis,5.0,50.0,nM,Approved for MM/MCL; active in MOLM-13
Carfilzomib,Proteasome inhibitor,Irreversible epoxyketone inhibitor of the 20S proteasome causing proteotoxic stress and cell death,10.0,50.0,nM,Approved for MM; active in MOLM-13
Selinexor,XPO1 inhibitor (nuclear export inhibitor),Blocks exportin-1 (XPO1)-mediated nuclear export to restore tumor suppressor function,0.1,0.5,µM,Approved for MM; active in MOLM-13
Ibrutinib,BTK inhibitor,"Covalent inhibition of BTK with additional off-target kinase inhibition, impairing survival signaling",1.0,5.0,µM,Approved for CLL/MCL; activity in MOLM-13 is variable
Tigecycline,Antibiotic (glycylcycline),"Inhibits mitochondrial translation, impairing oxidative phosphorylation in AML cells",1.0,5.0,µM,Repurposed antibiotic; activity reported in MOLM-13
Niclosamide,Anthelmintic,Uncouples oxidative phosphorylation and inhibits Wnt signaling,0.2,1.0,µM,Repurposed anthelmintic; OXPHOS/Wnt pathway effects in AML including MOLM-13
Auranofin,Anti-rheumatic (gold compound),"Inhibits thioredoxin reductase, increasing oxidative stress and inducing apoptosis",0.5,2.0,µM,Repurposed anti-rheumatic; active in MOLM-13
Clofazimine,Antimycobacterial,Disrupts lysosomal function and Wnt signaling; redox cycling affects cellular homeostasis,0.1,0.5,µM,Repurposed anti-leprosy agent; activity reported in AML lines including MOLM-13
Mefloquine,Antimalarial,Induces lysosomal disruption and autophagy inhibition leading to AML cell death,2.0,8.0,µM,Repurposed antimalarial; active in MOLM-13
Artesunate,Antimalarial (artemisinin derivative),"Generates reactive oxygen species via iron-dependent activation, inducing cytotoxicity",1.0,5.0,µM,Dihydroartemisinin (active metabolite) reported similarly active; tested in MOLM-13
Pimozide,Antipsychotic (diphenylbutylpiperidine),Inhibits STAT5 signaling; also antagonizes dopamine D2 receptors,1.0,5.0,µM,Repurposed antipsychotic; thioridazine shows similar activity (~5–15 µM) in AML
