drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes
Gilteritinib,FLT3 inhibitor,"Inhibits FLT3 tyrosine kinase, blocking FLT3‑driven signaling and proliferation",0.0,0.0,not specified,"Clinically approved for FLT3‑mutant AML; active in FLT3‑ITD models (e.g., MOLM‑13). No assay concentrations given in source text."
Quizartinib,FLT3 inhibitor,"Selective FLT3‑ITD tyrosine kinase inhibitor, inhibits FLT3 signaling",0.0,0.0,not specified,Highly FLT3‑ITD selective; preclinical and clinical activity in FLT3‑ITD AML. No assay concentrations given in source text.
Midostaurin,Multi‑kinase inhibitor,"Inhibits multiple kinases including FLT3, reducing proliferation and survival signaling",0.0,0.0,not specified,Approved in combination therapy for FLT3‑mutant AML. No assay concentrations given in source text.
Crenolanib,FLT3 inhibitor (type I),Type I FLT3 inhibitor active against FLT3‑ITD and many resistance mutants,0.0,0.0,not specified,Reported activity against FLT3 resistance mutants; relevant for FLT3‑driven AML. No assay concentrations given in source text.
Sorafenib,Multi‑kinase inhibitor,"Inhibits multiple kinases (RAF, VEGFR, PDGFR, FLT3 among others) to reduce proliferation",0.0,0.0,not specified,Used off‑label and in preclinical FLT3‑ITD models. No assay concentrations given in source text.
Venetoclax,BCL‑2 inhibitor,"Selective inhibitor of BCL‑2, promoting apoptosis in BCL‑2–dependent cells",0.0,0.0,not specified,Substantial single‑agent and combination activity in AML; synergizes with FLT3 inhibitors and hypomethylating agents. No assay concentrations given in source text.
Azacitidine,Hypomethylating agent (HMA),"Incorporates into DNA/RNA and inhibits DNA methyltransferases, leading to hypomethylation and altered gene expression",0.0,0.0,not specified,Standard AML therapy used in combinations. No assay concentrations given in source text.
Decitabine,Hypomethylating agent (HMA),"Inhibits DNA methyltransferases after incorporation into DNA, causing DNA hypomethylation and cytotoxicity",0.0,0.0,not specified,Widely used in AML therapy and combinations. No assay concentrations given in source text.
Revumenib,Menin inhibitor,"Disrupts menin‑MLL (KMT2A) interaction, impairing MLL‑fusion driven transcriptional programs",0.0,0.0,not specified,Example menin inhibitor (SNDX‑5613 / revumenib) relevant for MLL‑rearranged AML such as MOLM‑13. No assay concentrations given in source text.
OTX015,BET inhibitor,"Inhibits BET bromodomain proteins (e.g., BRD4), disrupting oncogenic transcriptional programs",0.0,0.0,not specified,Representative of BET inhibitors (OTX015 / JQ1 family) with activity in AML. No assay concentrations given in source text.
Bortezomib,Proteasome inhibitor,"Reversibly inhibits the 26S proteasome, leading to accumulation of misfolded proteins and apoptosis",0.0,0.0,not specified,Reported preclinical activity and synergistic combinations in AML. No assay concentrations given in source text.
Alvocidib,CDK inhibitor (transcriptional),"Inhibits CDKs (notably CDK9), causing transcriptional downregulation of short‑lived survival proteins",0.0,0.0,not specified,Also known as flavopiridol; clinical and preclinical AML activity. No assay concentrations given in source text.
Panobinostat,Pan‑HDAC inhibitor,"Inhibits histone deacetylases (HDACs), altering chromatin and gene expression to induce apoptosis",0.0,0.0,not specified,Has preclinical AML activity and clinical combination studies with HMAs. No assay concentrations given in source text.
Vorinostat,HDAC inhibitor,"Inhibits HDACs, increasing histone acetylation and affecting transcriptional programs",0.0,0.0,not specified,Also called SAHA; preclinical AML data and combination potential. No assay concentrations given in source text.
Palbociclib,CDK4/6 inhibitor,"Selectively inhibits CDK4/6, inducing G1 cell‑cycle arrest",0.0,0.0,not specified,Selective activity in subsets of AML; potential for combinations. No assay concentrations given in source text.
Trametinib,MEK inhibitor,"Inhibits MEK1/2 in the MAPK pathway, reducing MAPK‑driven proliferation/survival signaling",0.0,0.0,not specified,Useful when MAPK pathway activation contributes to AML survival. No assay concentrations given in source text.
Everolimus,mTOR inhibitor (rapalog),"Inhibits mTORC1, suppressing mTOR‑dependent growth and survival signaling",0.0,0.0,not specified,Preclinical AML activity and combination potential. No assay concentrations given in source text.
Idelalisib,PI3Kδ inhibitor,"Selectively inhibits PI3Kδ isoform, modulating PI3K/AKT signaling",0.0,0.0,not specified,Limited single‑agent activity in AML but may potentiate other agents. No assay concentrations given in source text.
Ivosidenib,IDH1 inhibitor,"Inhibits mutant IDH1, reducing oncometabolite (2‑HG) production and promoting differentiation",0.0,0.0,not specified,Clinically active in IDH1‑mutant AML; relevant only for IDH1‑mutant cases. No assay concentrations given in source text.
Gemtuzumab ozogamicin,Antibody‑drug conjugate (anti‑CD33),"Anti‑CD33 antibody linked to calicheamicin; binds CD33 on blasts, internalizes and releases cytotoxic payload",0.0,0.0,not specified,Approved for CD33+ AML; biologic ADC rather than small molecule. No assay concentrations given in source text.
