drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes
Midostaurin,Multikinase inhibitor,"Inhibits FLT3, KIT, PDGFR, and PKC to block oncogenic signaling in AML cells",0.1,10.0,nM–µM,"Also known as PKC412; approved for FLT3‑mutated AML; directly targets FLT3‑ITD, the driver in MOLM13"
Gilteritinib,Tyrosine kinase inhibitor,Selective FLT3 and AXL inhibitor that suppresses FLT3‑ITD–driven signaling,0.01,1.0,nM–µM,Also known as ASP2215; approved for relapsed/refractory FLT3‑mutated AML; very potent against FLT3‑ITD with strong activity in MOLM13
Quizartinib,Tyrosine kinase inhibitor,Highly selective FLT3 inhibitor that blocks FLT3‑ITD signaling,0.01,1.0,nM–µM,Also known as AC220; one of the most potent FLT3 inhibitors in FLT3‑ITD–positive lines
Sorafenib,Multikinase inhibitor,"Inhibits FLT3, RAF, VEGFR, and PDGFR, reducing FLT3 and MAPK pathway signaling",0.1,20.0,nM–µM,Used off‑label in FLT3‑ITD AML; active in MOLM13
Crenolanib,Tyrosine kinase inhibitor,"Inhibits FLT3 and PDGFR, including some FLT3 TKD mutants, to block proliferative signaling",0.1,3.0,nM–µM,Preclinical activity reported in MOLM13
Dasatinib,Multikinase inhibitor,"Inhibits SRC family kinases and ABL, and can affect KIT/FLT3‑related signaling",0.1,10.0,nM–µM,SRC/ABL inhibitor with reported anti‑proliferative effects in AML cell lines
Venetoclax,BCL‑2 inhibitor,"Selectively inhibits BCL‑2, promoting mitochondrial apoptosis in AML cells",0.1,10.0,nM–µM,"Also known as ABT‑199; approved for AML in combination regimens; MOLM13 is sensitive, especially with co‑treatments"
Navitoclax,BCL‑2 family inhibitor,"Inhibits BCL‑2 and BCL‑XL, broadening blockade of anti‑apoptotic proteins",0.1,10.0,nM–µM,Also known as ABT‑263; many AML lines are responsive
Panobinostat,Histone deacetylase (HDAC) inhibitor,"Pan‑HDAC inhibition leading to epigenetic reprogramming, differentiation, and apoptosis",0.1,3.0,nM–µM,Also known as LBH589; potent across AML panels
Vorinostat,Histone deacetylase (HDAC) inhibitor,"Inhibits HDACs to alter acetylation of histones and non‑histone proteins, affecting gene expression and survival",10.0,10.0,nM–µM,Also known as SAHA; active in AML preclinical studies
Decitabine,DNA methyltransferase inhibitor,"Incorporates into DNA and inhibits DNA methyltransferases, causing DNA hypomethylation and cell death",1.0,10.0,nM–µM,Hypomethylating agent approved in AML/MDS; activity in MOLM13 with longer (72–96 h) exposure
Azacitidine,Hypomethylating agent,"Inhibits DNA methylation through incorporation into nucleic acids, leading to hypomethylation and cytotoxicity",10.0,30.0,nM–µM,Widely used in AML; similar mechanism to decitabine; 72–96 h exposure suggested
Ruxolitinib,JAK inhibitor,"Inhibits JAK1 and JAK2, reducing JAK/STAT signaling",1.0,20.0,nM–µM,JAK/STAT pathway frequently activated in AML; combinatorial benefit reported
Ibrutinib,BTK inhibitor,"Irreversibly inhibits Bruton's tyrosine kinase (BTK), modulating B‑cell receptor–like signaling",10.0,30.0,nM–µM,BTK and related signaling may contribute to AML survival; modest direct effects but useful in combinations
Everolimus,mTOR inhibitor,"Inhibits mTORC1, down‑regulating PI3K/AKT/mTOR pathway signaling and reducing proliferation",0.1,10.0,nM–µM,Can reduce proliferation and enhance apoptosis in AML models
Idelalisib,PI3K inhibitor,"Selectively inhibits PI3Kδ, disrupting PI3K signaling that supports AML cell survival",1.0,20.0,nM–µM,PI3Kδ isoform is expressed in many hematologic malignancies
Trametinib,MEK inhibitor,"Inhibits MEK1/2, blocking MAPK/ERK pathway signaling downstream of FLT3 and RAS",0.1,10.0,nM–µM,Shown to impair AML cell growth
Imatinib,Tyrosine kinase inhibitor,"Inhibits BCR‑ABL, KIT, and PDGFR tyrosine kinases, reducing oncogenic signaling",10.0,30.0,nM–µM,Limited direct activity in FLT3‑ITD AML; relevant in KIT‑driven subsets and for pathway comparison
Lenalidomide,Immunomodulatory drug (IMiD),"Modulates cereblon‑mediated substrate degradation and affects immune and NF‑κB signaling, altering tumor–microenvironment interactions",10.0,50.0,nM–µM,Listed with thalidomide as an IMiD option; range given specifically for lenalidomide (10 nM–50 µM); direct cytotoxicity in AML is variable but of interest
Auranofin,Gold compound; redox‑active anti‑rheumatic agent,"Inhibits thioredoxin reductase, increasing reactive oxygen species and inducing oxidative stress–mediated cytotoxicity",1.0,20.0,nM–µM,Oral gold compound used in rheumatoid arthritis; reported cytotoxic to AML lines including FLT3‑ITD models
