drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes
Midostaurin,Multi-kinase inhibitor,"Inhibits FLT3, KIT, PDGFR and other kinases to block AML cell proliferation and survival",0.3,300.0,nM,Approved for FLT3-mutated AML; strong activity in MOLM-13
Gilteritinib,FLT3/AXL inhibitor,Selectively inhibits FLT3 and AXL signaling to reduce proliferation of FLT3-mut AML cells,0.3,300.0,nM,Approved for relapsed/refractory FLT3-mutated AML; potent in MOLM-13
Quizartinib,FLT3 inhibitor,"Highly selective inhibition of FLT3 kinase, particularly FLT3-ITD, leading to AML cell death",0.03,100.0,nM,Also known as AC220; very potent against FLT3-ITD AML cell lines including MOLM-13
Sorafenib,Multi-kinase inhibitor,"Inhibits FLT3, RAF, VEGFR, PDGFR and other kinases, disrupting proliferation and survival signaling",3.0,10000.0,nM,Used off-label in FLT3-mutated AML; published MOLM-13 data; 10 nM–2 µM expected active range
Sunitinib,Multi-kinase inhibitor,"Targets FLT3, KIT, VEGFR, PDGFR and related kinases to inhibit AML cell growth",10.0,30000.0,nM,Reported FLT3 inhibition and antiproliferative effects in AML cell lines
Dasatinib,SRC/ABL family tyrosine kinase inhibitor,Inhibits SRC and ABL family kinases and other signaling kinases involved in AML cell survival,1.0,10000.0,nM,Shows activity in some FLT3-mut and other AML cell lines
Ruxolitinib,JAK inhibitor,Inhibits JAK1 and JAK2 to block JAK-STAT signaling implicated in subsets of AML,30.0,30000.0,nM,Shows antiproliferative effects in some AML models; expected active range ~0.1–5 µM
Venetoclax,BCL-2 inhibitor,"Selectively inhibits anti-apoptotic BCL-2, promoting apoptosis of AML cells",0.3,3000.0,nM,Also known as ABT-199; approved for AML in combination; robust single-agent activity in many AML lines including MOLM-13; expected active range ~1–300 nM
Selinexor,Nuclear export (XPO1) inhibitor,"Inhibits exportin 1 (XPO1/CRM1), leading to nuclear retention of tumor suppressor proteins and induction of apoptosis",10.0,10000.0,nM,Nuclear export inhibition; preclinical and clinical AML data; expected active range ~20 nM–1 µM
Panobinostat,Pan-HDAC inhibitor,"Inhibits multiple histone deacetylases, causing epigenetic modulation and apoptosis in AML cells",1.0,3000.0,nM,Strong epigenetic effects; cytotoxic to AML blasts at low nM; expected active range ~5–200 nM
Vorinostat,HDAC inhibitor,Inhibits histone deacetylases to alter chromatin structure and induce apoptosis in AML cells,0.1,100.0,µM,Also known as SAHA; epigenetic modulation in AML cell lines; expected active range ~0.5–10 µM
Decitabine,DNA hypomethylating agent,"Incorporates into DNA and inhibits DNA methyltransferase, causing hypomethylation and cytotoxicity after DNA incorporation",0.01,30.0,µM,Standard AML drug; expected active range in vitro (72–96 h) ~50 nM–5 µM
Azacitidine,DNA/RNA hypomethylating agent,"Incorporates into DNA and RNA, inhibiting DNA methyltransferase and altering RNA function to induce anti-proliferative effects",0.1,100.0,µM,Standard of care in AML/MDS; expected active range (72–96 h) ~0.5–20 µM
Ibrutinib,BTK inhibitor,"Primarily inhibits Bruton's tyrosine kinase, with additional off-target kinase effects that can disrupt AML signaling",0.1,100.0,µM,Reduces viability in subsets of AML cell lines; expected active range ~0.5–10 µM
Tofacitinib,JAK inhibitor,"Inhibits JAK1 and JAK3, modulating JAK-STAT signaling involved in myeloid malignancies",0.3,100.0,µM,Repurposing interest in myeloid malignancies; expected active range ~1–20 µM
Nilotinib,BCR-ABL / KIT inhibitor,"Inhibits BCR-ABL and KIT, as well as other kinases implicated in AML cell survival",10.0,30000.0,nM,Reported activity in various AML cell lines; expected active range ~50 nM–3 µM
Imatinib,BCR-ABL / KIT / PDGFR inhibitor,"Inhibits BCR-ABL, KIT, and PDGFR signaling pathways, reducing proliferation in susceptible AML subgroups",0.1,100.0,µM,Applicable to KIT- or PDGFR-dependent AML; modest direct MOLM-13 activity possible; expected active range ~0.5–10 µM
Trametinib,MEK inhibitor,"Inhibits MEK1/2 to block MAPK/ERK signaling, leading to antiproliferative effects in RAS/MAPK-driven AML models",0.3,3000.0,nM,Expected active range ~1–200 nM; MAPK pathway active in many AMLs
Everolimus,mTOR inhibitor,"Inhibits mTORC1, reducing PI3K/AKT/mTOR pathway signaling required for AML cell growth and survival",0.3,3000.0,nM,mTORC1 inhibitor; expected active range ~1–500 nM; shows AML cytotoxicity in vitro
Metformin,AMPK activator / mitochondrial complex I inhibitor,"Inhibits mitochondrial complex I and activates AMPK, leading to energetic stress and anti-proliferative effects in AML cells at high concentrations",0.1,30.0,mM,Repurposing candidate; expected active range in vitro ~0.5–10 mM in various cancer cell lines including myeloid
