drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes
Nilotinib,BCR-ABL / KIT / PDGFR inhibitor (tyrosine kinase inhibitor),"Inhibits BCR-ABL, KIT, PDGFR and has reported inhibitory activity against FLT3, blocking oncogenic kinase signaling and AML cell proliferation",0.001,10.0,µM,Active in several AML models including FLT3-mutated contexts; used as a comparator TKI in AML studies
Dasatinib,SRC/ABL family tyrosine kinase inhibitor,Inhibits SRC and ABL family kinases and other signaling kinases involved in AML survival and proliferation,0.001,10.0,µM,Reported anti-proliferative activity in AML cell lines; multi-target TKI
Sorafenib,"Multikinase inhibitor (RAF, VEGFR, PDGFR, FLT3)","Inhibits RAF kinases as well as VEGFR, PDGFR and FLT3, thereby blocking proliferation and survival signaling in FLT3-ITD AML cells",0.001,10.0,µM,Widely reported activity against FLT3-ITD–positive AML lines such as MOLM-13 and MV4-11; low-nM potency against FLT3
Sunitinib,"Multikinase inhibitor (FLT3, KIT, VEGFR, PDGFR, etc.)","Inhibits FLT3, KIT, VEGFR, PDGFR and other receptor tyrosine kinases, suppressing growth-promoting signaling in AML",0.001,10.0,µM,Known to inhibit FLT3 and suppress growth of FLT3-mutant AML lines
Ponatinib,Pan-BCR-ABL / multikinase inhibitor,"Potently inhibits BCR-ABL and multiple additional kinases including FLT3, leading to strong suppression of FLT3-ITD–driven signaling",0.0001,1.0,µM,Strong FLT3-ITD inhibitor; highly potent in FLT3-ITD AML lines such as MOLM-13 and MV4-11
Imatinib,BCR-ABL / KIT / PDGFR inhibitor,"Inhibits BCR-ABL, KIT and PDGFR tyrosine kinases, reducing downstream proliferative signaling",0.01,50.0,µM,Less active in AML than newer TKIs; may be relevant in KIT/PDGFR-driven AML subsets and serves as a comparator drug
Midostaurin,Multikinase inhibitor (clinically used FLT3 inhibitor),"Inhibits FLT3 and additional kinases, blocking FLT3-ITD–driven signaling and inducing apoptosis in AML cells",0.001,10.0,µM,Clinically used in FLT3-mutated AML; MOLM-13 is commonly used for midostaurin studies
Crenolanib,FLT3 inhibitor (type I),"Selective type I FLT3 inhibitor that targets both active and inactive conformations, suppressing FLT3-ITD signaling and AML cell proliferation",0.0003,3.0,µM,Potent against FLT3-ITD AML lines including MOLM-13; often shows sub-50 nM IC50
Quizartinib,FLT3 inhibitor (type II),"Highly potent type II inhibitor of FLT3, preferentially binding the inactive conformation to block FLT3-ITD signaling",0.0001,1.0,µM,Also known as AC220; very potent in FLT3-ITD–positive lines such as MOLM-13
Ibrutinib,BTK inhibitor,"Irreversibly inhibits Bruton's tyrosine kinase (BTK) and has off-target activity on additional kinases, perturbing signaling pathways relevant for AML cell survival",0.01,20.0,µM,Primarily a BTK inhibitor but some AML lines exhibit sensitivity via off-target and signaling-network effects
Venetoclax,BCL-2 inhibitor (BH3 mimetic),"Selectively binds and inhibits anti-apoptotic protein BCL-2, promoting apoptosis of BCL-2–dependent AML cells",0.0003,3.0,µM,Also known as ABT-199; very active in AML including FLT3-ITD lines; MOLM-13 typically highly sensitive
Navitoclax,BCL-2/BCL-XL inhibitor (BH3 mimetic),"Inhibits anti-apoptotic proteins BCL-2 and BCL-XL, triggering mitochondrial apoptosis in leukemic cells",0.001,10.0,µM,Also known as ABT-263; earlier-generation BH3 mimetic with anti-leukemic activity in multiple AML cell lines
Disulfiram,ALDH inhibitor; proteasome- and NF-κB-modulating agent (with copper),"Inhibits aldehyde dehydrogenase and, when complexed with Cu2+, interferes with proteasome function and NF-κB signaling, leading to AML cell death",0.05,5.0,µM,"Commonly tested with copper (e.g., 0.5–2 µM CuCl2) as a combination; proposed to target AML stem-like cells"
Metformin,Antidiabetic biguanide; AMPK activator / mitochondrial complex I modulator,"Inhibits mitochondrial complex I and activates AMPK, inducing energetic stress and reducing AML cell proliferation at higher in vitro concentrations",0.1,20.0,mM,Repurposed for anticancer effects; AML anti-proliferative activity typically observed in the millimolar range in vitro
Chloroquine,Antimalarial; autophagy inhibitor,"Raises lysosomal pH and blocks autophagic flux, leading to accumulation of damaged organelles and reduced AML cell survival",1.0,50.0,µM,Often used interchangeably or in parallel with hydroxychloroquine for autophagy inhibition in AML studies
Atorvastatin,HMG-CoA reductase inhibitor (statin),"Inhibits HMG-CoA reductase, reducing mevalonate pathway products and impairing prenylation-dependent signaling required for AML cell growth",0.1,50.0,µM,Statin class; simvastatin shows similar AML growth inhibition; often tested as a representative statin
Thalidomide,Immunomodulatory drug (IMiD),"Binds cereblon and alters ubiquitination of specific substrates, leading to complex immunomodulatory and direct anti-leukemic effects",0.1,50.0,µM,Lenalidomide is a related IMiD with similar conceptual use; AML data are mixed but present
Bortezomib,Proteasome inhibitor,"Reversibly inhibits the 26S proteasome, leading to accumulation of misfolded proteins and inhibition of NF-κB signaling, triggering apoptosis in AML cells",0.0003,0.3,µM,Clinically used in multiple myeloma; demonstrates strong pro-apoptotic effects in AML cell lines
Carfilzomib,Irreversible proteasome inhibitor,"Irreversibly inhibits the chymotrypsin-like activity of the proteasome, inducing proteotoxic stress and apoptosis in AML cells",0.0001,0.3,µM,Next-generation proteasome inhibitor; effective in AML cell models including FLT3-mutant subsets
Vorinostat,Histone deacetylase (HDAC) inhibitor,"Inhibits HDAC enzymes, leading to increased histone acetylation, altered gene expression, and induction of differentiation and apoptosis in AML cells",0.01,10.0,µM,Also known as SAHA; widely used HDAC inhibitor with documented activity in multiple AML lines including MOLM-13
