drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes,_name_norm,_in_known,chembl_id
Auranofin,Gold compound / thioredoxin reductase inhibitor,"Inhibits thioredoxin reductase, inducing oxidative stress and apoptosis",0.001,100.0,µM,Repurposing candidate with single‑agent activity in AML models; systemic toxicity profile relevant.,auranofin,False,CHEMBL1366
Disulfiram,Alcohol‑aversion drug / proteasome/ALDH modulator,Copper‑dependent proteasome inhibition and ALDH modulation leading to cytotoxicity,0.01,100.0,µM,"Often requires copper for robust anti‑leukemic activity; multiple proposed mechanisms (proteasome, ALDH inhibition).",disulfiram,False,CHEMBL964
Niclosamide,Anti‑helminthic / signaling inhibitor,Inhibits Wnt/STAT3 signaling and acts as mitochondrial uncoupler to reduce proliferation,0.001,100.0,µM,Reported activity against AML cell lines and stem‑like cells; bioavailability issues in vivo.,niclosamide,False,CHEMBL1448
Mebendazole,Anti‑helminthic / microtubule disruptor,"Disrupts microtubules, causing mitotic arrest and apoptosis",0.001,100.0,µM,Cytotoxic in various cancer lines including AML; repurposing candidate with expected µM potency.,mebendazole,False,CHEMBL685
Tigecycline,Antibiotic (glycylcycline),"Inhibits mitochondrial translation, impairing oxidative metabolism",0.001,100.0,µM,Targets mitochondrial translation in leukemia stem cells; used in metabolic vulnerability studies.,tigecycline,False,CHEMBL376140
Itraconazole,Antifungal / signaling modulator,"Modulates Hedgehog signaling, angiogenesis and cholesterol trafficking affecting cancer cell survival",0.01,50.0,µM,Reported preclinical anti‑AML effects and impacts on drug efflux/signaling pathways.,itraconazole,False,CHEMBL5483033
Metformin,Biguanide (antidiabetic),"Impacts mitochondrial respiration and activates AMPK, altering cancer cell metabolism",0.0001,10.0,mM,Often requires high in vitro concentrations; interpret with caution relative to achievable plasma levels.,metformin,False,CHEMBL1431
Simvastatin,HMG‑CoA reductase inhibitor (statin),"Inhibits HMG‑CoA reductase, interfering with prenylation and survival pathways",0.001,50.0,µM,Statins have shown apoptosis/differentiation effects and synergy with other AML agents.,simvastatin,False,CHEMBL1201391
Chloroquine,Autophagy inhibitor,"Inhibits lysosomal function and autophagy, sensitizing cells to stress and other drugs",0.01,100.0,µM,Hydroxychloroquine is an alternative with similar use in AML autophagy studies; common concentrations are low‑ to mid‑µM in vitro.,chloroquine,False,CHEMBL76
Pimozide,Antipsychotic / signaling modulator,Reported inhibition of STAT5 and other oncogenic signaling pathways,0.001,100.0,µM,Identified in repurposing screens as inhibitory in some AML models; mechanism may be multi‑factorial.,pimozide,False,CHEMBL1423
Thioridazine,Antipsychotic,Reported targeting of cancer/leukemia stem‑like cells and induction of differentiation/apoptosis,0.001,100.0,µM,Preferential effects on stem‑like cells reported; safety concerns limit systemic repurposing without careful evaluation.,thioridazine,False,CHEMBL1200916
Pyrvinium pamoate,Anti‑helminthic / Wnt pathway inhibitor,Inhibits Wnt signaling and perturbs mitochondrial function to reduce proliferation,0.001,50.0,µM,Poor systemic absorption orally; reported anti‑proliferative activity in multiple cancer cell lines.,pyrvinium,False,CHEMBL1908377
Doxycycline,Tetracycline antibiotic,"Inhibits mitochondrial ribosomes, impairing mitochondrial protein synthesis",0.001,100.0,µM,Used to target leukemia stem cell mitochondrial translation; commonly used in combination studies.,doxycycline,False,CHEMBL1256723
Tamoxifen,Selective estrogen receptor modulator (SERM),ER‑dependent and ER‑independent antiproliferative effects (multiple signaling impacts),0.001,50.0,µM,Shows ER‑independent cytotoxicity in various cancer types including reports in leukemia cell lines.,tamoxifen,False,CHEMBL83
Celecoxib,COX‑2 inhibitor / signaling modulator,COX‑2 inhibition and modulation of survivin and other survival pathways,0.001,100.0,µM,Has shown cytotoxicity in AML cells; effects may include COX‑2 dependent and independent mechanisms.,celecoxib,False,CHEMBL118
Emetine,Protein synthesis inhibitor / antiprotozoal,Potent translation inhibitor causing strong cytotoxicity,1e-05,10.0,µM,Highly cytotoxic and systemically toxic—handle with care; historically used as an emetic/antiprotozoal.,emetine,False,CHEMBL50588
