drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes,_name_norm,_in_known,chembl_id
Auranofin,Anti‑rheumatic / Metal‑containing drug,Thioredoxin reductase inhibitor → increases ROS and induces apoptosis,0.0,0.0,not provided,Reported cytotoxicity in AML cell lines and primary AML samples; redox‑targeting agent; often tested in combinations.,auranofin,False,CHEMBL1366
Disulfiram,Alcohol‑dependence drug / Copper‑binding small molecule,Forms complexes (with copper) that inhibit proteasome and aldehyde dehydrogenase; promotes ROS,0.0,0.0,not provided,Activity typically copper‑dependent; shown to kill AML cells and leukemia stem‑like cells in studies.,disulfiram,False,CHEMBL964
Ciclopirox olamine,Antifungal / Metal chelator,Iron chelation and inhibition of ribonucleotide reductase; affects cell cycle,0.0,0.0,not provided,Shown anti‑leukemic activity in vitro and in vivo in some studies.,ciclopirox olamine,False,CHEMBL242580
Nelfinavir,HIV protease inhibitor,Induces ER stress; inhibits AKT signaling and proteasome‑related pathways,0.0,0.0,not provided,Tested in AML models as apoptosis inducer and chemosensitizer.,nelfinavir,False,CHEMBL365442
Mebendazole,Anthelmintic,Disrupts tubulin and has multiple off‑target effects,0.0,0.0,not provided,Preclinical anticancer activity reported in hematologic malignancies including AML models.,mebendazole,False,CHEMBL685
Nitazoxanide,Antiparasitic,Mitochondrial/energetic disruption and modulation of autophagy pathways,0.0,0.0,not provided,Emerging preclinical evidence for antiproliferative activity in some cancers including blood cancers.,nitazoxanide,False,CHEMBL1401
Metformin,Antidiabetic (biguanide),Complex I inhibition → AMPK activation and metabolic stress,0.0,0.0,not provided,Many studies report antiproliferative effects and synergy with other agents in AML models.,metformin,False,CHEMBL1431
Statins,HMG‑CoA reductase inhibitors,Inhibit HMG‑CoA reductase → affect prenylation and cell signaling,0.0,0.0,not provided,"Examples listed: simvastatin, pravastatin; can induce apoptosis and sensitize AML cells to chemotherapy.",statins,False,CHEMBL286958
Valproic acid,Antiepileptic / HDAC inhibitor,Histone deacetylase (HDAC) inhibition → epigenetic modulation,0.0,0.0,not provided,"Evaluated in AML clinical trials, often combined with hypomethylating agents.",valproic acid,False,CHEMBL109
Hydroxychloroquine,Antimalarial / Autophagy inhibitor,Lysosomal/autophagy inhibition,0.0,0.0,not provided,Used in preclinical/clinical combinations to block protective autophagy in AML.,hydroxychloroquine,False,CHEMBL1535
Itraconazole,Antifungal / Repurposed oncology agent,Affects hedgehog/mTOR/angiogenesis pathways and some transporters,0.0,0.0,not provided,Repurposed in oncology with preclinical antiproliferative evidence.,itraconazole,False,CHEMBL5483033
Ibrutinib,BTK inhibitor (tyrosine kinase inhibitor),Inhibits BTK and some off‑target kinases,0.0,0.0,not provided,Approved for B‑cell malignancies; some AML subsets show BTK activity and preclinical growth inhibition or synergy.,ibrutinib,False,CHEMBL1873475
Ruxolitinib,JAK1/2 inhibitor,Inhibits JAK–STAT signaling pathway,0.0,0.0,not provided,May be active in AML with JAK/STAT activation or as combination partner.,ruxolitinib,False,CHEMBL1287854
Celecoxib,COX‑2 inhibitor / NSAID,Inhibits COX‑2 and can have COX‑2‑independent pro‑apoptotic effects,0.0,0.0,not provided,Preclinical studies show reduced proliferation and enhanced apoptosis in some AML models.,celecoxib,False,CHEMBL118
Omeprazole,Proton pump inhibitor (PPI),Alters lysosomal pH; can affect drug sequestration and autophagy,0.0,0.0,not provided,Listed as representative of PPIs that may sensitize cancer cells to chemotherapeutics.,omeprazole,False,CHEMBL1503
Salinomycin,Antibiotic ionophore (limited clinical approval),Disrupts ion transport; reported targeting of cancer stem‑like cells,0.0,0.0,not provided,Strong preclinical activity in some leukemia models but toxicity limits clinical translation in many countries.,salinomycin,False,CHEMBL1208572
Disulfiram relatives,Copper‑binding small molecules (class),Form cytotoxic copper complexes (similar rationale to disulfiram),0.0,0.0,not provided,Class rationale: agents that form cytotoxic copper complexes; specific compounds not listed in text.,disulfiram relatives,False,CHEMBL964
Tamoxifen,Selective estrogen receptor modulator (SERM),Modulates estrogen‑related growth pathways and has off‑target effects,0.0,0.0,not provided,Raloxifene also mentioned as an example; exploratory reports of antiproliferative activity in leukemia cell lines.,tamoxifen,False,CHEMBL83
Bexarotene,Rexinoid / Retinoid (nuclear receptor modulator),Nuclear receptor modulation → differentiation induction in subsets of AML,0.0,0.0,not provided,"Text refers to parenteral retinoids other than ATRA (e.g., bexarotene) as potential agents for some AML subgroups.",bexarotene,False,CHEMBL1023
Protonophore/mitochondrial‑targeting drugs,Mitochondrial uncouplers / metabolic disruptors (class),Mitochondrial depolarization and metabolic collapse,0.0,0.0,not provided,Class rationale: AML cells (including LSCs) can be dependent on mitochondrial metabolism; text mentions older agents tested preclinically rather than specific approved drugs.,protonophore mitochondrial targeting drugs,False,CHEMBL4074884
