drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes
Midostaurin,Multi-kinase inhibitor (incl. FLT3),Inhibits multiple kinases including FLT3 to suppress AML proliferation signaling,0.3,3.0,µM,Approved; described as multi-kinase including FLT3. Range given as 0.3 nM–3 µM (top 3 µM).
Gilteritinib,Kinase inhibitor (FLT3/AXL),Inhibits FLT3 and AXL signaling to reduce AML cell survival/proliferation,0.1,1.0,µM,Approved FLT3/AXL inhibitor. Range 0.1 nM–1 µM (top 1 µM).
Quizartinib,Kinase inhibitor (FLT3),Selective FLT3 inhibition to block FLT3-driven AML signaling,0.03,300.0,nM,FLT3 inhibitor; approved in some regions. Range 0.03 nM–300 nM (top 0.3 µM).
Sorafenib,Multi-kinase inhibitor (RAF/VEGFR/FLT3),"Inhibits RAF and receptor tyrosine kinases (e.g., VEGFR, FLT3) to reduce growth signaling",1.0,10.0,µM,Approved; noted RAF/VEGFR/FLT3 activity. Range 1 nM–10 µM (top 10 µM).
Ponatinib,Broad-spectrum tyrosine kinase inhibitor (incl. FLT3),Inhibits multiple kinases to disrupt oncogenic signaling (includes FLT3 activity),0.1,1.0,µM,Approved for CML/ALL; broad kinase incl. FLT3. Range 0.1 nM–1 µM (top 1 µM).
Dasatinib,Tyrosine kinase inhibitor (SRC/ABL),Inhibits SRC-family and ABL kinases to suppress proliferation in susceptible AML subsets,0.3,3.0,µM,Approved; SRC/ABL inhibitor; AML subsets mentioned. Range 0.3 nM–3 µM (top 3 µM).
Trametinib,MEK inhibitor,Inhibits MEK in the MAPK pathway to block MAPK-driven proliferation,0.3,1.0,µM,Approved; MEK inhibitor; MAPK-driven AML subsets. Range 0.3 nM–1 µM (top 1 µM).
Temsirolimus,mTOR inhibitor,Inhibits mTOR signaling to reduce growth and survival pathways,0.3,3.0,µM,Approved; mTOR inhibitor. Range 0.3 nM–3 µM (top 3 µM).
Panobinostat,HDAC inhibitor (pan-HDAC),Inhibits histone deacetylases to alter chromatin/transcription and reduce AML viability,0.1,300.0,nM,Approved for myeloma; pan-HDAC inhibitor. Range 0.1 nM–300 nM (top 0.3 µM).
Vorinostat,HDAC inhibitor,Inhibits HDACs to modulate transcription and promote anti-proliferative effects,1.0,10.0,µM,Also referred to as SAHA (in parentheses). Approved CTCL. Range 1 nM–10 µM (top 10 µM).
Romidepsin,HDAC inhibitor,Inhibits HDACs leading to transcriptional changes and growth inhibition,0.03,30.0,nM,Approved; HDAC inhibitor. Range 0.03 nM–30 nM (top 30 nM).
Valproic acid,Weak HDAC inhibitor (antiepileptic),Weakly inhibits HDAC activity; can promote differentiation/epigenetic modulation at high concentrations,10.0,5.0,mM,Approved antiseizure; noted often needs high µM–mM. Range 10 µM–5 mM (top 5 mM); ensure osmolarity/pH controls.
All-trans retinoic acid,Retinoid / differentiation agent,Activates retinoic acid receptors to induce differentiation programs (classically in APL),0.1,10.0,µM,Also referred to as ATRA (in parentheses). Approved APL; sometimes impacts non-APL AML in combinations. Light-sensitive. Range 0.1 nM–10 µM (top 10 µM).
Venetoclax,BCL-2 inhibitor,Inhibits anti-apoptotic BCL-2 to trigger mitochondrial apoptosis,0.03,300.0,nM,Approved AML in combinations. Range 0.03 nM–300 nM (top 0.3 µM).
Navitoclax,BCL-2/BCL-XL inhibitor,Inhibits BCL-2 and BCL-XL to promote apoptosis,0.3,3.0,µM,Also referred to as ABT-263 (in parentheses). Clinical-stage. Range 0.3 nM–3 µM (top 3 µM).
Mefloquine,Antimalarial (repurposed; lysosomal/autophagy disruptor),"Reported to disrupt lysosomal function/autophagy, inducing cellular stress in AML contexts",10.0,30.0,µM,Approved antimalarial; AML activity reported in some studies. Range 10 nM–30 µM (top 30 µM).
Metformin,Antidiabetic biguanide; mitochondrial metabolism modulator,Induces mitochondrial complex I stress and metabolic perturbation (often high in vitro doses),10.0,10.0,mM,Approved; noted often requires high µM–mM in vitro. Range 10 µM–10 mM (top 10 mM).
Arsenic trioxide,Oxidative stress / proteostasis-disrupting agent,Induces oxidative stress and proteostasis disruption leading to cell death,10.0,30.0,µM,Approved APL; sometimes active beyond APL. Range 10 nM–30 µM (top 30 µM).
Disulfiram,ALDH/proteasome/NF-κB stress-inducing agent (repurposed),Induces cellular stress via ALDH/proteasome/NF-κB-related pathways; activity often enhanced by copper,1.0,10.0,µM,Mentioned as disulfiram (+ copper). Approved for alcohol aversion; copper-dependent activity often stronger. Range 1 nM–10 µM (top 10 µM). If using CuCl2 supplementation: fixed 0.1–1 µM Cu2+ and titrate disulfiram.
Niclosamide,Anthelmintic; signaling/mitochondrial modulator,Reported inhibition of Wnt/STAT3 signaling and mitochondrial uncoupling effects,10.0,10.0,µM,Approved anthelmintic. Range 10 nM–10 µM (top 10 µM); watch solubility.
