drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes
Midostaurin,FLT3 / multikinase inhibitor,"Inhibits FLT3-ITD and multiple kinases, suppressing AML cell proliferation",0.5,5.0,µM,Also known as PKC412; approved for FLT3-mutant AML; MOLM-13 (FLT3-ITD) is highly sensitive
Gilteritinib,FLT3/AXL inhibitor,"Selectively inhibits FLT3 and AXL kinases, blocking FLT3-ITD signaling",0.1,1.0,µM,Also known as ASP2215; approved for relapsed/refractory FLT3-mutant AML
Quizartinib,FLT3 inhibitor,"Potent type II FLT3 inhibitor, blocking FLT3-ITD-driven signaling",0.1,1.0,µM,Also known as AC220; widely used in MOLM-13 and MV4-11 models
Sorafenib,"Multikinase inhibitor (FLT3, RAF, VEGFR, PDGFR)","Inhibits FLT3 and multiple RAF and receptor tyrosine kinases, reducing AML cell growth",1.0,10.0,µM,Approved for solid tumors; used off-label and in trials for FLT3-ITD AML
Dasatinib,SRC/ABL family kinase inhibitor,"Inhibits SRC family kinases, ABL and related targets, impairing survival signaling",1.0,10.0,µM,Approved for CML/ALL; shows anti-proliferative activity in AML cell lines
Venetoclax,BCL-2 inhibitor,Selective BCL-2 inhibitor inducing mitochondrial apoptosis in AML cells,0.5,5.0,µM,Also known as ABT-199; approved for AML in combination regimens; synergizes with FLT3 inhibitors
Azacitidine,DNA hypomethylating agent (nucleoside analog),"Incorporates into DNA/RNA and inhibits DNA methyltransferase, causing hypomethylation and cytotoxicity",0.1,100.0,µM,"Standard of care for MDS/AML; effects are time-dependent, often requiring 72–96 h exposure"
Decitabine,DNA hypomethylating agent (nucleoside analog),"Inhibits DNA methyltransferase after incorporation into DNA, leading to hypomethylation and growth inhibition",0.03,30.0,µM,Approved for AML/MDS; time-dependent epigenetic effects (72–96 h exposure recommended)
Vorinostat,HDAC inhibitor,"Inhibits histone deacetylases, increasing histone acetylation and inducing apoptosis",0.03,30.0,µM,Also known as SAHA; approved for cutaneous T-cell lymphoma; broad anti-leukemic activity
Panobinostat,Pan-HDAC inhibitor,"Potent pan-histone deacetylase inhibitor, promoting apoptosis and cell cycle arrest",0.5,5.0,µM,Approved for multiple myeloma; AML proliferation IC50 often 5–50 nM; focus 5–500 nM within this range
Ruxolitinib,JAK1/2 inhibitor,"Inhibits JAK1 and JAK2, suppressing JAK/STAT signaling implicated in some AML subsets",0.1,50.0,µM,"Approved for myelofibrosis, polycythemia vera, and GVHD; modest direct cytotoxicity but useful in combinations"
Ibrutinib,BTK inhibitor,"Inhibits BTK and off-target TEC/SRC family kinases, impacting survival signaling",0.1,30.0,µM,Approved for multiple B-cell malignancies; shows AML growth inhibition in certain subtypes
Imatinib,ABL/PDGFR/c-KIT inhibitor,"Inhibits BCR-ABL, PDGFR, and c-KIT tyrosine kinases, reducing signaling in susceptible AML subsets",0.1,50.0,µM,"Approved for CML, GIST and others; some AMLs with c-KIT or PDGFR alterations show partial response"
Metformin,AMPK activator / mitochondrial complex I inhibitor,"Inhibits mitochondrial complex I, activates AMPK, and downregulates mTOR signaling",0.1,20.0,mM,"Widely used antidiabetic drug; in vitro AML IC50 is high µM–low mM (pharmacologic, not physiologic range)"
Disulfiram,ALDH inhibitor / proteasome modulator,"Inhibits ALDH and, in presence of copper, forms complexes that disrupt proteasome and redox homeostasis",0.03,30.0,µM,Anti-alcoholism drug; activity against ALDH-positive leukemic stem/progenitor cells; often tested with CuCl2 (0.5–2 µM)
Chloroquine,Autophagy inhibitor (lysosomotropic agent),"Raises lysosomal pH and blocks autophagic flux, impairing AML cell survival under stress",1.0,100.0,µM,Antimalarial; hydroxychloroquine is a related alternative; both used as autophagy modulators in cancer trials
Arsenic trioxide,PML-RARα–targeting agent / oxidative stress inducer,Induces degradation of PML-RARα (in APL) and generates oxidative and mitochondrial stress,0.1,20.0,µM,Also known as ATO; approved for APL; has some activity in non-APL AML at higher doses
Thalidomide,Immunomodulatory drug (IMiD),"Binds cereblon E3 ligase complex, altering substrate degradation and immune modulation",0.1,50.0,µM,IMiD; context-dependent direct AML cytotoxicity; lenalidomide is a more potent related IMiD used in MDS/MM
Everolimus,mTORC1 inhibitor,"Inhibits mTORC1, reducing protein synthesis and cell growth signaling",0.5,10.0,µM,Also known as RAD001; AML IC50 typically 1–100 nM for signaling and 10 nM–1 µM for viability; focus 5–500 nM in this range
Bortezomib,Proteasome inhibitor,"Reversibly inhibits the 26S proteasome, leading to accumulation of misfolded proteins and apoptosis",0.1,1.0,µM,Approved for multiple myeloma and mantle cell lymphoma; AML IC50 often 2–50 nM; focus 2–200 nM within this range
