drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes
Gilteritinib,Kinase inhibitor (FLT3/AXL),"Inhibits FLT3 and AXL tyrosine kinases, blocking FLT3‑ITD signaling",5.0827e-05,1.0,µM,Approved FLT3 inhibitor; expected IC50 in MOLM13 ~1–50 nM; use DMSO vehicle ≤0.5%.
Quizartinib,Kinase inhibitor (FLT3),Potent FLT3 inhibitor targeting FLT3‑ITD signaling,0.0050827,100.0,nM,Also known as AC220; expected IC50 ~0.5–10 nM in FLT3‑ITD lines.
Midostaurin,Multi‑kinase inhibitor (PKC/FLT3),"Multi‑kinase inhibitor including FLT3, inhibits FLT3‑driven proliferation",5.0827e-05,1.0,µM,Approved for AML in combination; expected IC50 ~50–300 nM.
Sorafenib,Multikinase inhibitor,"Inhibits multiple kinases (including RAF, VEGFR, PDGFR and FLT3), reducing proliferation",5.0827e-05,1.0,µM,Preclinical/clinical activity in FLT3‑ITD AML; IC50 line‑dependent (~10–300 nM).
Venetoclax,BCL2 inhibitor (BH3 mimetic),Selective BCL2 inhibitor that induces apoptosis in BCL2‑dependent cells,5.0827e-05,1.0,µM,Approved in AML combinations; often low nM IC50 in dependent lines (~5–200 nM); consider co‑testing with MCL1 inhibitors.
Bortezomib,Proteasome inhibitor,"Inhibits 26S proteasome, causing accumulation of misfolded proteins and apoptosis",5.0827e-05,1.0,µM,Studied in AML trials/combinations; expected IC50 ~5–200 nM.
Decitabine,DNA hypomethylating agent (nucleoside analog),"Incorporates into DNA and inhibits DNA methyltransferases, leading to hypomethylation and cytotoxicity",0.00254135,50.0,µM,Requires S‑phase incorporation; treat continuously 72–120 hr or with daily dosing for reliable IC50; expected IC50 ~0.1–5 µM (time‑dependent).
Azacitidine,DNA hypomethylating agent (nucleoside analog),"Incorporates into RNA/DNA and inhibits DNA methyltransferases, causing hypomethylation and cytotoxicity",0.00254135,50.0,µM,As for decitabine: longer/continuous exposure (72–120 hr) or daily dosing recommended; expected IC50 ~1–10 µM (time‑dependent).
Vorinostat,HDAC inhibitor (SAHA),"Inhibits histone deacetylases, promoting acetylation, differentiation and apoptosis",0.00050827,10.0,µM,Also called SAHA; investigated in AML combinations; expected IC50 ~0.3–5 µM.
Panobinostat,HDAC inhibitor,Potent histone deacetylase inhibitor causing transcriptional changes and apoptosis,5.0827e-05,1.0,µM,Potent HDAC inhibitor with preclinical AML activity; expected IC50 ~5–200 nM.
Dinaciclib,CDK inhibitor (broad: CDK1/2/5/9),"Inhibits multiple CDKs (including CDK9), leading to downregulation of short‑lived anti‑apoptotic proteins such as MCL1",5.0827e-05,1.0,µM,CDK9 inhibition can sensitize AML cells by reducing MCL1; expected IC50 ~1–100 nM.
Palbociclib,CDK4/6 inhibitor,Selective CDK4/6 inhibition causing G1 cell‑cycle arrest,0.00050827,10.0,µM,Cell‑cycle targeted; often less potent in AML (IC50 ~0.2–5 µM).
Trametinib,MEK1/2 inhibitor,"Inhibits MEK1/2 in the MAPK pathway, reducing ERK signaling and proliferation",5.0827e-05,1.0,µM,Activity is context/line dependent; expected IC50 ~1–50 nM in sensitive lines.
Everolimus,mTORC1 inhibitor (rapalog),Allosteric mTORC1 inhibitor that suppresses mTOR signaling and protein synthesis,0.00050827,10.0,µM,PI3K/AKT/mTOR pathway relevance in AML; expected IC50 ~10–1000 nM.
Ruxolitinib,JAK1/2 inhibitor,"Inhibits JAK1/JAK2 kinases, blocking JAK/STAT signaling",5.0827e-05,1.0,µM,Useful in AML subsets with JAK/STAT activation; expected IC50 ~50–500 nM.
17‑AAG,HSP90 inhibitor (tanespimycin),"Inhibits HSP90, leading to degradation of oncogenic client proteins (e.g., FLT3)",5.0827e-05,1.0,µM,Also called tanespimycin (17‑AAG); destabilizes multiple clients; expected IC50 ~50–500 nM.
Etoposide,Topoisomerase II inhibitor,"Inhibits topoisomerase II, causing DNA strand breaks and cytotoxicity",0.00254135,50.0,µM,Clinically used cytotoxic in AML regimens; expected IC50 ~1–20 µM.
Simvastatin,HMG‑CoA reductase inhibitor (statin),"Inhibits HMG‑CoA reductase, affecting cholesterol biosynthesis and prenylation; can induce apoptosis/chemosensitization",0.00101654,20.0,µM,Simvastatin is a prodrug—use active form or confirm activation protocol; reported IC50 ~5–20 µM in AML contexts.
Niclosamide,Antihelminthic with anticancer activity,"Multiple reported actions (disrupts mitochondrial function, inhibits Wnt/STAT signaling, etc.), leading to antiproliferative effects",0.00050827,10.0,µM,Repurposing candidate with diverse anticancer mechanisms; expected IC50 ~0.5–5 µM.
Mebendazole,Antihelminthic (microtubule‑targeting),"Binds tubulin and disrupts microtubules, impairing mitosis and inducing apoptosis",0.00050827,10.0,µM,Reported preclinical anti‑leukemia activity; expected IC50 ~0.5–5 µM.
