drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes,_name_norm,_in_known,chembl_id
Ponatinib,BCR‑ABL/FLT3 tyrosine kinase inhibitor,"Inhibits BCR‑ABL and FLT3, including resistance mutations common in AML",1.0,50.0,nM,Approved for CML/Ph+ ALL; active in FLT3‑ITD AML including MOLM‑13/MOLM‑14; potency low‑nanomolar (numeric range approximated).,ponatinib,False,CHEMBL2105708
Sunitinib,Multikinase inhibitor,Inhibits FLT3 and multiple RTKs (VEGFR/PDGFR),1.0,500.0,nM,Approved for RCC/GIST; AML activity reported; potency nanomolar to sub‑micromolar (numeric range approximated).,sunitinib,False,CHEMBL597365
Dasatinib,Src/Abl tyrosine kinase inhibitor,Inhibits Src family kinases and ABL; reported AML activity and synergy with FLT3 inhibition,10.0,1000.0,nM,Approved for CML/ALL; potency tens of nM to low‑µM in AML (numeric range approximated).,dasatinib,False,CHEMBL1421
Bortezomib,Proteasome inhibitor,"Inhibits 26S proteasome, driving proteotoxic stress and apoptosis",1.0,50.0,nM,Approved for multiple myeloma/MCL; cytotoxic to AML lines including FLT3‑ITD; potency low‑nanomolar (numeric range approximated).,bortezomib,False,CHEMBL325041
Panobinostat,HDAC inhibitor,Epigenetic modulation via histone deacetylase inhibition,10.0,100.0,nM,Approved for multiple myeloma; strong AML in‑vitro activity; potency tens of nM (numeric range approximated).,panobinostat,False,CHEMBL483254
Tigecycline,Antibiotic,"Inhibits mitochondrial translation, impairing AML OXPHOS metabolism",1.0,10.0,µM,Selective effects on AML/stem‑like cells’ OXPHOS; potency low‑ to mid‑µM (numeric range approximated).,tigecycline,False,CHEMBL376140
Auranofin,Antirheumatic; thioredoxin reductase inhibitor,Inhibits thioredoxin reductase and induces oxidative stress–mediated AML cell death,0.1,2.0,µM,Active in FLT3‑ITD models; potency sub‑ to low‑µM (numeric range approximated).,auranofin,False,CHEMBL1366
Disulfiram,ALDH inhibitor/antialcohol agent,"Inhibits ALDH and NPL4; with copper, induces proteotoxic stress leading to AML cytotoxicity",0.1,1.0,µM,Activity is copper‑dependent in vitro; potency sub‑µM with copper (numeric range approximated).,disulfiram,False,CHEMBL964
Niclosamide,Anthelmintic,Inhibits mitochondrial respiration and pathways including Wnt/STAT3,1.0,5.0,µM,AML activity reported (including FLT3‑ITD contexts); potency low‑µM in AML (numeric range approximated).,niclosamide,False,CHEMBL1448
Ciclopirox olamine,Antifungal; iron chelator,"Chelates iron and inhibits ribonucleotide reductase, triggering apoptosis",1.0,5.0,µM,AML apoptosis reported; potency low‑µM (numeric range approximated).,ciclopirox olamine,False,CHEMBL242580
Clofazimine,Antimycobacterial,Disrupts redox and ion homeostasis; inhibits Wnt signaling,0.1,2.0,µM,Cytotoxic in hematologic lines/AML; potency sub‑µM to low‑µM (numeric range approximated).,clofazimine,False,CHEMBL1292
Mebendazole,Anthelmintic,"Disrupts microtubules via β‑tubulin binding, inhibiting cell division",0.1,2.0,µM,Anti‑AML activity reported in vitro and in vivo; potency sub‑ to low‑µM (numeric range approximated).,mebendazole,False,CHEMBL685
Thioridazine,Antipsychotic (phenothiazine),Targets leukemia stem‑like cells and induces differentiation/apoptosis; dopaminergic antagonism,1.0,10.0,µM,Reported activity against AML stem‑like cells; potency low‑ to mid‑µM (numeric range approximated).,thioridazine,False,CHEMBL1200916
Nelfinavir,HIV protease inhibitor,Induces ER stress/UPR and inhibits PI3K/AKT signaling,1.0,10.0,µM,AML cytotoxicity reported; potency low‑ to mid‑µM (numeric range approximated).,nelfinavir,False,CHEMBL365442
Simvastatin,Statin (HMG‑CoA reductase inhibitor),Blocks mevalonate pathway via HMG‑CoA reductase inhibition,1.0,10.0,µM,Lovastatin also reported; AML antiproliferative and chemosensitizing effects; potency low‑ to mid‑µM (numeric range approximated).,simvastatin,False,CHEMBL1201391
Digoxin,Cardiac glycoside,Inhibits Na+/K+‑ATPase leading to downstream cytotoxic effects,1.0,50.0,nM,Digitoxin also reported; broad anti‑leukemic activity; caution: narrow therapeutic index; potency low‑nanomolar (numeric range approximated).,digoxin,False,CHEMBL1751
Artesunate,Antimalarial (artemisinin derivative),Generates ROS through heme‑dependent activation causing cytotoxic stress,1.0,10.0,µM,Dihydroartemisinin also reported; AML cytotoxicity in vitro; potency low‑ to mid‑µM (numeric range approximated).,artesunate,False,CHEMBL361497
