drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes,_name_norm,_in_known,chembl_id
Ruxolitinib,JAK inhibitor,Inhibits JAK1 and JAK2 enzymes,200.0,450.0,nM,Primarily used for myelofibrosis and polycythemia vera,ruxolitinib,False,CHEMBL1287854
Idelalisib,PI3K inhibitor,Inhibits PI3K delta kinase,15.0,15.0,nM,Used in treatment of B-cell malignancies,idelalisib,False,CHEMBL4095008
Dasatinib,BCR-ABL inhibitor,Inhibits BCR-ABL and SRC family kinases,2.0,5.0,nM,Effective in treating CML,dasatinib,False,CHEMBL1421
Ibrutinib,BTK inhibitor,Inhibits Bruton's tyrosine kinase,10.0,100.0,nM,Approved for certain B-cell malignancies,ibrutinib,False,CHEMBL1873475
Tofacitinib,JAK inhibitor,Inhibits JAK1 and JAK3 enzymes,5.0,100.0,nM,Primarily used for rheumatoid arthritis,tofacitinib,False,CHEMBL2103743
Dactinomycin,Anti-tumor antibiotic,Inhibits DNA and RNA synthesis by intercalating DNA,1.0,10.0,nM,Also known as actinomycin D,dactinomycin,False,CHEMBL4748391
Auranofin,Gold compound,Inhibits thioredoxin reductase,1.0,2.0,µM,Used in rheumatoid arthritis treatment,auranofin,False,CHEMBL1366
Bortezomib,Proteasome inhibitor,Inhibits proteasome activity leading to apoptosis,7.0,10.0,nM,Approved for multiple myeloma treatment,bortezomib,False,CHEMBL325041
Disulfiram,Aldehyde dehydrogenase inhibitor,Inhibits aldehyde dehydrogenase resulting in increased reactive oxygen species,500.0,1000.0,nM,Used in alcohol dependency treatment,disulfiram,False,CHEMBL964
Metformin,Biguanide,Activates AMP kinase to decrease glucose production and increase insulin sensitivity,5.0,10.0,mM,Used primarily for type 2 diabetes mellitus,metformin,False,CHEMBL1431
Doxycycline,Antibiotic (Tetracycline class),Inhibits protein synthesis by binding to the 30S ribosomal subunit,50.0,50.0,µM,Not traditionally used for AML treatment,doxycycline,False,CHEMBL1256723
Simvastatin,Statin,Inhibits HMG-CoA reductase leading to decreased cholesterol synthesis,0.1,10.0,µM,Primarily for hypercholesterolemia,simvastatin,False,CHEMBL1201391
Quinacrine,Antimalarial,Inhibits NF-kB signaling pathway,2.0,5.0,µM,Investigational in oncology,quinacrine,False,CHEMBL2105615
Arsenic Trioxide,Antineoplastic agent,Induces apoptosis via PML-RARA degradation,0.5,2.0,µM,Approved for APL treatment,arsenic trioxide,False,CHEMBL5483015
Chloroquine,Antimalarial,Inhibits autophagy pathways and alters lysosomal pH,8.0,15.0,µM,Also used for autoimmune conditions,chloroquine,False,CHEMBL76
