drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes,_name_norm,_in_known,chembl_id
Ponatinib,Multi‑kinase tyrosine kinase inhibitor,"Inhibits multiple kinases including FLT3, blocking oncogenic signaling",5.082e-05,1.0,µM,Reported in vitro AML activity; potent multi‑kinase TKI.,ponatinib,False,CHEMBL2105708
Dasatinib,SRC/ABL multi‑kinase inhibitor,"Inhibits SRC/ABL family kinases and other tyrosine kinases, affecting signaling and proliferation",5.082e-05,1.0,µM,Broad kinase inhibitor; reported activity and potential for synergy with other AML agents.,dasatinib,False,CHEMBL1421
Sunitinib,Multi‑kinase inhibitor,Inhibits several receptor tyrosine kinases to impair tumor cell signaling,0.00050815,10.0,µM,Some activity reported in AML cell lines; multi‑target profile.,sunitinib,False,CHEMBL597365
Cabozantinib,Multi‑kinase inhibitor,"Inhibits RET, VEGFR, MET and other kinases to block proliferative and survival pathways",5.082e-05,1.0,µM,Reported AML cytotoxicity in some lines; multi‑kinase targeting.,cabozantinib,False,CHEMBL2105717
Bortezomib,Proteasome inhibitor,"Reversibly inhibits the 26S proteasome, leading to accumulation of misfolded proteins and apoptosis",5.082e-05,1.0,µM,Proteasome inhibition can be cytotoxic to AML cells; activity reported in AML models.,bortezomib,False,CHEMBL325041
Carfilzomib,Proteasome inhibitor (next‑generation),"Irreversibly inhibits the proteasome, causing proteotoxic stress and cell death",5.082e-05,1.0,µM,More potent proteasome inhibitor with in vitro AML activity.,carfilzomib,False,CHEMBL451887
Auranofin,Thioredoxin reductase inhibitor / anti‑rheumatic,"Inhibits thioredoxin reductase, increasing oxidative stress and inducing cell death",0.00050815,10.0,µM,"Repurposing candidate with reported sub‑µM to low‑µM IC50s in AML. If very active, consider repeating with top 1 µM.",auranofin,False,CHEMBL1366
Niclosamide,Anti‑helminthic / multi‑pathway inhibitor,"Modulates multiple cancer‑relevant pathways (Wnt/β‑catenin, STAT3, mitochondrial uncoupling, etc.) to reduce proliferation",0.00050815,10.0,µM,Reported to reduce AML proliferation at low‑µM concentrations.,niclosamide,False,CHEMBL1448
Disulfiram,Antialcoholism drug (repurposing candidate),Forms cytotoxic complexes with copper (Cu) and generates oxidative/protein‑modifying species; copper‑dependent cytotoxicity,0.00050815,10.0,µM,Test with 1 µM CuCl2 (maintain same copper in all wells) for activity; without copper expect reduced effect.,disulfiram,False,CHEMBL964
Simvastatin,HMG‑CoA reductase inhibitor (statin),"Inhibits HMG‑CoA reductase, affecting cholesterol synthesis and prenylation pathways that can reduce proliferation",0.00254075,50.0,µM,Reported antiproliferative effects on AML at µM levels; lipophilicity may require formulation checks.,simvastatin,False,CHEMBL1201391
Metformin,Biguanide (antidiabetic) / metabolic modulator,"Alters cellular metabolism (complex I inhibition, AMPK activation) leading to antiproliferative effects at high concentrations",0.00050815,10.0,mM,Requires high (mM) concentrations in vitro; interpret results cautiously and consider combination testing.,metformin,False,CHEMBL1431
Panobinostat,HDAC inhibitor,"Inhibits histone deacetylases, altering chromatin and transcription to induce cell cycle arrest and apoptosis",5.082e-05,1.0,µM,HDAC inhibition can induce cell death in AML models; often tested in combination strategies.,panobinostat,False,CHEMBL483254
Trametinib,MEK1/2 inhibitor,"Inhibits MEK1/2, blocking MAPK/ERK signaling downstream of RAS/RAF",0.0050815,100.0,nM,"Can synergize with other agents in AML; if no effect at 100 nM, consider repeating with top 1 µM.",trametinib,False,CHEMBL2103875
