drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes
Midostaurin,Multi-kinase inhibitor (FLT3),Inhibits FLT3 and other kinases to suppress FLT3-ITD–driven signaling and proliferation,0.1,10.0,µM,Alternative name: Rydapt; described as FLT3/multi-kinase; suggested due to FLT3-ITD dependency in MOLM-13
Gilteritinib,Tyrosine kinase inhibitor (FLT3/AXL),Inhibits FLT3 and AXL to block oncogenic signaling in FLT3-driven AML,0.1,10.0,µM,Alternative name: Xospata; noted as strong FLT3-ITD inhibitor class
Quizartinib,Tyrosine kinase inhibitor (FLT3),Selective inhibition of FLT3 signaling to reduce proliferation in FLT3-dependent AML cells,0.01,1.0,µM,Text notes you may extend to 10 µM if needed
Sorafenib,Multi-kinase inhibitor (includes FLT3/RAF),Inhibits multiple kinases including FLT3 and RAF to suppress proliferative signaling pathways,1.0,30.0,µM,Mentioned as off-label in FLT3-ITD AML contexts; multi-kinase incl. FLT3/RAF
Dasatinib,Tyrosine kinase inhibitor (SRC/ABL family),Inhibits SRC-family and ABL kinases affecting AML signaling dependencies and survival pathways,0.1,10.0,µM,Noted as sometimes synergizing with other agents
Trametinib,Kinase inhibitor (MEK1/2),"Inhibits MEK1/2 in the MAPK pathway downstream of FLT3, reducing proliferation",0.1,10.0,µM,Described as targeting MAPK pathway downstream of FLT3
Everolimus,mTOR inhibitor (mTORC1),Inhibits mTORC1 to dampen PI3K/AKT/mTOR-driven growth and survival signaling,0.1,10.0,µM,Highlights PI3K/AKT/mTOR axis relevance in AML
Idelalisib,Kinase inhibitor (PI3Kδ),Selective inhibition of PI3K delta to reduce PI3K signaling implicated in hematologic malignancies,1.0,30.0,µM,Target specified as PI3Kδ
Vorinostat,HDAC inhibitor,"Inhibits histone deacetylases, altering chromatin/transcription to suppress AML growth and sensitize to other drugs",10.0,30.0,µM,Alternative name: SAHA; noted as HDAC inhibitor (HDACi) with sensitization potential
Panobinostat,HDAC inhibitor,Potent HDAC inhibition leading to transcriptional dysregulation and antiproliferative effects in AML cell lines,0.1,1.0,µM,Text notes activity often low-nM to sub-µM; may extend to 10 µM
Entinostat,HDAC inhibitor (Class I-selective),Inhibits class I HDACs to modulate gene expression and inhibit AML cell proliferation,1.0,30.0,µM,Specifically noted as Class I HDAC targeting
Decitabine,DNA hypomethylating agent,"Incorporates into DNA and inhibits DNA methyltransferases, causing hypomethylation and growth inhibition (time-dependent)",1.0,30.0,µM,Standard AML drug; text suggests 72–120 h and refresh dosing considerations
Azacitidine,Hypomethylating agent,"Incorporates into RNA/DNA and reduces methylation via DNMT inhibition, affecting gene expression and viability with longer exposure",10.0,100.0,µM,Standard AML drug; noted that in vitro effects often require extended exposure
All-trans retinoic acid,Differentiation agent (retinoid),Activates retinoic acid signaling to drive differentiation and alter proliferation programs in myeloid cells,1.0,10.0,µM,Alternative name/acronym: ATRA; noted not limited to APL in vitro
Venetoclax,BCL-2 inhibitor,Inhibits anti-apoptotic BCL-2 to trigger mitochondrial apoptosis in susceptible AML cells,0.01,10.0,µM,Described as backbone of modern AML therapy; noted as often very potent (include low nM)
Bortezomib,Proteasome inhibitor,Inhibits the 26S proteasome causing proteotoxic stress and apoptosis,0.1,1.0,µM,Text notes you may extend to 10 µM
Carfilzomib,Proteasome inhibitor,Irreversibly inhibits the proteasome leading to proteostasis disruption and cell death,0.1,1.0,µM,Text notes you may extend to 10 µM; mentioned as sometimes having distinct sensitivity profiles
Metformin,Biguanide (metabolic modulator),Impacts mitochondrial function and activates AMPK-related metabolic stress pathways to reduce proliferation in some AML contexts,10.0,30.0,mM,Noted as usually requiring higher µM–mM concentrations in vitro; described as mitochondrial/AMPK effects
Atovaquone,Antimalarial (mitochondrial ETC inhibitor),Inhibits mitochondrial electron transport chain to impair cellular respiration and growth,0.1,30.0,µM,Described as antimalarial; mitochondrial ETC inhibition rationale
Ivermectin,Antiparasitic,Reported to have multiple anticancer effects leading to antiproliferative activity in some leukemia/cancer models,10.0,30.0,µM,Described as antiparasitic; mechanism noted as 'multiple reported anticancer effects' in models incl. leukemia
