drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes,_name_norm,_in_known,chembl_id
Panobinostat,HDAC inhibitor,"Blocks histone deacetylation, resulting in increased histone acetylation and apoptosis in neoplastic cells",5.0,50.0,nM,Also known as Farydak.,panobinostat,False,CHEMBL483254
Bortezomib,Proteasome inhibitor,"Inhibits proteasome activity, leading to the accumulation of pro-apoptotic factors",10.0,100.0,nM,Also known as Velcade.,bortezomib,False,CHEMBL325041
Thalidomide,Immunomodulatory drug,Inhibits angiogenesis and has immunomodulatory effects,0.1,60.0,µM,,thalidomide,False,CHEMBL426123
Ruxolitinib,JAK inhibitor,"Inhibits Janus kinase (JAK) pathways, leading to reduced tumor cell proliferation",1.0,10.0,µM,Also known as Jakafi.,ruxolitinib,False,CHEMBL1287854
Dasatinib,Tyrosine kinase inhibitor,Inhibits multiple tyrosine kinases involved in signaling pathways for cell growth and survival,10.0,100.0,nM,Also known as Sprycel.,dasatinib,False,CHEMBL1421
Atrial Fibrillation (Sodium Channel Blockers like Lidocaine),Antiarrhythmic agent,"Blocks sodium channels, affecting cardiac action potentials and contractility",10.0,100.0,µM,General term for sodium channel blockers; specific testing required.,atrial fibrillation,False,CHEMBL79
Metformin,Biguanide,Reduces hepatic glucose production and has potential antitumor effects through AMPK activation,1.0,10.0,mM,,metformin,False,CHEMBL1431
SB202190,p38 MAPK inhibitor,"Inhibits p38 MAPK signaling pathway, leading to reduced cell proliferation and survival",1.0,10.0,µM,,sb202190,False,CHEMBL278041
Perifosine,AKT inhibitor,"Inhibits the AKT signaling pathway, promoting apoptosis in cancer cells",1.0,10.0,µM,,perifosine,False,CHEMBL372764
Quercetin,Flavonoid,Exerts antioxidant effects and modulates signaling pathways related to cell survival and apoptosis,10.0,50.0,µM,,quercetin,False,CHEMBL50
Curcumin,Curcuminoid,Inhibits multiple signaling pathways involved in cancer cell proliferation and survival,5.0,20.0,µM,,curcumin,False,CHEMBL140
Resveratrol,Polyphenol,Activates sirtuins and has anti-inflammatory and antitumoral effects,5.0,50.0,µM,,resveratrol,False,CHEMBL165
Cladribine,Purine analog,"Inhibits DNA synthesis and repair, leading to cell death",0.5,5.0,µM,Also known as Leustatin.,cladribine,False,CHEMBL1619
Cyclophosphamide,Alkylating agent,"Cross-links DNA, preventing cell division and leading to apoptosis",1.0,10.0,µM,,cyclophosphamide,False,CHEMBL1200796
