drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes,_name_norm,_in_known,chembl_id
Ponatinib,Kinase inhibitor (ABL/FLT3),Inhibits ABL and FLT3 kinases,0.05,1000.0,nM,Approved for CML/ALL; frequently low-nM in FLT3-ITD lines (including MOLM13).,ponatinib,False,CHEMBL2105708
Cabozantinib,Multikinase inhibitor (MET/FLT3/VEGFR),"Inhibits MET, FLT3, and VEGFR kinases",0.5,5000.0,nM,Approved for RCC/thyroid; reported activity in FLT3-ITD AML at low–mid nM.,cabozantinib,False,CHEMBL2105717
Sunitinib,Kinase inhibitor (FLT3/VEGFR),Inhibits FLT3 and VEGFR kinases,0.5,5000.0,nM,Approved for RCC; commonly tens of nM in FLT3-ITD AML.,sunitinib,False,CHEMBL597365
Regorafenib,Multikinase inhibitor (includes FLT3),Inhibits multiple kinases including FLT3,1.0,10000.0,nM,Approved for CRC/HCC; typically mid‑nM to sub‑µM in FLT3-ITD contexts.,regorafenib,False,CHEMBL1946170
Dasatinib,Src/ABL kinase inhibitor (some FLT3 inhibition),Inhibits Src and ABL; some FLT3 inhibition,1.0,10000.0,nM,Approved for CML/ALL; often tens of nM to sub‑µM in AML.,dasatinib,False,CHEMBL1421
Osimertinib,EGFR tyrosine kinase inhibitor; also FLT3 inhibitor,Inhibits EGFR and FLT3 (including D835 mutants),0.5,5000.0,nM,Approved for NSCLC; frequently ~10–100 nM in FLT3‑ITD AML (MOLM13/MV4‑11).,osimertinib,False,CHEMBL3545063
Trametinib,MEK1/2 inhibitor,Inhibits MEK1/2 to block MAPK signaling,0.5,5000.0,nM,Approved for melanoma; RAS/MAPK‑driven AML lines show ~10–300 nM single‑agent sensitivity; often synergizes with FLT3 inhibitors.,trametinib,False,CHEMBL2103875
Everolimus,mTORC1 inhibitor,Inhibits mTORC1 signaling,1.0,10000.0,nM,"Approved for RCC; AML lines commonly show 10–300 nM growth inhibition, context‑dependent.",everolimus,False,CHEMBL1908360
Bortezomib,Proteasome inhibitor,Inhibits the proteasome to disrupt proteostasis,0.5,1000.0,nM,Approved for myeloma/MCL; many AML lines respond in the 5–50 nM range.,bortezomib,False,CHEMBL325041
Auranofin,Thioredoxin reductase inhibitor,Inhibits thioredoxin reductase causing redox stress,10.0,10000.0,nM,Approved for rheumatoid arthritis; AML IC50s frequently 0.3–3 µM.,auranofin,False,CHEMBL1366
Tigecycline,Antibiotic (glycylcycline); mitochondrial translation inhibitor,Inhibits mitochondrial protein synthesis,100.0,100000.0,nM,AML blasts/lines often 1–20 µM; targets leukemia stem cell metabolism.,tigecycline,False,CHEMBL376140
Pimozide,Antipsychotic,STAT5 pathway inhibition,50.0,20000.0,nM,FLT3‑ITD AML (STAT5‑dependent) typically 1–10 µM.,pimozide,False,CHEMBL1423
Thioridazine,Antipsychotic,Dopamine receptor antagonist with ion channel effects; LSC‑active,100.0,30000.0,nM,Often low‑ to mid‑µM in AML.,thioridazine,False,CHEMBL1200916
Mebendazole,Anthelmintic,Affects microtubules/other,10.0,30000.0,nM,AML IC50s commonly ~0.1–5 µM.,mebendazole,False,CHEMBL685
Niclosamide,Anthelmintic,Modulates oxidative phosphorylation and Wnt/STAT pathways,10.0,10000.0,nM,Many leukemia models ~0.1–2 µM.,niclosamide,False,CHEMBL1448
Mefloquine,Antimalarial,Lysosomal permeabilization,100.0,50000.0,nM,AML lines including LSCs often 1–10 µM.,mefloquine,False,CHEMBL172
Nelfinavir,Antiretroviral,Induces proteostasis/ER stress and affects Akt signaling,500.0,50000.0,nM,AML IC50s typically 3–15 µM.,nelfinavir,False,CHEMBL365442
Ciclopirox,Antifungal,Iron chelation and inhibition of EIF5A hypusination,100.0,50000.0,nM,Leukemia IC50s commonly 0.5–5 µM.,ciclopirox,False,CHEMBL1413
