drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes
Venetoclax,BCL-2 inhibitor,"Selective inhibition of BCL-2, inducing apoptosis",5.082e-05,1.0,µM,Potently active in AML including MOLM13; typical low‑nM to sub‑100 nM IC50s reported. Use vehicle control (DMSO ≤0.1%).
Gilteritinib,FLT3/AXL inhibitor (tyrosine kinase inhibitor),"Inhibits FLT3 and AXL tyrosine kinases, blocking FLT3‑driven signaling",5.082e-05,1.0,µM,"Clinically active in FLT3‑mutant AML; MOLM13 (FLT3‑ITD) is often sensitive. If very potent, consider repeating with lower top concentration (e.g., 100 nM)."
Quizartinib,FLT3 inhibitor,Potent FLT3 (FLT3‑ITD) kinase inhibitor,0.0050815,100.0,nM,"Also known as AC220; highly potent against FLT3‑ITD AML. If no activity, repeat assay with higher top (1 µM)."
Crenolanib,FLT3 inhibitor,Inhibits FLT3 (active against ITD and some TKD mutants),0.0050815,100.0,nM,Reported activity against FLT3‑ITD and some TKD mutants; active in MOLM13 models.
Midostaurin,Multi‑kinase / FLT3 inhibitor,"Broad kinase inhibition including FLT3, blocking proliferation and survival signaling",5.082e-05,1.0,µM,Approved in combination for AML; moderate potency in cell lines.
Sorafenib,Multi‑kinase inhibitor,"Inhibits multiple kinases (including RAF, VEGFR, PDGFR, FLT3) to reduce proliferation",0.00050815,10.0,µM,Has activity in FLT3‑ITD AML in vitro; broader kinase profile may give off‑target effects.
Ponatinib,Multi‑kinase tyrosine kinase inhibitor,"Inhibits multiple kinases including FLT3, blocking oncogenic signaling",5.082e-05,1.0,µM,Reported in vitro AML activity; potent multi‑kinase TKI.
Dasatinib,SRC/ABL multi‑kinase inhibitor,"Inhibits SRC/ABL family kinases and other tyrosine kinases, affecting signaling and proliferation",5.082e-05,1.0,µM,Broad kinase inhibitor; reported activity and potential for synergy with other AML agents.
Sunitinib,Multi‑kinase inhibitor,Inhibits several receptor tyrosine kinases to impair tumor cell signaling,0.00050815,10.0,µM,Some activity reported in AML cell lines; multi‑target profile.
Cabozantinib,Multi‑kinase inhibitor,"Inhibits RET, VEGFR, MET and other kinases to block proliferative and survival pathways",5.082e-05,1.0,µM,Reported AML cytotoxicity in some lines; multi‑kinase targeting.
Bortezomib,Proteasome inhibitor,"Reversibly inhibits the 26S proteasome, leading to accumulation of misfolded proteins and apoptosis",5.082e-05,1.0,µM,Proteasome inhibition can be cytotoxic to AML cells; activity reported in AML models.
Carfilzomib,Proteasome inhibitor (next‑generation),"Irreversibly inhibits the proteasome, causing proteotoxic stress and cell death",5.082e-05,1.0,µM,More potent proteasome inhibitor with in vitro AML activity.
Auranofin,Thioredoxin reductase inhibitor / anti‑rheumatic,"Inhibits thioredoxin reductase, increasing oxidative stress and inducing cell death",0.00050815,10.0,µM,"Repurposing candidate with reported sub‑µM to low‑µM IC50s in AML. If very active, consider repeating with top 1 µM."
Niclosamide,Anti‑helminthic / multi‑pathway inhibitor,"Modulates multiple cancer‑relevant pathways (Wnt/β‑catenin, STAT3, mitochondrial uncoupling, etc.) to reduce proliferation",0.00050815,10.0,µM,Reported to reduce AML proliferation at low‑µM concentrations.
Disulfiram,Antialcoholism drug (repurposing candidate),Forms cytotoxic complexes with copper (Cu) and generates oxidative/protein‑modifying species; copper‑dependent cytotoxicity,0.00050815,10.0,µM,Test with 1 µM CuCl2 (maintain same copper in all wells) for activity; without copper expect reduced effect.
Simvastatin,HMG‑CoA reductase inhibitor (statin),"Inhibits HMG‑CoA reductase, affecting cholesterol synthesis and prenylation pathways that can reduce proliferation",0.00254075,50.0,µM,Reported antiproliferative effects on AML at µM levels; lipophilicity may require formulation checks.
Metformin,Biguanide (antidiabetic) / metabolic modulator,"Alters cellular metabolism (complex I inhibition, AMPK activation) leading to antiproliferative effects at high concentrations",0.00050815,10.0,mM,Requires high (mM) concentrations in vitro; interpret results cautiously and consider combination testing.
Panobinostat,HDAC inhibitor,"Inhibits histone deacetylases, altering chromatin and transcription to induce cell cycle arrest and apoptosis",5.082e-05,1.0,µM,HDAC inhibition can induce cell death in AML models; often tested in combination strategies.
Trametinib,MEK1/2 inhibitor,"Inhibits MEK1/2, blocking MAPK/ERK signaling downstream of RAS/RAF",0.0050815,100.0,nM,"Can synergize with other agents in AML; if no effect at 100 nM, consider repeating with top 1 µM."
Idasanutlin,MDM2 inhibitor,"Inhibits MDM2, stabilizing and activating p53 to induce apoptosis in p53 wild‑type cells",5.082e-05,1.0,µM,Also known as RG7388; effective primarily in p53 wild‑type AML (MOLM13 is typically p53 wild type).
