drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes
Auranofin,Antirheumatic / gold compound,Inhibits thioredoxin reductase leading to oxidative stress and apoptosis,0.0,0.0,not provided,Reported selective cytotoxicity in AML and leukemia stem cell models; gold-containing compound.
Disulfiram,Alcohol-aversion drug,Forms toxic copper complexes that inhibit proteasome-related pathways and induce ROS,0.0,0.0,not provided,Often tested with copper; reported AML activity in vitro and in combinations.
Niclosamide,Anti-helminthic,"Mitochondrial uncoupler and modulator of pathways (STAT3, Wnt) leading to reduced viability",0.0,0.0,not provided,Multiple pathway effects; reported to impair AML cell viability and stem-like properties.
Itraconazole,Antifungal,Inhibits Hedgehog/Smo signaling and affects cholesterol trafficking/angiogenesis,0.0,0.0,not provided,Repurposing screens and some AML preclinical reports.
Simvastatin,Statin / cholesterol-lowering agent,Inhibits HMG-CoA reductase (mevalonate pathway) leading to apoptosis and chemo-sensitization,0.0,0.0,not provided,Included as representative of statins; several preclinical and early clinical combination studies in AML.
Mebendazole,Anti-helminthic,Microtubule destabilizer leading to mitotic disruption and cell death,0.0,0.0,not provided,Reported anticancer activity and leukemic stem cell targeting in some models.
Metformin,Antidiabetic,"Impacts mitochondrial metabolism (complex I) and activates AMPK, modulating mTOR signaling",0.0,0.0,not provided,Reported to impair AML cell growth and sensitize to other agents; metabolic/combination rationale.
Hydroxychloroquine,Antimalarial / autophagy inhibitor,"Inhibits autophagy by blocking lysosomal function, which can potentiate apoptosis",0.0,0.0,not provided,"Often used in combination (e.g., with venetoclax) in AML preclinical and clinical studies; chloroquine is a related agent."
Valproic acid,Mood stabilizer / anticonvulsant (epigenetic modulator),"HDAC-modulating activity leading to altered epigenetic state, differentiation, and apoptosis",0.0,0.0,not provided,Explored in AML clinical trials and combinations for differentiation and epigenetic effects.
Ruxolitinib,JAK1/2 inhibitor,Inhibits JAK-STAT signaling pathway,0.0,0.0,not provided,Relevant for AML subsets with JAK-STAT activation; studied in preclinical AML models and combinations.
Dasatinib,BCR-ABL / Src family kinase inhibitor,Inhibits Src family kinases and ABL family kinases affecting proliferation and signaling,0.0,0.0,not provided,Reported activity in some AML lines and combination approaches.
Ponatinib,Multi-kinase tyrosine kinase inhibitor,"Inhibits FLT3 and other kinases, including some resistant FLT3 mutants",0.0,0.0,not provided,Potent activity in FLT3-driven AML models.
Sorafenib,Multi-kinase tyrosine kinase inhibitor,Inhibits FLT3 and multiple other kinases to block pro-survival signaling,0.0,0.0,not provided,Used off-label / in trials for FLT3-mutated AML; preclinical and clinical data available.
Midostaurin,Multi-kinase inhibitor,"FLT3 inhibitor among other kinases, blocking FLT3-driven signaling",0.0,0.0,not provided,Approved for FLT3-mutant AML; established clinical benefit.
Quizartinib,Selective FLT3 inhibitor,Highly potent inhibition of FLT3-ITD signaling,0.0,0.0,not provided,Also known as AC220; substantial preclinical and clinical AML data.
Bortezomib,Proteasome inhibitor,Inhibits the 26S proteasome causing accumulation of misfolded proteins and apoptosis,0.0,0.0,not provided,Approved in multiple myeloma; tested in AML in combination regimens.
Thioridazine,Antipsychotic,"Multiple actions (e.g., calmodulin antagonism) reported to preferentially target leukemia stem cells",0.0,0.0,not provided,Preclinical studies suggest leukemic stem cell targeting; multiple proposed mechanisms.
Clomipramine,Tricyclic antidepressant,Reported to disrupt autophagy and induce cytotoxicity in cancer cell lines,0.0,0.0,not provided,Included as example of TCAs with reported anticancer/autophagy-disrupting effects.
Sirolimus,mTOR inhibitor / immunosuppressant,"Inhibits mTORC1, reducing protein synthesis and cell growth",0.0,0.0,not provided,Also known as rapamycin; evaluated in AML in combination regimens.
Venetoclax,BCL-2 inhibitor,Selectively inhibits BCL-2 to induce apoptosis via the intrinsic pathway,0.0,0.0,not provided,Approved and widely used in AML combinations (with hypomethylating agents or low-dose chemotherapy); strong clinical evidence.
