drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes
Midostaurin,FLT3 inhibitor (kinase inhibitor),Inhibits FLT3 signaling (including FLT3-ITD-driven proliferation),0.001,10.0,µM,Approved in AML combination therapy; highlighted for FLT3-ITD dependence in MOLM-13
Gilteritinib,FLT3 inhibitor (kinase inhibitor),Inhibits FLT3 to suppress growth of FLT3-ITD AML cells,0.0003,3.0,µM,Approved in AML; noted as strong in FLT3-ITD AML lines
Quizartinib,FLT3 inhibitor (kinase inhibitor),Potent inhibition of FLT3 (including FLT3-ITD) leading to reduced AML cell proliferation,0.0001,1.0,µM,Approved in some regions; described as highly potent vs FLT3-ITD models
Sorafenib,Multi-kinase inhibitor,Inhibits multiple kinases; can inhibit FLT3 signaling in FLT3-ITD AML contexts,0.01,30.0,µM,Current use: HCC/RCC; mentioned with off-label/repurpose history in FLT3-ITD AML
Ponatinib,BCR-ABL / multi-kinase inhibitor,Inhibits multiple kinases including FLT3; suppresses signaling in FLT3-driven AML models,0.001,3.0,µM,Listed as BCR-ABL; multi-kinase including FLT3
Dasatinib,SRC/ABL kinase inhibitor,Inhibits SRC/ABL-family kinases; can suppress signaling nodes relevant in subsets of AML,0.001,10.0,µM,
Trametinib,MEK inhibitor (MAPK pathway inhibitor),"Inhibits MEK, blocking MAPK signaling to reduce proliferation",0.0003,3.0,µM,Rationale notes MAPK pathway dependence
Venetoclax,BCL-2 inhibitor (BH3 mimetic),Inhibits BCL-2 to promote apoptosis in BCL-2–dependent cells,0.0001,10.0,µM,Approved in AML combo; dependence noted as context-dependent in MOLM-13
Navitoclax,BCL-2/BCL-xL inhibitor (BH3 mimetic),Inhibits BCL-2 and BCL-xL to induce apoptosis,0.001,10.0,µM,Alternative name: ABT-263; described as broader BH3 mimetic
Idasanutlin,MDM2 inhibitor,"Inhibits MDM2, activating p53 pathway in TP53-wildtype settings",0.01,30.0,µM,Clinical-stage; note to verify TP53 status (p53-WT AML)
Nutlin-3a,MDM2 inhibitor,Blocks MDM2–p53 interaction to activate p53 signaling,0.5,50.0,µM,Described as tool/clinical precursor; common positive control for MDM2–p53 axis
Panobinostat,HDAC inhibitor,Inhibits histone deacetylases causing epigenetic modulation and growth arrest/apoptosis,0.0003,1.0,µM,Current use noted as myeloma; cited for epigenetic vulnerability in AML
Vorinostat,HDAC inhibitor,Inhibits histone deacetylases leading to epigenetic changes affecting proliferation,0.1,30.0,µM,Alternative name: SAHA; current use CTCL; noted variable single-agent AML activity
Decitabine,DNA hypomethylating agent (DNMT inhibitor; nucleoside analog),"Incorporates into DNA and inhibits DNA methylation, leading to epigenetic reprogramming and antiproliferative effects",0.01,10.0,µM,Time-dependent; note: often needs 72–120 h exposure
Azacitidine,Hypomethylating agent (nucleoside analog),Hypomethylating nucleoside analog causing epigenetic modulation and reduced proliferation with delayed onset,0.05,30.0,µM,Noted slower onset; often needs longer exposure
Bortezomib,Proteasome inhibitor,"Inhibits the proteasome, inducing proteotoxic stress and apoptosis",0.001,0.3,µM,Current use: myeloma; also suggested as a positive control option
Carfilzomib,Proteasome inhibitor,"Irreversibly inhibits the proteasome, inducing proteostasis stress and cytotoxicity",0.001,0.3,µM,Described as potent with short half-life but strong in vitro activity
Tofacitinib,JAK inhibitor,Inhibits JAK/STAT pathway signaling contributing to AML survival in some settings,0.05,30.0,µM,Current use: rheumatoid arthritis (RA)
Ruxolitinib,JAK1/2 inhibitor,Inhibits JAK1/2 to reduce JAK/STAT signaling and proliferation in susceptible AML subsets,0.01,20.0,µM,Current use: MPN; activity noted as subset-dependent
Metformin,Biguanide antidiabetic (metabolic modulator),Modulates mitochondrial metabolism/AMPK-related pathways; antiproliferative effects at higher in vitro doses,0.1,50.0,mM,Current use: type 2 diabetes; note that millimolar ranges are typically needed in standard glucose media; consider lower-glucose/OXPHOS-reliant conditions
