drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes,_name_norm,_in_known,chembl_id
Ponatinib,Multi‑TKI,Tyrosine kinase inhibitor active against BCR‑ABL and FLT3 variants,5.0805e-05,1.0,µM,Potent TKI with reported activity against FLT3 variants.,ponatinib,False,CHEMBL2105708
Bortezomib,Proteasome inhibitor,Reversible proteasome (26S) inhibitor,0.0050805,100.0,nM,Proteasome inhibition can kill AML cells; some MOLM‑13 sensitivity reported.,bortezomib,False,CHEMBL325041
Carfilzomib,Proteasome inhibitor,Irreversible proteasome inhibitor (chymotrypsin‑like activity),0.0050805,100.0,nM,Irreversible inhibitor with leukemia model activity.,carfilzomib,False,CHEMBL451887
Dinaciclib,CDK inhibitor,"Inhibits CDK1/2/5/9, suppressing transcriptional CDKs (CDK9) and lowering short‑lived survival proteins such as MCL‑1",0.0050805,100.0,nM,Expected IC50 often in low‑to‑tens of nM in AML lines.,dinaciclib,False,CHEMBL2103840
Alvocidib,CDK inhibitor,"Transcriptional CDK inhibitor (targets CDK9 and others), reduces MCL‑1",5.0805e-05,1.0,µM,Also known as flavopiridol; clinical history in AML.,alvocidib,False,CHEMBL2105698
Panobinostat,HDAC inhibitor,"Pan‑histone deacetylase inhibitor, modulates chromatin and gene expression",5.0805e-05,1.0,µM,Epigenetic agent; may require longer exposures for some effects.,panobinostat,False,CHEMBL483254
OTX015,BET bromodomain inhibitor,"Inhibits BET bromodomains (BRD proteins), downregulates MYC and other transcriptional drivers",5.0805e-05,1.0,µM,Also known as MK‑8628; preclinical activity in AML models.,otx015,False,CHEMBL3581647
17‑AAG,HSP90 inhibitor,"HSP90 inhibitor that destabilizes client oncoproteins (e.g., FLT3)",5.0805e-05,1.0,µM,Also called tanespimycin; reported preclinical AML activity.,17 aag,False,CHEMBL267912
Auranofin,Thioredoxin reductase inhibitor / repurposing candidate,"Inhibits thioredoxin reductase, inducing oxidative/pro‑oxidant stress",0.00025403,5.0,µM,Gold compound with reported activity in AML including MOLM‑13; repurposing candidate.,auranofin,False,CHEMBL1366
Niclosamide,Anthelmintic / mitochondrial uncoupler (repurposing candidate),Disrupts mitochondrial function and modulates multiple signaling pathways,0.00025403,5.0,µM,"Reported in vitro anti‑AML activity; multi‑pathway effects, repurposing candidate.",niclosamide,False,CHEMBL1448
Mebendazole,Anthelmintic / microtubule disruptor (repurposing candidate),Microtubule destabilizer (binds tubulin),0.00025403,5.0,µM,Has shown anti‑leukemia activity in preclinical models.,mebendazole,False,CHEMBL685
Disulfiram,Repurposing candidate (aldehyde dehydrogenase/proteasome modulation),"Forms complexes with copper that inhibit proteasome/other targets and aldehyde dehydrogenases, causing cell death",0.00025403,5.0,µM,"Requires copper co‑treatment (e.g., 1–10 µM CuCl2) for activity in many assays; test ±Cu to confirm dependence.",disulfiram,False,CHEMBL964
Hydroxychloroquine,Autophagy inhibitor,"Lysosomal/autophagy inhibitor (raises lysosomal pH, blocks autophagic flux)",0.0010161,20.0,µM,Single‑agent effects modest; can sensitize AML cells to other agents; higher top conc recommended (20 µM).,hydroxychloroquine,False,CHEMBL1535
