drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes
Gilteritinib,Tyrosine kinase inhibitor (FLT3/AXL),Potent FLT3 and AXL inhibitor,0.0,0.0,,Alternative name: ASP2215. Approved for relapsed/refractory FLT3‑mutant AML; active against FLT3‑ITD MOLM‑13. Source text did not provide test concentrations.
Quizartinib,Tyrosine kinase inhibitor (FLT3),"Selective FLT3 inhibitor, potent against FLT3‑ITD",0.0,0.0,,Alternative name: AC220. Strong activity in FLT3‑ITD models (MOLM‑13/MV4‑11). Source text did not provide test concentrations.
Midostaurin,Multi‑kinase inhibitor,Multi‑kinase inhibitor including FLT3,0.0,0.0,,Alternative name: PKC412. Approved in combination for newly diagnosed FLT3‑mutant AML. Source text did not provide test concentrations.
Sorafenib,Multi‑kinase inhibitor,Multi‑kinase inhibitor with FLT3 activity,0.0,0.0,,Used off‑label and in trials for FLT3‑mutant AML; active in FLT3‑ITD lines. Source text did not provide test concentrations.
Ponatinib,Tyrosine kinase inhibitor (multi‑target),"Multi‑target TKI, inhibits FLT3 at higher potency",0.0,0.0,,Shown to inhibit some FLT3 mutants in preclinical reports. Source text did not provide test concentrations.
Venetoclax,BCL‑2 inhibitor,"Selective BCL‑2 inhibition, induces apoptosis",0.0,0.0,,Approved in AML in combination regimens; potent activity in many AML cell lines including MOLM‑13 per literature. Source text did not provide test concentrations.
Auranofin,Thiol redox/antirheumatic agent,Thioredoxin reductase inhibitor; increases ROS and induces apoptosis,0.0,0.0,,Reported activity against AML cell lines and primary blasts; some activity in FLT3‑ITD models. Source text did not provide test concentrations.
Disulfiram,Alcohol‑aversion drug (repurposing candidate),Copper‑dependent proteasome and aldehyde dehydrogenase interference; induces ROS (often studied with Cu2+),0.0,0.0,,Preclinical cytotoxicity in AML when combined with copper. Source text did not provide test concentrations.
Niclosamide,Anthelmintic repurposing candidate,Mitochondrial uncoupler; inhibits Wnt/STAT3/Notch pathways,0.0,0.0,,Reported antiproliferative activity in AML models including MOLM‑13 in screens. Source text did not provide test concentrations.
Clofazimine,Antileprosy/antimycobacterial repurposing candidate,Multiple effects including mitochondrial/ion channel perturbation and NF‑κB modulation,0.0,0.0,,Identified in screens for AML cytotoxicity. Source text did not provide test concentrations.
Mebendazole,Anthelmintic (microtubule inhibitor),Disrupts microtubules/tubulin,0.0,0.0,,Shown to inhibit growth of various cancer cell lines including leukemia models in preclinical studies. Source text did not provide test concentrations.
Simvastatin,Statin (HMG‑CoA reductase inhibitor),Inhibits HMG‑CoA reductase; affects prenylation and cell signaling leading to pro‑apoptotic effects,0.0,0.0,,"Statins (e.g., simvastatin) have shown pro‑apoptotic effects in AML cell lines and studied in combinations. Source text did not provide test concentrations."
Metformin,Biguanide (antidiabetic),Activates AMPK and inhibits mitochondrial complex I,0.0,0.0,,Epidemiologic and preclinical evidence for antiproliferative effects in hematologic malignancies and potential sensitization of AML cells. Source text did not provide test concentrations.
Hydroxychloroquine,Antimalarial/antirheumatic (autophagy inhibitor),Lysosomal/autophagy inhibition,0.0,0.0,,Used in combination strategies to inhibit autophagy and sensitize AML cells. Source text did not provide test concentrations.
Dasatinib,Tyrosine kinase inhibitor (SRC/ABL family),Inhibits SRC and ABL family kinases (broad‑spectrum TKI),0.0,0.0,,Has activity in subsets of AML and can synergize with other inhibitors. Source text did not provide test concentrations.
Ruxolitinib,JAK inhibitor,JAK1/2 inhibition (JAK‑STAT pathway),0.0,0.0,,Relevant where JAK‑STAT pathway is activated; variable AML cell line responses reported. Source text did not provide test concentrations.
Trametinib,MEK inhibitor,MEK1/2 inhibition (MAPK pathway),0.0,0.0,,Potentially effective in AML with RAS pathway activation. Source text did not provide test concentrations.
Itraconazole,Antifungal (repurposing candidate),"Off‑target effects on hedgehog, angiogenesis and mTOR pathways",0.0,0.0,,Identified in repurposing screens for anticancer activity; some preclinical hematologic data. Source text did not provide test concentrations.
Celecoxib,NSAID (COX‑2 inhibitor),COX‑2 inhibition and COX‑independent pro‑apoptotic effects,0.0,0.0,,Reported pro‑apoptotic effects in AML cell lines and studied in combinations. Source text did not provide test concentrations.
Thioridazine,Phenothiazine antipsychotic (repurposing candidate),Multiple off‑target effects including dopamine receptor antagonism and mitochondrial effects,0.0,0.0,,Phenothiazines emerged in screens for cancer stem cell and leukemia cytotoxicity. Source text did not provide test concentrations.
