drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes
Gilteritinib,FLT3/AXL TKI,"Inhibits FLT3 and AXL tyrosine kinases, blocking FLT3‑driven signaling and proliferation",0.01,1000.0,nM,Approved FLT3 inhibitor; MOLM13 (FLT3‑ITD) sensitive; recommended 11‑point 3‑fold series (0.01 nM–1 µM).
Quizartinib,FLT3 inhibitor,"Potent FLT3 kinase inhibitor, suppresses FLT3‑ITD signaling",0.01,1000.0,nM,Also known as AC220; very potent in FLT3‑ITD models; same dilution series as gilteritinib.
Crenolanib,FLT3 inhibitor,"Inhibits FLT3 including some resistance alleles, blocking downstream proliferative signals",0.01,1000.0,nM,Active against FLT3‑ITD and some resistant mutants; suggested 11‑point 3‑fold series 0.01 nM–1 µM.
Midostaurin,Multikinase (FLT3 inhibitor),"Multikinase inhibitor including FLT3, inhibits FLT3‑driven proliferation",0.1,10000.0,nM,Approved for FLT3‑mutant AML in combination; expected cellular IC50 ~10–200 nM; test range 0.1 nM–10 µM.
Sorafenib,Multikinase TKI,Inhibits multiple kinases (including some FLT3 activity) to reduce AML cell proliferation,0.1,10000.0,nM,Used off‑label/experimentally in FLT3‑ITD models; expected IC50 ~10–500 nM; test range 0.1 nM–10 µM.
Ponatinib,Multi‑TKI,Broad tyrosine kinase inhibitor with reported activity against FLT3 and related kinases,0.01,1000.0,nM,Potent multi‑kinase inhibitor; reported FLT3 activity in some studies; suggested 0.01 nM–1 µM series.
Venetoclax,BCL‑2 inhibitor,Selective BCL‑2 inhibitor that induces apoptosis by relieving BCL‑2–mediated caspase inhibition,0.01,1000.0,nM,Approved in AML combinations; cellular IC50 line‑dependent (~1–100 nM); test 0.01 nM–1 µM.
Bortezomib,Proteasome inhibitor,"Reversible inhibition of the 26S proteasome, causing proteotoxic stress and apoptosis",0.01,1000.0,nM,Single‑agent cytotoxicity in AML cell lines reported; expect ~1–100 nM IC50.
Carfilzomib,Proteasome inhibitor,Irreversible proteasome (20S) inhibitor causing accumulation of misfolded proteins and cell death,0.01,1000.0,nM,More potent proteasome inhibitor vs bortezomib; similar rationale for AML testing.
Auranofin,Thioredoxin reductase inhibitor (anti‑rheumatic),Inhibits thioredoxin reductase leading to oxidative stress and apoptosis,0.001,50.0,µM,Repurposed anticancer candidate with reported AML activity in low µM; suggested series spans ~0.001 µM (1 nM) to 50 µM; check solubility; many labs use top 30–50 µM.
Niclosamide,Anthelmintic / mitochondrial uncoupler / signaling inhibitor,Disrupts mitochondrial function and modulates Wnt/STAT3 and other pathways leading to cytotoxicity,0.01,50000.0,nM,Reported AML and stem‑like cell activity (low µM); practical focus often 1 nM–10 µM.
Mebendazole,Antihelmintic (microtubule inhibitor),"Binds tubulin, destabilizes microtubules, leading to mitotic arrest and cell death",0.01,50000.0,nM,Repurposing candidate with AML cytotoxicity reported in sub‑µM to low‑µM range; test 0.01 nM–50 µM or narrower around expected IC50.
Mefloquine,Antimalarial,"Multiple proposed effects (lysosomal/mitochondrial perturbation, ROS) causing cell death",0.01,50000.0,nM,Reported antileukemic effects in cell lines; expected IC50 ~1–20 µM; practical series 1 nM–50 µM.
Disulfiram,Aldehyde dehydrogenase inhibitor / repurposing anticancer agent,Forms Cu‑complexes that induce proteotoxicity/ubiquitin–proteasome disruption and kill cancer cells,0.01,50000.0,nM,"Activity often copper‑dependent — test ±Cu (e.g., 1:1 molar ratio or 1–5 µM CuSO4); expected active range with Cu ~0.1–5 µM."
Clofazimine,Antileprosy diarylquinone,Disrupts mitochondrial function and induces ER stress/NF‑κB modulation leading to cytotoxicity,0.01,50000.0,nM,Reported AML cell activity; expected IC50 ~0.1–10 µM; test 0.01 nM–50 µM (practical 0.1 nM–10 µM).
Itraconazole,Antifungal / hedgehog/angiogenesis modulator,"Multiple anticancer effects (hedgehog, VEGF/angiogenesis inhibition, other pathways) that can impair AML cell survival",0.01,50000.0,nM,Reported anticancer activity and some AML sensitivity; test 0.01 nM–50 µM.
Simvastatin,HMG‑CoA reductase inhibitor (statin),"Inhibits HMG‑CoA reductase, blocking cholesterol synthesis and protein prenylation leading to apoptosis",0.01,100.0,µM,Statins induce apoptosis in AML by blocking prenylation; use active hydroxy acid form or convert lactone; expected IC50 ~1–50 µM; recommended 0.01–100 µM series.
Tamoxifen,Selective estrogen receptor modulator (SERM),Exerts ER‑dependent/independent pro‑apoptotic effects including PKC/mitochondrial pathways in AML,0.01,50000.0,nM,Shows pro‑apoptotic effects in some AML lines; expected IC50 ~1–20 µM; practical testing 0.1 nM–50 µM.
Hydroxychloroquine / Chloroquine,Autophagy inhibitors,"Raises lysosomal pH and inhibits autophagy, potentially sensitizing AML cells to stress and other agents",0.1,200.0,µM,Often used in combination strategies; single‑agent effects frequently at high µM; suggested 0.1–200 µM (adjust upper limit based on assay).
Metformin,Biguanide (metabolic modulator),"Alters mitochondrial metabolism/activates AMPK, impairing cancer cell metabolic fitness",0.01,50.0,mM,Single‑agent cytotoxicity in vitro often requires mM concentrations; note potential media pH effects at high concentrations; test 0.01–50 mM.
