drug_name,chembl_id,mechanism_of_actions,smiles
LOSARTAN POTASSIUM,CHEMBL995,Type-1 angiotensin II receptor antagonist,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1.[K+]
CANDESARTAN CILEXETIL,CHEMBL1014,Type-1 angiotensin II receptor antagonist,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
TELMISARTAN,CHEMBL1017,Type-1 angiotensin II receptor antagonist,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1
VALSARTAN,CHEMBL1069,Type-1 angiotensin II receptor antagonist,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C
SPARSENTAN,CHEMBL539423,Type-1 angiotensin II receptor antagonist,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2S(=O)(=O)Nc2noc(C)c2C)c(COCC)c1
IRBESARTAN,CHEMBL1513,Type-1 angiotensin II receptor antagonist,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
SARALASIN ACETATE,CHEMBL1200670,Type-1 angiotensin II receptor antagonist,CC(=O)O.CNCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)O)C(C)C)C(C)C.O
OLMESARTAN MEDOXOMIL,CHEMBL1200692,Type-1 angiotensin II receptor antagonist,CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
EPROSARTAN MESYLATE,CHEMBL1200987,Type-1 angiotensin II receptor antagonist,CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1.CS(=O)(=O)O
AZILSARTAN KAMEDOXOMIL,CHEMBL2103795,Type-1 angiotensin II receptor antagonist,CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[n-]2)cc1.[K+]
PRATOSARTAN,CHEMBL41194,Type-1 angiotensin II receptor antagonist,CCCc1nc2c(n1Cc1ccc(-c3ccccc3-c3nnn[nH]3)cc1)C(=O)CCCC2
AZILSARTAN,CHEMBL57242,Type-1 angiotensin II receptor antagonist,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1
TASOSARTAN,CHEMBL432162,Type-1 angiotensin II receptor antagonist,Cc1nc(C)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nnn[nH]3)cc1)C(=O)CC2
CANDESARTAN,CHEMBL1016,Type-1 angiotensin II receptor antagonist,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
CHOLECALCIFEROL,CHEMBL1042,Vitamin D receptor agonist,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12
OLMESARTAN,CHEMBL1516,Type-1 angiotensin II receptor antagonist,CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
ERGOCALCIFEROL,CHEMBL1536,Vitamin D receptor agonist,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12
FIMASARTAN,CHEMBL1951143,Type-1 angiotensin II receptor antagonist,CCCCc1nc(C)c(CC(=S)N(C)C)c(=O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
