name,url,associated_proteins,associated_drugs
TWIK related potassium channel (TREK),,p(HGNC:KCNK10); p(HGNC:KCNK2),
Phase 4 - resting membrane potential,,p(HGNC:KCNK10); p(HGNC:KCNK18); p(HGNC:KCNK3); p(HGNC:KCNK9); p(HGNC:KCNK2),
Collagen degradation,,p(HGNC:MMP7); p(HGNC:MMP8); p(HGNC:MMP13); p(HGNC:MMP1),
Degradation of the extracellular matrix,,p(HGNC:MMP7); p(HGNC:MMP8); p(HGNC:MMP13); p(HGNC:MMP1); p(HGNC:PLG),
Activation of Matrix Metalloproteinases,,p(HGNC:MMP7); p(HGNC:MMP8); p(HGNC:MMP13); p(HGNC:MMP1); p(HGNC:PLG),
Basigin interactions,,p(HGNC:MMP1),
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),,p(HGNC:SERPINC1); p(HGNC:MMP1); p(HGNC:PLG); p(HGNC:IL6),
Interleukin-4 and Interleukin-13 signaling,,p(HGNC:IL6R); p(HGNC:TNF); p(HGNC:PTGS2); p(HGNC:IL1B); p(HGNC:VEGFA); p(HGNC:OPRM1); p(HGNC:MMP1); p(HGNC:IL17A); p(HGNC:IL6); p(HGNC:JAK1); p(HGNC:JAK2); p(HGNC:TYK2); p(HGNC:FASLG),
Metabolism of Angiotensinogen to Angiotensins,,p(HGNC:ACE); p(HGNC:ACE2),
Platelet degranulation,,p(HGNC:VEGFA); p(HGNC:PLG),
Regulation of gene expression by Hypoxia-inducible Factor,,p(HGNC:VEGFA),
Signaling by VEGF,,p(HGNC:VEGFA),
VEGF ligand-receptor interactions,,p(HGNC:VEGFA),
VEGF binds to VEGFR leading to receptor dimerization,,p(HGNC:VEGFA),
VEGFA-VEGFR2 Pathway,,p(HGNC:VEGFA),
VEGFR2 mediated cell proliferation,,p(HGNC:VEGFA),
TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,,p(HGNC:VEGFA); p(HGNC:KIT),
Potential therapeutics for SARS,,p(HGNC:NR3C1); p(HGNC:IL6R); p(HGNC:BTK); p(HGNC:TLR9); p(HGNC:VEGFA); p(HGNC:TLR7); p(HGNC:IL1R1); p(HGNC:IFNAR1); p(HGNC:JAK1); p(HGNC:JAK2); p(HGNC:TYK2); p(HGNC:TBK1); p(HGNC:CYSLTR1); p(HGNC:ACE2),
Adrenoceptors,,p(HGNC:ADRA1A); p(HGNC:ADRA2A); p(HGNC:ADRA2B),
Adrenaline signalling through Alpha-2 adrenergic receptor,,p(HGNC:ADRA2A); p(HGNC:ADRA2B),
"Adrenaline,noradrenaline inhibits insulin secretion",,p(HGNC:ADRA2A),
G alpha (i) signalling events,,p(HGNC:C5); p(HGNC:CCR5); p(HGNC:CCR2); p(HGNC:OPRM1); p(HGNC:P2RY12); p(HGNC:ADRA2A); p(HGNC:ADRA2B),
G alpha (z) signalling events,,p(HGNC:ADRA2A); p(HGNC:ADRA2B),
Surfactant metabolism,,p(HGNC:ADRA2A),
Translocation of SLC2A4 (GLUT4) to the plasma membrane,,p(HGNC:TUBB4B),
Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane,,p(HGNC:TUBB4B),
Gap junction assembly,,p(HGNC:TUBB4B),
MHC class II antigen presentation,,p(HGNC:TUBB4B),
Separation of Sister Chromatids,,p(HGNC:TUBB4B),
Resolution of Sister Chromatid Cohesion,,p(HGNC:TUBB4B),
Regulation of PLK1 Activity at G2/M Transition,,p(HGNC:TUBB4B),
HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,,p(HGNC:NR3C1); p(HGNC:AR); p(HGNC:TUBB4B),
Loss of Nlp from mitotic centrosomes,,p(HGNC:TUBB4B),
Recruitment of mitotic centrosome proteins and complexes,,p(HGNC:TUBB4B),
Loss of proteins required for interphase microtubule organization from the centrosome,,p(HGNC:TUBB4B),
Recruitment of NuMA to mitotic centrosomes,,p(HGNC:TUBB4B),
Prefoldin mediated transfer of substrate to CCT/TriC,,p(HGNC:TUBB4B),
Formation of tubulin folding intermediates by CCT/TriC,,p(HGNC:TUBB4B),
Post-chaperonin tubulin folding pathway,,p(HGNC:TUBB4B),
Recycling pathway of L1,,p(HGNC:TUBB4B),
Hedgehog 'off' state,,p(HGNC:TUBB4B),
Cilium Assembly,,p(HGNC:TUBB4B),
Anchoring of the basal body to the plasma membrane,,p(HGNC:TUBB4B),
Intraflagellar transport,,p(HGNC:TUBB4B),
RHO GTPases activate IQGAPs,,p(HGNC:TUBB4B),
RHO GTPases Activate Formins,,p(HGNC:TUBB4B),
Neutrophil degranulation,,p(HGNC:MMP8); p(HGNC:TUBB4B),
COPI-mediated anterograde transport,,p(HGNC:TUBB4B),
COPI-dependent Golgi-to-ER retrograde traffic,,p(HGNC:TUBB4B),
COPI-independent Golgi-to-ER retrograde traffic,,p(HGNC:TUBB4B),
Mitotic Prometaphase,,p(HGNC:TUBB4B),
The role of GTSE1 in G2/M progression after G2 checkpoint,,p(HGNC:TUBB4B),
AURKA Activation by TPX2,,p(HGNC:TUBB4B),
Carboxyterminal post-translational modifications of tubulin,,p(HGNC:TUBB4B),
HCMV Early Events,,p(HGNC:TUBB4B),
Assembly and cell surface presentation of NMDA receptors,,p(HGNC:GRIN1); p(HGNC:TUBB4B),
Activation of AMPK downstream of NMDARs,,p(HGNC:TUBB4B),
Aggrephagy,,p(HGNC:TUBB4B),
EML4 and NUDC in mitotic spindle formation,,p(HGNC:TUBB4B),
Sealing of the nuclear envelope (NE) by ESCRT-III,,p(HGNC:TUBB4B),
Kinesins,,p(HGNC:TUBB4B),
PKR-mediated signaling,,p(HGNC:TUBB4B); p(HGNC:CHUK); p(HGNC:IKBKB),
Activation of NF-kappaB in B cells,,p(HGNC:MAP3K7); p(HGNC:CHUK); p(HGNC:IKBKB),
ER-Phagosome pathway,,p(HGNC:BTK); p(HGNC:CHUK); p(HGNC:IKBKB),
NOD1/2 Signaling Pathway,,p(HGNC:MAP3K7); p(HGNC:CHUK); p(HGNC:IKBKB),
"TICAM1, RIP1-mediated IKK complex recruitment",,p(HGNC:CHUK); p(HGNC:IKBKB),
RIP-mediated NFkB activation via ZBP1,,p(HGNC:CHUK); p(HGNC:IKBKB),
Downstream TCR signaling,,p(HGNC:MAP3K7); p(HGNC:CHUK); p(HGNC:IKBKB),
p75NTR recruits signalling complexes,,p(HGNC:IKBKB),
NF-kB is activated and signals survival,,p(HGNC:IKBKB),
FCERI mediated NF-kB activation,,p(HGNC:MAP3K7); p(HGNC:CHUK); p(HGNC:IKBKB),
TAK1-dependent IKK and NF-kappa-B activation,,p(HGNC:MAP3K7); p(HGNC:CHUK); p(HGNC:IKBKB),
