chembl_id,compound_name,smiles,total_support_count,num_proteins,num_pathways,num_moas,ADMET_aggregate_score,mechanistic_score,final_score,confidence,cyp3a4_risk,herg_risk,pgp_risk,ames_risk,sol_value,lip_value,cyp3a4_score,herg_score,pgp_score,ames_score,sol_score,lip_score,ADMET_aggregate_score,mechanistic_score,final_score
CHEMBL1201109,DESONIDE,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,10,1,8,1,0.612862890250756,0.4368421052631579,0.5600566547544765,M,0.5,1.0,0.0,0.0,-3.36,2.326700000000001,0.5,0.0,1.0,1.0,0.6670190274841438,0.9346599999999998,0.612862890250756,0.4368421052631579,0.5600566547544765
CHEMBL131,PREDNISOLONE,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,10,1,8,1,0.7243113078384671,0.4368421052631579,0.6380705470658743,H,0.0,1.0,0.0,0.0,-3.32,1.5576,1.0,0.0,1.0,1.0,0.6680761099365751,0.91152,0.7243113078384671,0.4368421052631579,0.6380705470658743
CHEMBL1473,FLUTICASONE PROPIONATE,CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,10,1,8,1,0.6503893274814676,0.4368421052631579,0.5863251608159746,M,1.0,0.0,0.0,0.0,-7.3,4.430000000000004,0.0,1.0,1.0,1.0,0.5628964059196617,0.5139999999999991,0.6503893274814676,0.4368421052631579,0.5863251608159746
CHEMBL1650,CORTISONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,10,1,8,1,0.9335163422270988,0.4368421052631579,0.7845140711379164,H,0.0,0.0,0.0,0.0,-4.14,2.560600000000001,1.0,1.0,1.0,1.0,0.6464059196617336,0.8878799999999998,0.9335163422270988,0.4368421052631579,0.7845140711379164
CHEMBL1683,HYDROCORTISONE BUTYRATE,CCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,10,1,8,1,0.9164691936735623,0.4368421052631579,0.772581067150441,H,0.0,0.0,0.0,0.0,-5.14,3.132600000000002,1.0,1.0,1.0,1.0,0.6199788583509513,0.7734799999999996,0.9164691936735623,0.4368421052631579,0.772581067150441
CHEMBL389621,HYDROCORTISONE,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,10,1,8,1,0.7290939663339311,0.4368421052631579,0.641418408012699,H,0.0,1.0,0.0,0.0,-3.4,1.7815999999999996,1.0,0.0,1.0,1.0,0.6659619450317125,0.95632,0.7290939663339311,0.4368421052631579,0.641418408012699
CHEMBL635,PREDNISONE,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,10,1,8,1,0.9440442668664866,0.4368421052631579,0.7918836183854878,H,0.0,0.0,0.0,0.0,-3.37,1.7658,1.0,1.0,1.0,1.0,0.6667547568710359,0.95316,0.9440442668664866,0.4368421052631579,0.7918836183854878
CHEMBL650,METHYLPREDNISOLONE,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12,10,1,8,1,0.5650784125030107,0.4368421052631579,0.5266075203310548,M,0.0,1.0,1.0,0.0,-3.39,1.8036,1.0,0.0,0.0,1.0,0.6662262156448202,0.96072,0.5650784125030107,0.4368421052631579,0.5266075203310548
CHEMBL1201014,PREDNISOLONE SODIUM PHOSPHATE,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COP(=O)([O-])[O-].[Na+].[Na+],10,1,8,1,0.6132683918965933,0.4368421052631579,0.5603405059065627,M,1.0,0.0,0.0,0.0,-1.96,-5.581399999999994,0.0,1.0,1.0,1.0,0.7040169133192389,0.0,0.6132683918965933,0.4368421052631579,0.5603405059065627
CHEMBL1370,BUDESONIDE,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,10,1,8,1,0.4869996649450049,0.4368421052631579,0.4719523970404508,L,1.0,1.0,0.0,0.0,-4.12,2.7168000000000014,0.0,0.0,1.0,1.0,0.6469344608879493,0.8566399999999997,0.4869996649450049,0.4368421052631579,0.4719523970404508
