rank,chembl_id,composite_final,direct_antiviral_score,focus_protein_score,focus_pathway_score,focus_moa_score,focus_protein_hits,focus_pathways,focus_moas,veroE6_relevant,mechanistic_rationale,compound_name,infection_rate_pct,is_AB_hit,n_ab_reps,prior_score_norm,ab_infection_rate_pct_mean,ab_score_norm,ab_score_norm_filled,combined_score,new_rank
1,CHEMBL3752910,3.4512915960161155,1.0719986624365254,0.0620458587645705,6.919156267440078,0.0,"AAK1,ATP6V0C,ATP6V1H,CLTC",Aggrephagy; COPII-mediated vesicle transport; Chaperone Mediated Autophagy,,True,"Host protein hits: AAK1,ATP6V0C,ATP6V1H,CLTC | Relevant pathways: Aggrephagy; COPII-mediated vesicle transport; Chaperone Mediated Autophagy",NVP-BHG712,74.0,False,1.0,1.0,74.0,0.44672131147540983,0.44672131147540983,0.7233606557377049,1
3,CHEMBL35241,2.9619950895637284,2.7289240857553416,4.961680155918803,0.0,0.0,"ACE2,FURIN,TMPRSS2",,,False,"Host protein hits: ACE2,FURIN,TMPRSS2",diminazene-aceturate,86.0,False,1.0,0.8582280016509789,86.0,0.3483606557377049,0.3483606557377049,0.603294328694342,2
34,CHEMBL92708,0.8620657757975001,0.7976482034634937,1.1826863222889663,0.981138174697081,0.0,"CTSK,CTSL",Endosomal/Vacuolar pathway,,True,"Host protein hits: CTSK,CTSL | Relevant pathways: Endosomal/Vacuolar pathway",calpeptin,12.5,True,1.0,0.24978062612634566,12.5,0.9508196721311475,0.9508196721311475,0.6003001491287465,3
2,CHEMBL1232461,3.161486676640062,1.514003961646072,0.0190535325067693,10.023496791782325,0.0,CTSD,Aggrephagy; Cargo recognition for clathrin-mediated endocytosis; Chaperone Mediated Autophagy,,True,Host protein hits: CTSD | Relevant pathways: Aggrephagy; Cargo recognition for clathrin-mediated endocytosis; Chaperone Mediated Autophagy,I-BET-762,105.5,False,1.0,0.9160300104139042,105.5,0.1885245901639344,0.1885245901639344,0.5522773002889193,4
230,CHEMBL180672,0.2629378306562053,0.2168684790029854,0.0,1.4457898600199028,0.0,,Cargo recognition for clathrin-mediated endocytosis; Clathrin-mediated endocytosis,,True,Relevant pathways: Cargo recognition for clathrin-mediated endocytosis; Clathrin-mediated endocytosis,NPS-2143,9.5,True,1.0,0.07618534202085935,9.5,0.9754098360655737,0.9754098360655737,0.5257975890432165,5
87,CHEMBL267930,0.4878977782014824,0.2853290085509496,0.0,1.9021933903396644,0.0,,ER-Phagosome pathway; Endosomal/Vacuolar pathway,,True,Relevant pathways: ER-Phagosome pathway; Endosomal/Vacuolar pathway,spiperone,22.0,True,1.0,0.14136672159624852,22.0,0.8729508196721312,0.8729508196721312,0.5071587706341898,6
222,CHEMBL27006,0.2723019232855369,0.2102994524510134,0.0,1.4019963496734231,0.0,,Cargo recognition for clathrin-mediated endocytosis; Clathrin-mediated endocytosis,,True,Relevant pathways: Cargo recognition for clathrin-mediated endocytosis; Clathrin-mediated endocytosis,L-733060,16.0,True,1.0,0.07889855600722338,16.0,0.9221311475409836,0.9221311475409836,0.5005148517741035,7
4856,CHEMBL48802,0.0,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,sulforaphane,6.5,True,1.0,0.0,6.5,1.0,1.0,0.5,8
1423,CHEMBL562318,0.0202029467832799,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,PF-02545920,8.0,True,1.0,0.00585373510792322,8.0,0.9877049180327869,0.9877049180327869,0.49677932657035506,9
1819,CHEMBL1779732,0.0055605545245743,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,CYM-50358,7.5,True,1.0,0.0016111517586612917,7.5,0.9918032786885246,0.9918032786885246,0.49670721522359296,10
186,CHEMBL24072,0.3248316480534712,0.2168684790029854,0.0,1.4457898600199028,0.0,,Cargo recognition for clathrin-mediated endocytosis; Clathrin-mediated endocytosis,,True,Relevant pathways: Cargo recognition for clathrin-mediated endocytosis; Clathrin-mediated endocytosis,prenylamine,19.5,True,1.0,0.09411886507313084,19.5,0.8934426229508197,0.8934426229508197,0.49378074401197525,11
2014,CHEMBL961,0.0028909650995785,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,ditiocarb-sodium-trihydrate,11.0,True,1.0,0.0008376473036690352,11.0,0.9631147540983607,0.9631147540983607,0.4819762007010149,12
2119,CHEMBL3922179,0.0021418253750362,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,CYM-5442,12.0,True,1.0,0.0006205866167635749,12.0,0.9549180327868853,0.9549180327868853,0.4777693097018244,13
3685,CHEMBL176045,0.0,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,tetrandrine,12.0,True,1.0,0.0,12.0,0.9549180327868853,0.9549180327868853,0.4774590163934426,14
26,CHEMBL371064,0.9564823332067426,0.8887905599431484,1.341144453180426,0.981138174697081,0.013301281631173,"CTSB,CTSD,CTSK,CTSL",Endosomal/Vacuolar pathway,Cathepsin K inhibitor,True,"Host protein hits: CTSB,CTSD,CTSK,CTSL | Relevant pathways: Endosomal/Vacuolar pathway | MoA: Cathepsin K inhibitor",balicatib,46.0,True,1.0,0.27713750246743174,46.0,0.6762295081967213,0.6762295081967213,0.47668350533207654,15
13,CHEMBL76,1.270033105672097,1.1386179930418092,2.070214532803289,0.0,0.0,ACE2,,,False,Host protein hits: ACE2,chloroquine,57.5,True,1.0,0.3679877722120373,57.5,0.5819672131147541,0.5819672131147541,0.47497749266339573,16
369,CHEMBL2177736,0.1379418001269781,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,PRT062607,17.5,True,1.0,0.03996816736267856,17.5,0.9098360655737705,0.9098360655737705,0.47490211646822456,17
169,CHEMBL3545413,0.3364794618602452,0.1696796375454481,0.0,1.1311975836363206,0.0,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,flumatinib,25.5,True,1.0,0.09749377950233158,25.5,0.8442622950819672,0.8442622950819672,0.4708780372921494,18
498,CHEMBL45816,0.0905008554234964,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,mibefradil,17.5,True,1.0,0.02622231501040453,17.5,0.9098360655737705,0.9098360655737705,0.4680291902920875,19
