name,url,associated_proteins,associated_drugs
PIP3 activates AKT signaling,,p(HGNC:FLT3); p(HGNC:KIT); p(HGNC:PDGFRB); p(HGNC:PDGFRA),
Signaling by SCF-KIT,,p(HGNC:KIT); p(HGNC:JAK2),
Regulation of KIT signaling,,p(HGNC:KIT),
Constitutive Signaling by Aberrant PI3K in Cancer,,p(HGNC:FLT3); p(HGNC:KIT); p(HGNC:PDGFRB); p(HGNC:PDGFRA),
RAF/MAP kinase cascade,,p(HGNC:FLT3); p(HGNC:KIT); p(HGNC:PDGFRB); p(HGNC:JAK2); p(HGNC:PDGFRA),
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",,p(HGNC:FLT3); p(HGNC:KIT); p(HGNC:PDGFRB); p(HGNC:PDGFRA),
TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,,p(HGNC:KIT),
Dasatinib-resistant KIT mutants,,p(HGNC:KIT),
Imatinib-resistant KIT mutants,,p(HGNC:KIT),
KIT mutants bind TKIs,,p(HGNC:KIT),
Masitinib-resistant KIT mutants,,p(HGNC:KIT),
Nilotinib-resistant KIT mutants,,p(HGNC:KIT),
Regorafenib-resistant KIT mutants,,p(HGNC:KIT),
Signaling by kinase domain mutants of KIT,,p(HGNC:KIT),
Sunitinib-resistant KIT mutants,,p(HGNC:KIT),
Signaling by juxtamembrane domain KIT mutants,,p(HGNC:KIT),
Sorafenib-resistant KIT mutants,,p(HGNC:KIT),
"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",,p(HGNC:KIT); p(HGNC:JAK2),
Signaling by extracellular domain mutants of KIT,,p(HGNC:KIT),
Transcriptional and post-translational regulation of MITF-M expression and activity,,p(HGNC:KIT),
