name,url,associated_proteins,associated_drugs
DNA Damage/Telomere Stress Induced Senescence,,p(HGNC:TP53),
SUMOylation of transcription factors,,p(HGNC:TP53),
Autodegradation of the E3 ubiquitin ligase COP1,,p(HGNC:TP53),
Association of TriC/CCT with target proteins during biosynthesis,,p(HGNC:TP53),
Pyroptosis,,p(HGNC:TP53),
TP53 Regulates Metabolic Genes,,p(HGNC:TP53),
Ub-specific processing proteases,,p(HGNC:TP53),
Ovarian tumor domain proteases,,p(HGNC:TP53),
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks,,p(HGNC:ABL1); p(HGNC:TP53),
Interleukin-4 and Interleukin-13 signaling,,p(HGNC:BCL2); p(HGNC:TP53); p(HGNC:JAK2),
TP53 Regulates Transcription of DNA Repair Genes,,p(HGNC:TP53),
TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,,p(HGNC:TP53),
TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain,,p(HGNC:TP53),
TP53 Regulates Transcription of Caspase Activators and Caspases,,p(HGNC:TP53),
TP53 Regulates Transcription of Death Receptors and Ligands,,p(HGNC:TP53),
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,,p(HGNC:TP53),
TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain,,p(HGNC:TP53),
TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,,p(HGNC:TP53),
Regulation of TP53 Expression,,p(HGNC:TP53),
Regulation of TP53 Activity through Phosphorylation,,p(HGNC:TP53),
Regulation of TP53 Degradation,,p(HGNC:TP53),
Regulation of TP53 Activity through Acetylation,,p(HGNC:TP53),
Regulation of TP53 Activity through Association with Co-factors,,p(HGNC:TP53),
Regulation of TP53 Activity through Methylation,,p(HGNC:TP53),
PI5P Regulates TP53 Acetylation,,p(HGNC:TP53),
G2/M DNA damage checkpoint,,p(HGNC:TP53),
G2/M Checkpoints,,p(HGNC:TP53),
Stabilization of p53,,p(HGNC:TP53),
Transcriptional activation of cell cycle inhibitor p21,,p(HGNC:TP53),
The role of GTSE1 in G2/M progression after G2 checkpoint,,p(HGNC:TP53),
Transcriptional Regulation by VENTX,,p(HGNC:TP53),
RUNX3 regulates CDKN1A transcription,,p(HGNC:TP53),
Regulation of PTEN gene transcription,,p(HGNC:TP53),
Loss of function of TP53 in cancer due to loss of tetramerization ability,,p(HGNC:TP53),
Signaling by ALK fusions and activated point mutants,,p(HGNC:TP53),
Regulation of NF-kappa B signaling,,p(HGNC:TP53),
Zygotic genome activation (ZGA),,p(HGNC:TP53),
Factors involved in megakaryocyte development and platelet production,,p(HGNC:ABL1); p(HGNC:TP53); p(HGNC:JAK2),
PKR-mediated signaling,,p(HGNC:TP53),
Regulation of actin dynamics for phagocytic cup formation,,p(HGNC:ABL1),
Role of ABL in ROBO-SLIT signaling,,p(HGNC:ABL1),
Myogenesis,,p(HGNC:ABL1),
RHO GTPases Activate WASPs and WAVEs,,p(HGNC:ABL1),
HDR through Single Strand Annealing (SSA),,p(HGNC:ABL1),
Cyclin D associated events in G1,,p(HGNC:ABL1); p(HGNC:JAK2),
RUNX1 regulates transcription of genes involved in differentiation of HSCs,,p(HGNC:ABL1),
RUNX2 regulates osteoblast differentiation,,p(HGNC:ABL1),
FCGR3A-mediated phagocytosis,,p(HGNC:ABL1),
MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis,,p(HGNC:ABL1),
"Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells",,p(HGNC:ABL1),
Activation of BAD and translocation to mitochondria,,p(HGNC:BCL2),
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,,p(HGNC:BCL2),
The NLRP1 inflammasome,,p(HGNC:BCL2),
Estrogen-dependent gene expression,,p(HGNC:BCL2),
Estrogen-dependent nuclear events downstream of ESR-membrane signaling,,p(HGNC:BCL2),
NFE2L2 regulating tumorigenic genes,,p(HGNC:BCL2),
Regulation of MITF-M-dependent genes involved in apoptosis,,p(HGNC:BCL2),
Neurophilin interactions with VEGF and VEGFR,,p(HGNC:KDR),
VEGF binds to VEGFR leading to receptor dimerization,,p(HGNC:KDR),
Integrin cell surface interactions,,p(HGNC:KDR),
VEGFA-VEGFR2 Pathway,,p(HGNC:AXL); p(HGNC:KDR),
VEGFR2 mediated cell proliferation,,p(HGNC:KDR); p(HGNC:PRKCD); p(HGNC:PRKCA),
Signaling by membrane-tethered fusions of PDGFRA or PDGFRB,,p(HGNC:KDR),
High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells,,p(HGNC:KDR),
PI3K Cascade,,p(HGNC:FLT3),
PIP3 activates AKT signaling,,p(HGNC:PDGFRB); p(HGNC:KIT); p(HGNC:FLT3); p(HGNC:PDGFRA),
Constitutive Signaling by Aberrant PI3K in Cancer,,p(HGNC:PDGFRB); p(HGNC:KIT); p(HGNC:FLT3); p(HGNC:PDGFRA),
RAF/MAP kinase cascade,,p(HGNC:PDGFRB); p(HGNC:KIT); p(HGNC:FLT3); p(HGNC:PDGFRA); p(HGNC:JAK2),
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",,p(HGNC:PDGFRB); p(HGNC:KIT); p(HGNC:FLT3); p(HGNC:PDGFRA),
FLT3 Signaling,,p(HGNC:FLT3),
STAT5 Activation,,p(HGNC:FLT3),
FLT3 mutants bind TKIs,,p(HGNC:FLT3),
STAT5 activation downstream of FLT3 ITD mutants,,p(HGNC:FLT3),
KW2449-resistant FLT3 mutants,,p(HGNC:FLT3),
semaxanib-resistant FLT3 mutants,,p(HGNC:FLT3),
crenolanib-resistant FLT3 mutants,,p(HGNC:FLT3),
gilteritinib-resistant FLT3 mutants,,p(HGNC:FLT3),
lestaurtinib-resistant FLT3 mutants,,p(HGNC:FLT3),
midostaurin-resistant FLT3 mutants,,p(HGNC:FLT3),
pexidartinib-resistant FLT3 mutants,,p(HGNC:FLT3),
ponatinib-resistant FLT3 mutants,,p(HGNC:FLT3),
quizartinib-resistant FLT3 mutants,,p(HGNC:FLT3),
sorafenib-resistant FLT3 mutants,,p(HGNC:FLT3),
sunitinib-resistant FLT3 mutants,,p(HGNC:FLT3),
tandutinib-resistant FLT3 mutants,,p(HGNC:FLT3),
linifanib-resistant FLT3 mutants,,p(HGNC:FLT3),
tamatinib-resistant FLT3 mutants,,p(HGNC:FLT3),
Signaling by FLT3 ITD and TKD mutants,,p(HGNC:FLT3),
Negative regulation of FLT3,,p(HGNC:FLT3),
FLT3 signaling through SRC family kinases,,p(HGNC:FLT3),
FLT3 signaling by CBL mutants,,p(HGNC:FLT3),
SUMOylation of intracellular receptors,,p(HGNC:RARA),
TGFBR3 expression,,p(HGNC:RARA),
Transcriptional activation of mitochondrial biogenesis,,p(HGNC:IDH2),
Citric acid cycle (TCA cycle),,p(HGNC:IDH2),
Mitochondrial protein degradation,,p(HGNC:IDH2),
Maturation of TCA enzymes and regulation of TCA cycle,,p(HGNC:IDH2),
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,,p(HGNC:CD33),
Neutrophil degranulation,,p(HGNC:IDH1); p(HGNC:PRKCD); p(HGNC:CD33),
Transcriptional regulation of testis differentiation,,p(HGNC:WT1),
Nephron development,,p(HGNC:WT1),
Calmodulin induced events,,p(HGNC:PRKCD); p(HGNC:PRKCA),
SHC1 events in ERBB2 signaling,,p(HGNC:PRKCD); p(HGNC:PRKCE); p(HGNC:PRKCA),
DAG and IP3 signaling,,p(HGNC:PRKCD); p(HGNC:PRKCE),
Role of phospholipids in phagocytosis,,p(HGNC:PRKCD); p(HGNC:PRKCE),
HuR (ELAVL1) binds and stabilizes mRNA,,p(HGNC:PRKCD); p(HGNC:PRKCA),
CLEC7A (Dectin-1) signaling,,p(HGNC:PRKCD),
RHO GTPases Activate NADPH Oxidases,,p(HGNC:PRKCD); p(HGNC:PRKCA),
Interferon gamma signaling,,p(HGNC:JAK2); p(HGNC:PRKCD),
KEAP1-NFE2L2 pathway,,p(HGNC:PRKCD),
Signaling by SCF-KIT,,p(HGNC:KIT); p(HGNC:JAK2); p(HGNC:PRKCA),
Regulation of KIT signaling,,p(HGNC:KIT); p(HGNC:PRKCA),
TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,,p(HGNC:KIT),
Dasatinib-resistant KIT mutants,,p(HGNC:KIT),
Imatinib-resistant KIT mutants,,p(HGNC:KIT),
KIT mutants bind TKIs,,p(HGNC:KIT),
Masitinib-resistant KIT mutants,,p(HGNC:KIT),
Nilotinib-resistant KIT mutants,,p(HGNC:KIT),
Regorafenib-resistant KIT mutants,,p(HGNC:KIT),
Signaling by kinase domain mutants of KIT,,p(HGNC:KIT),
Sunitinib-resistant KIT mutants,,p(HGNC:KIT),
Signaling by juxtamembrane domain KIT mutants,,p(HGNC:KIT),
Sorafenib-resistant KIT mutants,,p(HGNC:KIT),
"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",,p(HGNC:KIT); p(HGNC:JAK2),
Signaling by extracellular domain mutants of KIT,,p(HGNC:KIT),
Transcriptional and post-translational regulation of MITF-M expression and activity,,p(HGNC:KIT),
NoRC negatively regulates rRNA expression,,p(HGNC:DNMT1),
STAT3 nuclear events downstream of ALK signaling,,p(HGNC:DNMT1),
Nuclear events stimulated by ALK signaling in cancer,,p(HGNC:DNMT1),
Inhibition of replication initiation of damaged DNA by RB1/E2F1,,p(HGNC:POLA1),
Polymerase switching on the C-strand of the telomere,,p(HGNC:POLA1),
Telomere C-strand synthesis initiation,,p(HGNC:POLA1),
DNA replication initiation,,p(HGNC:POLA1),
Activation of the pre-replicative complex,,p(HGNC:POLA1),
Polymerase switching,,p(HGNC:POLA1),
Removal of the Flap Intermediate,,p(HGNC:POLA1),
Processive synthesis on the lagging strand,,p(HGNC:POLA1),
G1/S-Specific Transcription,,p(HGNC:POLA1),
Transcription of E2F targets under negative control by DREAM complex,,p(HGNC:TOP2A),
SUMOylation of DNA replication proteins,,p(HGNC:TOP2A),
Downstream signal transduction,,p(HGNC:PDGFRB); p(HGNC:PDGFRA),
Signaling by PDGF,,p(HGNC:PDGFRB); p(HGNC:PDGFRA),
Sphingolipid de novo biosynthesis,,p(HGNC:PRKD3),
"Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants",,p(HGNC:PDGFRA),
Signaling by PDGFRA extracellular domain mutants,,p(HGNC:PDGFRA),
Imatinib-resistant PDGFR mutants,,p(HGNC:PDGFRA),
Sunitinib-resistant PDGFR mutants,,p(HGNC:PDGFRA),
Regorafenib-resistant PDGFR mutants,,p(HGNC:PDGFRA),
Sorafenib-resistant PDGFR mutants,,p(HGNC:PDGFRA),
PDGFR mutants bind TKIs,,p(HGNC:PDGFRA),
Interleukin-6 signaling,,p(HGNC:JAK2),
MAPK3 (ERK1) activation,,p(HGNC:JAK2),
MAPK1 (ERK2) activation,,p(HGNC:JAK2),
Prolactin receptor signaling,,p(HGNC:JAK2),
Signaling by Leptin,,p(HGNC:JAK2),
"Interleukin-3, Interleukin-5 and GM-CSF signaling",,p(HGNC:JAK2),
RAF activation,,p(HGNC:JAK2),
IL-6-type cytokine receptor ligand interactions,,p(HGNC:JAK2),
Signaling by moderate kinase activity BRAF mutants,,p(HGNC:JAK2),
Signaling by BRAF and RAF1 fusions,,p(HGNC:JAK2),
Paradoxical activation of RAF signaling by kinase inactive BRAF,,p(HGNC:JAK2),
Regulation of IFNG signaling,,p(HGNC:JAK2),
Interleukin-20 family signaling,,p(HGNC:JAK2),
Interleukin-35 Signalling,,p(HGNC:JAK2),
Signaling by Erythropoietin,,p(HGNC:JAK2),
Interleukin-12 signaling,,p(HGNC:JAK2),
Interleukin-23 signaling,,p(HGNC:JAK2),
Interleukin-27 signaling,,p(HGNC:JAK2),
Erythropoietin activates Phosphoinositide-3-kinase (PI3K),,p(HGNC:JAK2),
Erythropoietin activates Phospholipase C gamma (PLCG),,p(HGNC:JAK2),
Erythropoietin activates STAT5,,p(HGNC:JAK2),
Erythropoietin activates RAS,,p(HGNC:JAK2),
Interleukin receptor SHC signaling,,p(HGNC:JAK2),
Signaling downstream of RAS mutants,,p(HGNC:JAK2),
Signaling by RAF1 mutants,,p(HGNC:JAK2),
Potential therapeutics for SARS,,p(HGNC:JAK2),
IFNG signaling activates MAPKs,,p(HGNC:JAK2),
Growth hormone receptor signaling,,p(HGNC:JAK2),
Class B/2 (Secretin family receptors),,p(HGNC:SMO),
Hedgehog 'off' state,,p(HGNC:SMO),
BBSome-mediated cargo-targeting to cilium,,p(HGNC:SMO),
Hedgehog 'on' state,,p(HGNC:SMO),
Activation of SMO,,p(HGNC:SMO),
Disinhibition of SNARE formation,,p(HGNC:PRKCA),
EGFR Transactivation by Gastrin,,p(HGNC:PRKCA),
Syndecan interactions,,p(HGNC:PRKCA),
Acetylcholine regulates insulin secretion,,p(HGNC:PRKCA),
Ca2+ pathway,,p(HGNC:PRKCA),
Trafficking of GluR2-containing AMPA receptors,,p(HGNC:PRKCA),
Depolymerization of the Nuclear Lamina,,p(HGNC:PRKCA),
WNT5A-dependent internalization of FZD4,,p(HGNC:PRKCA),
Response to elevated platelet cytosolic Ca2+,,p(HGNC:PRKCA),
RET signaling,,p(HGNC:PRKCA),
ROBO receptors bind AKAP5,,p(HGNC:PRKCA),
Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate,,p(HGNC:IDH1),
NADPH regeneration,,p(HGNC:IDH1),
Peroxisomal protein import,,p(HGNC:IDH1),
NFE2L2 regulating TCA cycle genes,,p(HGNC:IDH1),
Recognition of DNA damage by PCNA-containing replication comple,,p(HGNC:POLE3); p(HGNC:POLD3); p(HGNC:POLD2); p(HGNC:POLD1); p(HGNC:POLD4); p(HGNC:POLE2); p(HGNC:POLE),
PCNA-Dependent Long Patch Base Excision Repai,,p(HGNC:POLE3); p(HGNC:POLD3); p(HGNC:POLD2); p(HGNC:POLD1); p(HGNC:POLD4); p(HGNC:POLE2); p(HGNC:POLE),
Termination of translesion DNA synthesi,,p(HGNC:POLE3); p(HGNC:POLD3); p(HGNC:POLD2); p(HGNC:POLD1); p(HGNC:POLD4); p(HGNC:POLE2); p(HGNC:POLE),
HDR through Homologous Recombination (HRR,,p(HGNC:POLE3); p(HGNC:POLD3); p(HGNC:POLD2); p(HGNC:POLD1); p(HGNC:POLD4); p(HGNC:PALB2); p(HGNC:POLE2); p(HGNC:POLE),
Gap-filling DNA repair synthesis and ligation in GG-NE,,p(HGNC:POLE3); p(HGNC:POLD3); p(HGNC:POLD2); p(HGNC:POLD1); p(HGNC:POLD4); p(HGNC:POLE2); p(HGNC:POLE),
Dual Incision in GG-NE,,p(HGNC:POLE3); p(HGNC:POLD3); p(HGNC:POLD2); p(HGNC:POLD1); p(HGNC:POLD4); p(HGNC:POLE2); p(HGNC:POLE); p(HGNC:ERCC4),
Dual incision in TC-NE,,p(HGNC:POLE3); p(HGNC:POLD3); p(HGNC:POLD2); p(HGNC:POLD1); p(HGNC:POLD4); p(HGNC:POLE2); p(HGNC:POLE); p(HGNC:ERCC4),
Gap-filling DNA repair synthesis and ligation in TC-NE,,p(HGNC:POLE3); p(HGNC:POLD3); p(HGNC:POLD2); p(HGNC:POLD1); p(HGNC:POLD4); p(HGNC:POLE2); p(HGNC:POLE),
DNA replication initiatio,,p(HGNC:POLA1); p(HGNC:POLE3); p(HGNC:POLA2); p(HGNC:POLE2); p(HGNC:PRIM1); p(HGNC:POLE); p(HGNC:PRIM2),
Activation of the pre-replicative comple,,p(HGNC:POLA1); p(HGNC:POLE3); p(HGNC:POLA2); p(HGNC:POLE2); p(HGNC:PRIM1); p(HGNC:POLE); p(HGNC:PRIM2),
Polymerase switching on the C-strand of the telomer,,p(HGNC:POLA1); p(HGNC:POLD3); p(HGNC:POLD2); p(HGNC:POLD1); p(HGNC:POLA2); p(HGNC:POLD4); p(HGNC:PRIM1); p(HGNC:PRIM2),
Processive synthesis on the C-strand of the telomer,,p(HGNC:POLD3); p(HGNC:POLD2); p(HGNC:POLD1); p(HGNC:POLD4),
Telomere C-strand (Lagging Strand) Synthesi,,p(HGNC:POLD3); p(HGNC:POLD2); p(HGNC:POLD1); p(HGNC:POLD4),
Removal of the Flap Intermediate from the C-stran,,p(HGNC:POLD3); p(HGNC:POLD2); p(HGNC:POLD1); p(HGNC:POLD4),
Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha,,p(HGNC:POLD3); p(HGNC:POLD2); p(HGNC:POLD1); p(HGNC:POLD4),
Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta,,p(HGNC:POLD3); p(HGNC:POLD2); p(HGNC:POLD1); p(HGNC:POLD4),
Polymerase switchin,,p(HGNC:POLA1); p(HGNC:POLD3); p(HGNC:POLD2); p(HGNC:POLD1); p(HGNC:POLA2); p(HGNC:POLD4); p(HGNC:PRIM1); p(HGNC:PRIM2),
Removal of the Flap Intermediat,,p(HGNC:POLA1); p(HGNC:POLD3); p(HGNC:POLD2); p(HGNC:POLD1); p(HGNC:POLA2); p(HGNC:POLD4); p(HGNC:PRIM1); p(HGNC:PRIM2),
Processive synthesis on the lagging stran,,p(HGNC:POLA1); p(HGNC:POLD3); p(HGNC:POLD2); p(HGNC:POLD1); p(HGNC:POLA2); p(HGNC:POLD4); p(HGNC:PRIM1); p(HGNC:PRIM2),
Fanconi Anemia Pathwa,,p(HGNC:FANCC); p(HGNC:FANCG); p(HGNC:FANCE); p(HGNC:SLX4); p(HGNC:FANCA); p(HGNC:FANCD2); p(HGNC:ERCC4),
TP53 Regulates Transcription of DNA Repair Gene,,p(HGNC:TP53); p(HGNC:FANCC); p(HGNC:FANCD2),
PKR-mediated signalin,,p(HGNC:TP53); p(HGNC:FANCC); p(HGNC:NPM1); p(HGNC:FANCG); p(HGNC:FANCE); p(HGNC:FANCA),
Sphingolipid de novo biosynthesi,,p(HGNC:PRKD3); p(HGNC:PRKD1),
Activation of NOXA and translocation to mitochondri,,p(HGNC:TP53),
Activation of PUMA and translocation to mitochondri,,p(HGNC:TP53),
Pre-NOTCH Transcription and Translatio,,p(HGNC:TP53); p(HGNC:PRKCI); p(HGNC:RUNX1),
Oxidative Stress Induced Senescenc,,p(HGNC:TP53); p(HGNC:EZH2),
Formation of Senescence-Associated Heterochromatin Foci (SAHF,,p(HGNC:TP53),
Oncogene Induced Senescenc,,p(HGNC:TP53),
DNA Damage/Telomere Stress Induced Senescenc,,p(HGNC:TP53),
SUMOylation of transcription factor,,p(HGNC:TP53),
Autodegradation of the E3 ubiquitin ligase COP,,p(HGNC:TP53),
Association of TriC/CCT with target proteins during biosynthesi,,p(HGNC:TP53),
Pyroptosi,,p(HGNC:TP53),
TP53 Regulates Metabolic Gene,,p(HGNC:TP53),
Ub-specific processing protease,,p(HGNC:TP53),
Ovarian tumor domain protease,,p(HGNC:TP53),
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand break,,p(HGNC:ABL1); p(HGNC:TP53),
Interleukin-4 and Interleukin-13 signalin,,p(HGNC:BCL2); p(HGNC:TP53); p(HGNC:JAK2),
TP53 Regulates Transcription of Genes Involved in Cytochrome C Releas,,p(HGNC:TP53),
TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertai,,p(HGNC:TP53),
TP53 Regulates Transcription of Caspase Activators and Caspase,,p(HGNC:TP53),
TP53 Regulates Transcription of Death Receptors and Ligand,,p(HGNC:TP53),
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arres,,p(HGNC:TP53),
TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertai,,p(HGNC:TP53); p(HGNC:NPM1),
TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arres,,p(HGNC:TP53),
Regulation of TP53 Expressio,,p(HGNC:TP53),
Regulation of TP53 Activity through Phosphorylatio,,p(HGNC:TP53),
Regulation of TP53 Degradatio,,p(HGNC:TP53),
Regulation of TP53 Activity through Acetylatio,,p(HGNC:TP53),
Regulation of TP53 Activity through Association with Co-factor,,p(HGNC:TP53),
Regulation of TP53 Activity through Methylatio,,p(HGNC:TP53),
PI5P Regulates TP53 Acetylatio,,p(HGNC:TP53),
G2/M DNA damage checkpoin,,p(HGNC:TP53),
G2/M Checkpoint,,p(HGNC:TP53),
Stabilization of p5,,p(HGNC:TP53),
Transcriptional activation of cell cycle inhibitor p2,,p(HGNC:TP53),
The role of GTSE1 in G2/M progression after G2 checkpoin,,p(HGNC:TP53),
Transcriptional Regulation by VENT,,p(HGNC:TP53),
RUNX3 regulates CDKN1A transcriptio,,p(HGNC:TP53),
Regulation of PTEN gene transcriptio,,p(HGNC:TP53); p(HGNC:EZH2),
Loss of function of TP53 in cancer due to loss of tetramerization abilit,,p(HGNC:TP53),
Signaling by ALK fusions and activated point mutant,,p(HGNC:TP53); p(HGNC:NPM1),
Regulation of NF-kappa B signalin,,p(HGNC:TP53),
Zygotic genome activation (ZGA,,p(HGNC:TP53),
Factors involved in megakaryocyte development and platelet productio,,p(HGNC:ABL1); p(HGNC:TP53); p(HGNC:JAK2); p(HGNC:GATA1); p(HGNC:GATA2),
"TET1,2,3 and TDG demethylate DN",,p(HGNC:TET2),
Specification of primordial germ cell,,p(HGNC:TET2),
Nuclear import of Rev protei,,p(HGNC:NPM1),
SUMOylation of transcription cofactor,,p(HGNC:NPM1),
Deposition of new CENPA-containing nucleosomes at the centromer,,p(HGNC:NPM1),
TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiatio,,p(HGNC:NPM1),
SARS-CoV-1-host interaction,,p(HGNC:NPM1),
ALK mutants bind TKI,,p(HGNC:NPM1),
Nuclear events stimulated by ALK signaling in cance,,p(HGNC:DNMT1); p(HGNC:NPM1),
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet functio,,p(HGNC:PRKCQ); p(HGNC:GATA1); p(HGNC:RUNX1),
RUNX1 regulates transcription of genes involved in differentiation of HSC,,p(HGNC:ABL1); p(HGNC:GATA1); p(HGNC:GATA2); p(HGNC:RUNX1),
Telomere Extension By Telomeras,,p(HGNC:TERT); p(HGNC:RTEL1),
Formation of the beta-catenin:TCF transactivating comple,,p(HGNC:TERT),
"Regulation of MITF-M-dependent genes involved in DNA replication, damage repair and senescenc",,p(HGNC:TERT),
Meiotic synapsi,,p(HGNC:RAD21),
Separation of Sister Chromatid,,p(HGNC:RAD21),
Establishment of Sister Chromatid Cohesio,,p(HGNC:RAD21),
Cohesin Loading onto Chromati,,p(HGNC:RAD21),
Resolution of Sister Chromatid Cohesio,,p(HGNC:RAD21),
SUMOylation of DNA damage response and repair protein,,p(HGNC:RAD21),
Estrogen-dependent gene expressio,,p(HGNC:BCL2); p(HGNC:RAD21); p(HGNC:RUNX1),
Cytosolic iron-sulfur cluster assembl,,p(HGNC:POLD1); p(HGNC:RTEL1),
Transcriptional regulation of granulopoiesi,,p(HGNC:CSF3R); p(HGNC:RARA); p(HGNC:GATA2); p(HGNC:CEBPA); p(HGNC:RUNX1),
GPVI-mediated activation cascad,,p(HGNC:PRKCZ); p(HGNC:PTPN11),
TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition,,p(HGNC:PRKCZ),
VEGFR2 mediated cell proliferatio,,p(HGNC:KDR); p(HGNC:PRKCD); p(HGNC:PRKCA); p(HGNC:PRKCZ); p(HGNC:KRAS); p(HGNC:NRAS); p(HGNC:PRKCB),
RHO GTPases Activate NADPH Oxidase,,p(HGNC:PRKCD); p(HGNC:PRKCA); p(HGNC:PRKCZ); p(HGNC:PRKCB),
Estrogen-stimulated signaling through PRKC,,p(HGNC:PRKCZ); p(HGNC:KRAS); p(HGNC:NRAS),
Transport of Mature mRNA derived from an Intron-Containing Transcrip,,p(HGNC:SRSF2); p(HGNC:U2AF1),
mRNA Splicing - Major Pathwa,,p(HGNC:SRSF2); p(HGNC:SF3B1); p(HGNC:DDX41); p(HGNC:U2AF1),
mRNA Splicing - Minor Pathwa,,p(HGNC:SRSF2); p(HGNC:SF3B1),
mRNA 3'-end processin,,p(HGNC:SRSF2); p(HGNC:U2AF1),
Processing of Capped Intron-Containing Pre-mRN,,p(HGNC:SRSF2),
RNA Polymerase II Transcription Terminatio,,p(HGNC:SRSF2); p(HGNC:U2AF1),
Interleukin-6 signalin,,p(HGNC:JAK2); p(HGNC:PTPN11); p(HGNC:CBL),
PI3K Cascad,,p(HGNC:FLT3); p(HGNC:PTPN11),
MAPK3 (ERK1) activatio,,p(HGNC:JAK2); p(HGNC:PTPN11),
MAPK1 (ERK2) activatio,,p(HGNC:JAK2); p(HGNC:PTPN11),
Prolactin receptor signalin,,p(HGNC:JAK2); p(HGNC:PTPN11),
PIP3 activates AKT signalin,,p(HGNC:PDGFRB); p(HGNC:KIT); p(HGNC:FLT3); p(HGNC:PDGFRA); p(HGNC:PTPN11),
Spry regulation of FGF signalin,,p(HGNC:PTPN11); p(HGNC:CBL),
Signaling by SCF-KI,,p(HGNC:KIT); p(HGNC:JAK2); p(HGNC:PRKCA); p(HGNC:PTPN11); p(HGNC:KRAS); p(HGNC:NRAS),
GAB1 signalosom,,p(HGNC:PTPN11),
