name,url,associated_proteins,associated_drugs
Apoptotic cleavage of cellular proteins,,p(HGNC:PRKCD); p(HGNC:PRKCQ),
Effects of PIP2 hydrolysis,,p(HGNC:PRKCD); p(HGNC:PRKCE); p(HGNC:PRKCH); p(HGNC:PRKCQ),
Downstream TCR signaling,,p(HGNC:PRKCQ),
"Inactivation, recovery and regulation of the phototransduction cascade",,p(HGNC:PRKCQ); p(HGNC:PRKCA),
FCERI mediated NF-kB activation,,p(HGNC:PRKCQ),
Netrin-1 signaling,,p(HGNC:PRKCQ),
G alpha (z) signalling events,,p(HGNC:PRKCD); p(HGNC:PRKCE); p(HGNC:PRKCH); p(HGNC:PRKCQ); p(HGNC:PRKCA),
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,,p(HGNC:PRKCQ),
RAS processing,,p(HGNC:PRKCQ),
Nuclear Receptor transcription pathway,,p(HGNC:RARG); p(HGNC:RARA); p(HGNC:RARB),
Signaling by Retinoic Acid,,p(HGNC:RARG); p(HGNC:RARA); p(HGNC:RARB),
Activation of anterior HOX genes in hindbrain development during early embryogenesis,,p(HGNC:RARG); p(HGNC:RARA); p(HGNC:RARB),
Other interleukin signaling,,p(HGNC:CSF3R),
Transcriptional regulation of granulopoiesis,,p(HGNC:CSF3R); p(HGNC:RARA),
Signaling by CSF3 (G-CSF),,p(HGNC:CSF3R); p(HGNC:JAK2),
Inactivation of CSF3 (G-CSF) signaling,,p(HGNC:CSF3R); p(HGNC:JAK2),
PRC2 methylates histones and DNA,,p(HGNC:DNMT3A); p(HGNC:DNMT1),
RMTs methylate histone arginines,,p(HGNC:DNMT3A); p(HGNC:JAK2),
SUMOylation of DNA methylation proteins,,p(HGNC:DNMT3A); p(HGNC:DNMT1),
DNA methylation,,p(HGNC:DNMT3A); p(HGNC:DNMT1),
Defective pyroptosis,,p(HGNC:DNMT3A); p(HGNC:DNMT1); p(HGNC:POLA1),
Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs),,p(HGNC:DNMT3A),
Activation of NOXA and translocation to mitochondria,,p(HGNC:TP53),
Activation of PUMA and translocation to mitochondria,,p(HGNC:TP53),
Pre-NOTCH Transcription and Translation,,p(HGNC:TP53),
Oxidative Stress Induced Senescence,,p(HGNC:TP53),
Formation of Senescence-Associated Heterochromatin Foci (SAHF),,p(HGNC:TP53),
Oncogene Induced Senescence,,p(HGNC:TP53),
